kai,datetime,Tem,DO,Sal,Chl.a
HBK,2019-12-09 09:15:00,17.92,7.56,34.17,0.7
HBK,2019-12-09 09:38:00,18.15,7.53,34.19,0.6
HBK,2019-12-09 10:05:00,19.43,7.16,34.37,0.3
HBK,2019-12-09 10:30:00,17.91,7.63,34.17,0.6
SUO,2019-12-09 13:19:00,15.28,8.34,32.44,1.4
SUO,2019-12-09 14:09:00,14.57,9.18,32.91,4
SUO,2019-12-10 10:19:00,17.91,7.08,33.05,1.9
SUO,2019-12-10 11:17:00,18.29,7.09,33.18,2.4
SUO,2019-12-10 12:16:00,17.74,7.22,32.98,1.2
SUO,2019-12-10 12:54:00,17.12,7.47,32.86,2
SUO,2019-12-11 10:47:00,17.45,7.3,32.91,2.5
SUO,2019-12-11 12:18:00,16.44,7.61,32.72,2.1
SUO,2019-12-11 13:16:00,16.84,7.59,32.72,2.8
SUO,2019-12-12 09:37:00,14.69,7.72,32.47,1.2
SUO,2019-12-12 10:34:00,16.61,7.44,32.75,1.3
SUO,2019-12-12 11:31:00,16.65,7.43,32.82,2
SUO,2019-12-12 12:08:00,16.97,7.35,32.86,1.5
SUO,2019-12-13 10:30:00,16.09,7.26,32.63,2.4
SUO,2019-12-13 11:26:00,14.49,7.73,32.63,2.3
SUO,2019-12-13 12:21:00,13.28,7.97,32.58,1.7
SUO,2019-12-13 13:07:00,15.4,7.59,32.54,1.5
SUO,2019-12-16 10:50:00,14.1,7.86,32.6,3.3
SUO,2019-12-16 11:41:00,14.11,8.03,32.88,1.1
SUO,2019-12-16 12:10:00,14.3,8.02,32.81,2.2
OSK,2020-01-15 09:44:00,13.89,8.31,32.89,0.6
OSK,2020-01-15 10:36:00,13.21,8.51,32.58,0.9
OSK,2020-01-15 11:18:00,13.96,8.36,32.97,0.6
KIS,2020-01-16 10:10:00,16.16,7.92,34.33,0.8
KIS,2020-01-16 11:19:00,15.33,8.05,33.99,0.8
KIS,2020-01-16 12:21:00,15.82,7.93,34.18,0.5
KIS,2020-01-20 09:28:00,14.36,8.27,33.62,0.3
KIS,2020-01-20 10:12:00,14.38,8.28,33.58,0.7
KIS,2020-01-20 11:14:00,15.56,8.15,34.23,1.1
KIS,2020-01-21 09:09:00,14.03,8.35,33.42,0.5
KIS,2020-01-21 10:59:00,14.21,8.37,33.53,0.8
KIS,2020-02-03 08:45:00,12.07,8.88,32.12,1.4
KIS,2020-02-03 09:50:00,15.27,7.95,33.93,0.3
KIS,2020-02-03 10:55:00,12.45,8.71,32.82,0.7
KIS,2020-02-04 08:50:00,14.08,8.29,33.67,0.5
KIS,2020-02-04 10:00:00,13.17,8.55,33.07,0.8
KIS,2020-02-04 11:15:00,12.64,8.86,32.6,1.2
HAR,2020-02-18 09:54:00,9.98,9.51,31.77,3.9
HAR,2020-02-18 11:03:00,9.53,9.74,31.95,2.7
HAR,2020-02-18 12:40:00,9.92,9.67,32.09,2
HAR,2020-02-18 13:45:00,10.58,9.5,32.3,1.7
BS1,2020-02-19 07:59:00,10.03,7.91,32.42,1.9
BS1,2020-02-19 09:16:00,9.7,8.22,32.3,3.9
HAR,2020-02-19 09:46:00,10.65,9.19,32.42,1.1
AKI,2020-02-19 09:53:00,12.35,8.55,33.11,1.1
BS1,2020-02-19 10:43:00,9.92,8.53,32.39,5.6
HAR,2020-02-19 10:55:00,10.44,9.32,32.28,1.7
HIU,2020-02-19 11:01:00,12.15,8.54,33.01,0.7
BS1,2020-02-19 11:34:00,10.2,7.97,32.64,1.6
HIU,2020-02-19 11:47:00,11.73,8.72,32.92,1.2
HAR,2020-02-19 12:01:00,10.92,9.27,32.52,2.3
