kai,datetime,Tem,DO,Sal,Chl.a
SUO,2010-01-15 13:07:00,11.55,8.1,33.65,3.1
SUO,2010-01-15 13:51:00,11.26,8.1,33.6,0.9
SUO,2010-01-18 10:52:00,6.3,9.8,32.92,1.6
SUO,2010-01-18 11:57:00,7.92,9.8,33.3,2.1
SUO,2010-01-18 13:11:00,7.04,9.6,33.07,1.3
SUO,2010-01-18 14:14:00,9.7,9.3,33.37,1.2
HBK,2010-01-19 10:55:00,14.05,8.7,34.52,1.6
HBK,2010-01-19 11:30:00,14.3,8.7,34.52,1.4
HBK,2010-01-19 12:04:00,14.2,8.7,34.52,2.2
HBK,2010-01-19 12:38:00,13.75,9,34.52,1.8
SUO,2010-01-19 14:58:00,8.27,10.5,33.57,2.2
SUO,2010-01-19 16:02:00,9.53,9.6,33.4,1.6
SUO,2010-01-20 11:04:00,7.24,9.7,33.31,1.4
SUO,2010-01-20 12:26:00,9.28,8.8,33.4,0.6
SUO,2010-01-20 14:00:00,9.51,8.6,33.35,0.5
SUO,2010-01-22 10:50:00,9.2,9.3,33.21,0.5
SUO,2010-01-22 11:55:00,10.45,9,33.5,1
SUO,2010-01-22 12:38:00,10.07,9.4,33.26,1.7
SUO,2010-01-25 11:13:00,9.86,8.9,33.47,0.7
SUO,2010-01-25 12:23:00,10.19,8.9,33.52,0.4
SUO,2010-01-25 14:28:00,9.71,9,33.42,0.6
SUO,2010-01-26 11:55:00,10.83,9,33.67,0.7
SUO,2010-01-26 12:39:00,11.21,9,33.71,0.6
SUO,2010-01-26 14:04:00,9.53,9.3,33.38,0.5
KIS,2010-02-08 09:36:00,11.06,8.9,32.98,0.5
KIS,2010-02-08 10:51:00,9.21,9.4,32.76,0.6
KIS,2010-02-08 13:45:00,9.77,9.4,32.5,0.6
KIS,2010-02-12 09:47:00,10.29,8.7,32.67,0.4
KIS,2010-02-12 11:10:00,10.57,8.8,32.82,0.4
KIS,2010-02-12 12:38:00,10.56,8.7,32.83,0.5
HIU,2010-02-15 10:41:00,10.65,11.2,33.26,1.4
HIU,2010-02-15 13:08:00,10.74,11.9,33.32,2.4
HIU,2010-02-15 13:57:00,10.33,11.4,33.3,1.5
HIU,2010-02-15 15:11:00,10.03,11.5,33.07,0.3
BS1,2010-02-16 09:28:00,9.77,11.9,33.21,0.9
IY1,2010-02-16 10:54:00,11.55,9.3,33.73,1.6
BS1,2010-02-16 11:30:00,10.32,11.8,33.25,1.8
IY1,2010-02-16 12:07:00,11.62,9.4,33.88,1.7
IY1,2010-02-16 13:06:00,11.43,9.4,33.67,3.9
BS1,2010-02-16 14:43:00,10.92,11.7,33.36,1.1
BS1,2010-02-16 15:46:00,9.98,11.9,33.23,0.8
HRS,2010-02-16 15:55:00,11.42,9.5,33.58,1
BS1,2010-02-17 08:24:00,9.46,11.9,33.18,2.1
AKI,2010-02-17 08:41:00,10.93,9.4,33.32,6.3
