kai,datetime,Tem,DO,Sal,Chl.a
SUO,2004-01-29 13:13:00,11.37,8.6,34.04,1.1
SUO,2004-01-29 13:59:00,11.71,8.6,34.08,1.2
SUO,2004-01-30 11:10:00,5.91,10,33.06,4.1
SUO,2004-01-30 12:20:00,8.07,9.3,33.52,0.8
SUO,2004-01-30 12:59:00,6.18,10.1,32.99,1.9
SUO,2004-01-30 13:57:00,9.23,9.3,33.57,0.9
SUO,2004-02-02 11:37:00,6.7,9.9,33.26,1
SUO,2004-02-02 12:32:00,9.07,9,33.61,0.9
SUO,2004-02-02 14:07:00,9.74,9,33.65,1.5
SUO,2004-02-02 15:07:00,9.57,9,33.64,1
SUO,2004-02-03 11:36:00,8.72,9,33.41,0.7
SUO,2004-02-03 12:57:00,9.83,9.2,33.59,1.7
SUO,2004-02-06 12:43:00,9.49,9.2,33.73,1.3
SUO,2004-02-06 16:09:00,6.46,9.9,33.55,6.7
KIS,2004-02-09 10:10:00,8.76,10.4,31.86,3.4
SUO,2004-02-09 12:44:00,9.77,9,33.81,2
HAR,2004-02-09 13:06:00,7.6,10.3,32.24,5.8
SUO,2004-02-09 13:45:00,10.09,8.9,33.93,1.6
HAR,2004-02-09 14:21:00,8.16,9.7,32.65,4.8
HAR,2004-02-09 15:33:00,8.59,9.5,32.73,6.8
HBK,2004-02-10 11:01:00,12.87,8.5,35.37,3.2
HAR,2004-02-10 13:56:00,8.59,9.9,32.56,0.5
SUO,2004-02-10 14:27:00,8.47,9.2,33.63,2.1
HAR,2004-02-10 15:06:00,8.57,9.9,32.51,4.8
KIS,2004-02-12 08:56:00,9.78,9,32.57,1.8
KIS,2004-02-12 10:05:00,10.84,8.3,32.74,0.5
HAR,2004-02-12 10:30:00,8.28,9.6,32.31,5.8
IY2,2004-02-12 10:31:00,11.56,7.8,33.65,0.5
KIS,2004-02-12 11:19:00,10.07,9.6,32.41,1.3
IY2,2004-02-12 11:53:00,11.37,7.8,33.45,1.8
IY2,2004-02-12 13:13:00,11.89,7.7,33.75,0.6
SUO,2004-02-12 13:18:00,8.72,9,33.61,1.7
HAR,2004-02-12 14:05:00,8.59,9.7,32.32,3.5
SUO,2004-02-12 14:22:00,8.58,9,33.58,1.2
