kai,datetime,Tem,DO,Sal,Chl.a
kis,2012-02-15 09:50:00,13.34,7.5,33.86,0.2
kis,2012-02-15 11:34:00,16.85,6.7,34.61,0.1
kis,2012-02-16 09:08:00,10.49,8.8,32.65,0.6
har,2012-02-16 09:56:00,8.417,10.1,31.564,1.5
kis,2012-02-16 10:16:00,10.36,9.2,32.59,0.8
osk,2012-02-16 11:29:00,9.03,9.7,31.81,3.2
har,2012-02-16 12:30:00,8.363,10,31.888,0.2
osk,2012-02-16 12:45:00,8.86,9.6,31.71,2.1
osk,2012-02-16 13:30:00,9.15,9.2,31.92,1.8
har,2012-02-16 13:40:00,8.078,10.2,31.911,0.4
har,2012-02-16 15:00:00,8.55,9.9,31.878,0.3
har,2012-02-16 16:10:00,8.289,10,31.63,1.1
har,2012-02-16 16:55:00,8.381,9.9,31.614,1.3
har,2012-02-17 10:22:00,7.909,10.9,31.594,1.1
har,2012-02-17 11:08:00,7.813,11.3,31.531,1.8
kis,2012-02-20 08:41:00,10.65,8.7,32.69,0.3
aki,2012-02-20 09:34:00,10.69,9.2,33.16,0.8
kis,2012-02-20 09:48:00,11.41,8.3,33.13,0.2
iyo,2012-02-20 10:49:00,10.96,9.4,33.45,0.7
har,2012-02-20 10:49:00,7.742,10.1,31.714,1
aki,2012-02-20 10:52:00,10.6,9.4,33.15,0.9
kis,2012-02-20 10:53:00,16.81,7.5,34.64,0.3
iyo,2012-02-20 11:56:00,10.81,9.5,33.46,0.6
har,2012-02-20 11:58:00,7.438,10.9,31.358,2.7
aki,2012-02-20 12:14:00,11,9.5,33.28,0.9
kis,2012-02-20 12:26:00,12.37,8.5,33.59,0.3
iyo,2012-02-20 12:49:00,10.66,9.6,33.28,0.7
bis,2012-02-20 13:30:00,7.71,9.4,32,0.4
har,2012-02-20 14:24:00,7.294,10.5,31.7,1.2
bis,2012-02-20 14:40:00,7.82,9.6,32.24,2.2
har,2012-02-20 15:33:00,8.077,9.8,31.873,0.4
har,2012-02-20 16:43:00,8.328,9.8,31.921,0.5
bis,2012-02-21 08:20:00,7.99,9.6,32.36,2.2
aki,2012-02-21 08:39:00,10.14,10.1,32.62,2.2
osk,2012-02-21 09:04:00,8.169,11.5,29.854,9
aki,2012-02-21 09:38:00,10.79,9.4,33.27,0.9
iyo,2012-02-21 09:44:00,10.95,8.4,33.36,0.8
osk,2012-02-21 09:44:00,8.448,12.3,29.132,17
kis,2012-02-21 09:55:00,10.17,9,32.71,0.3
bis,2012-02-21 10:10:00,7.69,10,31.99,1.8
aki,2012-02-21 10:37:00,10.51,9.5,33.12,0.8
osk,2012-02-21 10:44:00,8.035,12.1,30.705,8.9
iyo,2012-02-21 11:16:00,10.75,8.5,33.19,1
osk,2012-02-21 11:24:00,8.144,11.6,31.061,7.7
bis,2012-02-21 12:00:00,7.35,10.1,31.87,1.4
iyo,2012-02-21 12:28:00,10.88,8.5,33.3,1
aki,2012-02-21 12:36:00,10.34,9.6,33.01,0.9
aki,2012-02-21 13:13:00,10.31,9.7,33,1
aki,2012-02-21 13:24:00,10.51,9.6,33.09,0.9
iyo,2012-02-21 13:40:00,10.62,8.8,33.4,2.9
osk,2012-02-21 13:42:00,8.592,10.2,31.666,2.5
