kai,datetime,Tem,DO,Sal,Chl.a
osk,2010-10-26 09:18:00,23.85,6.9,32.84,0.4
osk,2010-10-26 10:25:00,23.69,7,32.68,0.4
osk,2010-10-26 11:27:00,23.32,7.7,32.07,0.5
kis,2010-10-26 12:56:00,23.83,9.1,32.95,0.5
kis,2010-10-27 09:29:00,23.79,8.7,33.48,1.2
kis,2010-10-27 11:44:00,24.07,10.4,33.64,0.3
kis,2010-10-27 12:33:00,23.83,13,33.28,0.4
kis,2010-10-28 10:30:00,23.24,7.8,32.67,0.4
kis,2010-10-28 11:38:00,24.15,7,33.6,0.3
kis,2010-10-28 12:24:00,24.27,7.8,33.91,0.5
suo,2011-01-12 09:58:00,7.3,9.9,33.13,3.6
suo,2011-01-12 11:02:00,6.93,9.1,32.48,2
suo,2011-01-12 12:06:00,9.5,8.5,33.21,2.7
suo,2011-01-12 12:54:00,9.61,8.3,33.21,3.7
suo,2011-01-13 11:29:00,8.37,9.1,33.17,1.9
suo,2011-01-13 12:33:00,10.03,8.7,33.13,2.1
suo,2011-01-13 13:41:00,7.93,8.6,32.81,1.7
hbk,2011-01-14 10:32:00,13.57,7.8,34.46,0.3
hbk,2011-01-14 11:03:00,13.19,7.8,34.43,0.4
hbk,2011-01-14 11:50:00,14.2,7.6,34.51,0.2
hbk,2011-01-14 12:27:00,13.69,7.8,34.46,0.5
suo,2011-01-17 10:46:00,8.77,8.7,33.28,0.3
suo,2011-01-17 12:12:00,10.21,8.9,33.29,1.4
suo,2011-01-18 11:20:00,10.36,8.4,33.34,1.6
suo,2011-01-18 12:25:00,10.85,8.2,33.43,1.1
suo,2011-01-18 13:07:00,10.85,8.2,33.47,1.6
suo,2011-01-18 14:21:00,8.6,8.5,33.17,2.3
suo,2011-01-18 15:06:00,8.84,8.5,33.13,2.1
suo,2011-01-19 12:58:00,11.75,8.2,33.62,4.2
suo,2011-01-19 14:14:00,9.83,8.3,33.33,2.8
suo,2011-01-20 10:46:00,8.97,8.8,33.24,1.5
suo,2011-01-20 11:49:00,9.87,8.6,33.32,2.1
suo,2011-01-20 12:58:00,9.68,8.7,33.33,1.5
suo,2011-01-20 14:12:00,9.4,8.6,33.28,1.8
har,2011-02-07 10:23:00,7.78,9.8,32.8,0.4
iyo,2011-02-07 11:00:00,11.43,8.7,33.86,0.5
har,2011-02-07 11:57:00,7.91,9.6,32.79,0.6
iyo,2011-02-07 12:17:00,10.65,9,33.69,0.6
iyo,2011-02-07 13:19:00,11.18,9,33.72,0.4
har,2011-02-07 13:29:00,7.99,9.3,32.81,0.4
aki,2011-02-08 08:40:00,10.38,11.3,33.26,3.1
