kai,datetime,Tem,DO,Sal,Chl.a
SUO,2017-02-07 10:33:00,12.22,8.8,33.15,2.6
SUO,2017-02-07 11:39:00,12.5,8.6,33.26,1.7
SUO,2017-02-07 12:43:00,11.83,8.8,33.06,1.6
HBK,2017-02-08 08:51:00,13.8,8.6,34.63,3.4
HBK,2017-02-08 09:16:00,14.26,8.6,34.66,2.9
HBK,2017-02-08 09:44:00,14.55,8.5,34.67,3.4
HBK,2017-02-08 10:11:00,14.25,8.6,34.66,3.5
SUO,2017-02-08 13:56:00,9.1,9.3,32.08,1
SUO,2017-02-08 14:52:00,9.46,9.6,32.67,2.1
SUO,2017-02-13 10:26:00,9.41,9.2,32.52,1.8
SUO,2017-02-13 11:29:00,9.44,9.2,32.56,1.4
SUO,2017-02-13 12:06:00,9.94,9.2,32.69,1.3
SUO,2017-02-13 13:04:00,9.24,9.4,32.41,2.3
SUO,2017-02-13 14:08:00,9.94,9.3,32.62,1.4
SUO,2017-02-14 09:21:00,8.76,9.3,32.1,1.1
SUO,2017-02-14 10:20:00,10.25,9.2,32.73,2.2
SUO,2017-02-14 11:20:00,10.14,9.5,32.73,2.7
SUO,2017-02-14 11:59:00,11.03,9.2,33.04,1.6
SUO,2017-02-14 13:31:00,10.16,9.3,32.73,1.3
SUO,2017-02-15 09:49:00,8.74,9.5,32.36,1.7
SUO,2017-02-15 11:21:00,9.33,9.4,32.5,2.2
SUO,2017-02-15 12:10:00,8.92,9.6,32.45,1.6
SUO,2017-02-15 12:41:00,9.04,9.6,32.31,1.1
SUO,2017-02-15 13:34:00,8,9.6,32.5,1.3
KIS,2017-02-16 09:29:00,11.13,9.4,32.72,0.4
KIS,2017-02-16 09:31:00,11.5,8.7,32.81,0.1
AKI,2017-02-16 09:53:00,11.95,8.8,33.15,1.3
AKI,2017-02-16 10:35:00,11.9,8.9,33.08,0.7
KIS,2017-02-16 10:41:00,11.8,8.8,33.11,0.5
KIS,2017-02-16 10:45:00,11.04,9.5,32.74,0.8
AKI,2017-02-16 11:13:00,11.78,8.8,33.07,0.7
KIS,2017-02-16 11:54:00,11.27,9,32.95,0.2
KIS,2017-02-16 12:05:00,10.31,10.3,32.29,1.3
IY1,2017-02-16 12:24:00,12.41,8.9,33.53,0.3
IY1,2017-02-16 13:12:00,12.33,9.3,33.23,1.2
OSK,2017-02-17 09:19:00,10.01,10.9,29.47,12
OSK,2017-02-17 09:53:00,10.21,9.1,29.89,7.8
OSK,2017-02-17 10:50:00,9.91,10.7,30.25,7.9
OSK,2017-02-17 11:23:00,9.58,11.6,28.93,8.2
OSK,2017-02-17 11:59:00,9.6,10.5,30.38,3.6
OSK,2017-02-17 13:49:00,9.55,11.5,28.28,11
KIS,2017-02-20 08:40:00,9.86,10.1,32.06,1.2
AKI,2017-02-20 08:44:00,11.52,9.6,32.89,2
AKI,2017-02-20 09:46:00,11.93,8.9,33.16,0.7
BS2,2017-02-20 10:45:00,9.04,9.4,32.04,1.2
HRS,2017-02-20 11:57:00,11.2,9.8,31.76,1.5
HRS,2017-02-20 13:08:00,11.5,10.6,31.48,3.5
BS2,2017-02-20 13:15:00,9.21,9.4,32.08,1.9
HRS,2017-02-20 14:05:00,11.53,9.5,32.34,2.2
BS2,2017-02-20 14:24:00,9.16,9.4,32.1,2.6
AKI,2017-02-21 08:52:00,11.66,8.9,32.84,1.3
IY2,2017-02-21 09:25:00,11.89,8.7,33.25,0.9
AKI,2017-02-21 09:50:00,11.81,8.9,33.15,0.8
HAR,2017-02-21 10:04:00,9.62,9.4,31.61,1.1
HIU,2017-02-21 10:26:00,11.06,8.8,32.83,2.1
IY2,2017-02-21 10:45:00,11.82,8.8,33.07,1.3
AKI,2017-02-21 10:48:00,11.72,8.9,33.04,1.1
HAR,2017-02-21 10:51:00,9.25,9.6,31.56,1.2
HIU,2017-02-21 11:35:00,10.88,9.4,32.77,2.3
IY2,2017-02-21 12:00:00,11.93,8.8,33.31,1.5
HAR,2017-02-21 12:02:00,9.25,9.6,31.71,0.4
AKI,2017-02-21 13:09:00,11.68,9.1,32.9,0.6
IY2,2017-02-21 13:13:00,11.84,9,33.41,1.7
HAR,2017-02-21 13:22:00,9.24,9.6,31.78,2.1
HIU,2017-02-21 13:42:00,9.88,9.2,32.28,2
AKI,2017-02-21 13:53:00,11.61,9.2,32.9,1.1
HAR,2017-02-21 14:04:00,8.91,10.1,31.56,1.3
AKI,2017-02-21 14:36:00,11.67,9.2,32.94,1.6
HIU,2017-02-21 14:42:00,10.25,9,32.53,0.8
HAR,2017-02-22 08:42:00,8.71,9.6,31.31,0.9
BS1,2017-02-22 09:11:00,9.78,8.5,32.61,0.9
HAR,2017-02-22 09:25:00,8.68,10,31.41,3
KIS,2017-02-22 09:35:00,12.45,9.6,33.45,0.5
KIS,2017-02-22 09:38:00,12.85,8.2,33.67,0.2
HRS,2017-02-22 10:05:00,11.35,9.5,32.59,2.1
KIS,2017-02-22 10:18:00,13.4,8.1,33.68,0.1
HAR,2017-02-22 10:28:00,8.76,10,31.51,1.4
KIS,2017-02-22 10:50:00,11.04,9.9,32.69,0.5
BS1,2017-02-22 11:13:00,11.18,8.6,32.88,2.8
KIS,2017-02-22 11:25:00,12.51,8.3,33.33,0.1
HRS,2017-02-22 11:35:00,11.12,9.6,32.22,3
HAR,2017-02-22 12:16:00,8.99,10.1,31.7,0.5
HRS,2017-02-22 12:19:00,11.4,9.2,32.65,1.4
HRS,2017-02-22 13:19:00,11.57,9.3,32.97,2.1
HAR,2017-02-22 13:32:00,8.82,10.2,31.41,0.7
BS1,2017-02-22 14:17:00,10.04,8.8,32.61,0.9
BS1,2017-02-22 15:15:00,9.49,8.7,32.49,1.8
BS1,2017-02-23 07:56:00,9.51,9.2,32.39,2.1
BS1,2017-02-23 09:18:00,9.59,9.3,32.24,2.6
BS1,2017-02-23 11:30:00,9.59,9.8,31.88,3.8
BS1,2017-02-23 13:46:00,9.72,9.8,32.33,2.4
BS2,2017-02-24 08:12:00,9.47,9,32.37,2.1
BS2,2017-02-24 09:41:00,9.05,9.3,31.74,3.4
OSK,2017-02-24 09:50:00,11.23,8.6,32.57,0.1
OSK,2017-02-24 10:51:00,10.14,9.1,31.84,0.1
BS2,2017-02-24 11:27:00,8.5,9.6,31.52,2.8
OSK,2017-02-24 11:33:00,11.03,8.6,32.41,0.1
BS2,2017-02-24 13:55:00,9.07,9.5,31.74,3.2
HAR,2017-02-27 09:44:00,9.09,9.9,31.78,0.3
HAR,2017-02-27 10:05:00,9.23,9.2,31.91,0.5
OSK,2017-02-27 10:26:00,10.01,9.5,31.22,1.7
HIU,2017-02-27 10:50:00,11.17,9.3,32.92,1.1
HAR,2017-02-27 10:54:00,9.03,10.2,31.72,0.4
OSK,2017-02-27 11:31:00,10.31,9.3,31.24,3.3
HAR,2017-02-27 12:00:00,9.27,9.2,31.64,0.9
HAR,2017-02-27 12:11:00,9.18,10.1,31.89,0.5
HIU,2017-02-27 12:35:00,10.77,9.7,32.81,1
HAR,2017-02-27 13:10:00,9.25,9.1,31.98,0.7
HAR,2017-02-27 13:28:00,9.34,10,31.8,0.3
