kai,datetime,Tem,DO,Sal,Chl.a
HBK,2014-01-07 09:52:00,13.881,8.53,34.487,1.5
HBK,2014-01-07 10:18:00,14.309,8.39,34.518,0.9
HBK,2014-01-07 10:51:00,14.772,8.26,34.543,0.4
HBK,2014-01-07 11:22:00,14.185,8.41,34.533,0.8
SUO,2014-01-07 14:49:00,10.302,9.49,32.954,2.5
SUO,2014-01-07 15:28:00,10.208,9.75,32.92,1.5
SUO,2014-01-08 12:14:00,13.09,8.1,33.278,0.9
SUO,2014-01-08 13:01:00,12.33,7.88,33.184,0.8
SUO,2014-01-10 09:28:00,9.528,9.28,32.623,1.7
SUO,2014-01-10 10:28:00,9.781,9.34,32.56,0.5
SUO,2014-01-10 11:26:00,11.149,9.16,32.875,2.1
SUO,2014-01-10 12:08:00,11.033,9.24,32.811,1.4
SUO,2014-01-10 12:47:00,11.851,8.94,33.07,2.9
SUO,2014-01-10 14:29:00,11.166,9.09,32.921,1.5
SUO,2014-01-14 10:44:00,11.189,8.77,33.039,2.3
SUO,2014-01-14 11:49:00,11.367,8.57,33.091,0.6
SUO,2014-01-14 12:59:00,10.654,8.72,32.977,0.8
SUO,2014-01-15 10:43:00,10.331,9.34,32.941,1.9
SUO,2014-01-15 11:42:00,10.836,9.24,33,1.4
SUO,2014-01-15 12:20:00,10.079,9.22,32.96,1.6
SUO,2014-01-15 13:29:00,9.527,9.62,32.974,1.9
SUO,2014-01-16 10:21:00,8.527,9.67,33.077,1.7
SUO,2014-01-16 11:17:00,8.971,9.5,32.99,0.8
SUO,2014-01-16 12:52:00,8.705,9.84,32.996,1.4
KIS,2014-02-17 09:05:00,11.37,10.31,33.55,0.5
HAR,2014-02-17 09:46:00,8.82,9.31,32.27,1.8
KIS,2014-02-17 10:30:00,11.4,10.29,33.59,0.5
AKI,2014-02-17 10:33:00,10.597,9.083,33.383,0.9
IY1,2014-02-17 11:04:00,10.84,9.47,33.55,2.8
HAR,2014-02-17 11:07:00,8.61,10.07,32.19,3.1
AKI,2014-02-17 11:16:00,10.421,9.256,33.275,1.6
IY1,2014-02-17 12:12:00,11.21,9.35,33.74,2.7
HAR,2014-02-17 12:20:00,8.86,9.27,32.18,1.1
AKI,2014-02-17 12:52:00,10.255,9.361,33.196,1.5
IY1,2014-02-17 13:07:00,10.94,9.62,33.56,1.4
HAR,2014-02-17 13:43:00,8.81,9.33,32.19,1.1
HAR,2014-02-17 14:55:00,9.18,9.63,32.26,1.2
HAR,2014-02-18 09:04:00,8.72,9.69,32.19,2.4
AKI,2014-02-18 09:13:00,10.27,9.45,33.18,1.7
HAR,2014-02-18 09:44:00,8.64,9.84,32.15,2.2
AKI,2014-02-18 09:52:00,10.3,9.54,33.14,1.8
AKI,2014-02-18 10:32:00,10.23,9.69,33.07,1.8
HAR,2014-02-18 11:01:00,8.7,9.79,32.03,3.1
AKI,2014-02-18 11:06:00,10.15,9.76,33.07,2.3
HAR,2014-02-18 12:25:00,9.11,9.59,32.12,2.1
AKI,2014-02-18 13:11:00,9.94,9.97,32.72,5.4
HAR,2014-02-18 13:28:00,9.53,9.28,32.26,0.7
AKI,2014-02-18 13:44:00,9.64,9.94,33,3.5
HRS,2014-02-18 14:27:00,9.81,10.16,32.4,5.2
HAR,2014-02-18 15:22:00,8.3,10.65,31.66,3
HAR,2014-02-19 09:08:00,8.32,10.43,31.94,5.3
HRS,2014-02-19 10:01:00,10.21,9.43,33.18,2.5
HAR,2014-02-19 10:22:00,8.29,10.36,31.95,4.4
KIS,2014-02-19 10:25:00,10.6,8.75,33.4,0.9
HRS,2014-02-19 11:32:00,9.65,9.82,32.74,2.7
HIU,2014-02-19 11:44:00,9.747,9.766,33.054,1.7
HAR,2014-02-19 12:10:00,8.5,10.11,32.18,3.6
HIU,2014-02-19 12:41:00,8.821,9.985,32.906,1.1
KIS,2014-02-19 12:53:00,11.71,8.45,34.12,0.6
HRS,2014-02-19 13:24:00,10.27,9.49,33.19,2.4
HIU,2014-02-19 13:32:00,9.341,9.992,33.022,1.1
HAR,2014-02-19 13:36:00,8.47,10.1,32.14,3.5
KIS,2014-02-19 13:42:00,11.97,8.4,34.39,0.6
HRS,2014-02-19 14:04:00,10.26,9.48,33.24,1.7
HIU,2014-02-19 14:12:00,8.823,10.177,32.833,1.1
KIS,2014-02-19 14:39:00,10.96,8.61,33.65,0.7
HIU,2014-02-19 14:54:00,9.934,9.506,33.086,1.6
KIS,2014-02-20 09:30:00,11.8,8.89,33.9,0.5
HIU,2014-02-20 09:41:00,8.853,10.1,32.92,1.2
HRS,2014-02-20 10:29:00,9.71,9.83,32.69,4.5
KIS,2014-02-20 10:45:00,10.39,9.37,33.18,1
HIU,2014-02-20 11:21:00,8.869,9.866,32.908,0.9
HRS,2014-02-20 11:29:00,9.78,9.91,32.49,4.5
