kai,datetime,Tem,DO,Sal,Chl.a
HBK,2018-01-17 08:48:00,13.47,7.92,34.55,0.7
HBK,2018-01-17 09:13:00,14.34,7.73,34.62,0.5
HBK,2018-01-17 09:40:00,14.7,7.56,34.6,0.3
HBK,2018-01-17 10:07:00,13.93,7.71,34.61,0.5
SUO,2018-01-17 13:52:00,10.2,8.75,33,2.4
SUO,2018-01-17 14:54:00,9.58,8.77,33.3,2.1
SUO,2018-01-19 10:31:00,11.72,7.97,33.16,1.2
SUO,2018-01-19 11:36:00,12.09,7.78,33.2,1.1
SUO,2018-01-19 12:40:00,10.51,8.01,33.12,1.3
SUO,2018-01-22 10:25:00,11.07,8.13,33.14,1.8
SUO,2018-01-22 11:29:00,10.58,8.08,33.08,1.4
SUO,2018-01-22 12:04:00,9.81,8.12,33.06,1.8
SUO,2018-01-22 13:01:00,9.66,8.35,33.09,1.9
SUO,2018-01-22 13:58:00,9.49,8.37,33.12,1.2
SUO,2018-01-25 10:16:00,8.88,9,32.83,0.6
SUO,2018-01-25 11:14:00,10.1,8.61,33.06,3.6
SUO,2018-01-25 12:10:00,9.76,8.7,32.95,2.4
SUO,2018-01-25 14:17:00,10,8.52,33.05,4.8
SUO,2018-01-25 14:47:00,10.23,8.41,33.07,3.4
SUO,2018-01-26 11:34:00,7.27,8.68,33.38,1.6
SUO,2018-01-30 09:37:00,7.97,8.73,33.1,3
SUO,2018-01-30 10:46:00,8.6,8.42,33.16,3.5
SUO,2018-01-30 11:43:00,7.89,8.83,33.25,2.5
SUO,2018-01-30 12:21:00,8.38,8.74,33.16,3.4
BS2,2018-02-07 08:11:00,7.7,8.86,32.79,2.2
BS2,2018-02-07 09:35:00,7.23,8.87,32.49,2.1
BS2,2018-02-07 10:14:00,7.23,8.92,32.46,2.6
BS2,2018-02-07 11:19:00,6.93,8.98,32.43,2.3
BS1,2018-02-08 09:10:00,8,8.92,32.93,1.7
BS1,2018-02-08 10:23:00,8.43,9.17,33.01,2.5
BS1,2018-02-08 11:33:00,8.85,9.45,33.04,1.6
BS1,2018-02-08 14:58:00,7.8,8.93,32.82,0.8
BS2,2018-02-09 10:36:00,7.77,8.53,32.25,0.3
BS2,2018-02-09 11:25:00,7.34,8.7,32.64,1.4
BS2,2018-02-09 14:03:00,7.59,8.71,32.73,1.5
BS1,2018-02-13 08:00:00,7.46,8.98,32.83,1
BS1,2018-02-13 09:11:00,7.28,9.1,32.83,1.3
BS1,2018-02-13 10:40:00,7.76,9.43,32.93,2.4
BS1,2018-02-13 11:34:00,8.21,9.24,33.06,2.2
HIU,2018-02-14 10:08:00,8.64,9.46,33.08,2
HIU,2018-02-14 11:08:00,8.96,9.34,33.14,1.9
HIU,2018-02-14 13:29:00,9.11,9.23,33.16,1
HIU,2018-02-14 14:30:00,8.16,9.05,32.99,0.6
IY1,2018-02-16 10:32:00,10.34,9.08,33.71,1.2
IY1,2018-02-16 10:57:00,10.24,9.32,33.51,2.4
IY1,2018-02-16 11:53:00,10.92,8.96,33.92,2
IY1,2018-02-16 12:06:00,9.55,9.5,33.43,4
IY1,2018-02-16 12:56:00,9.97,9.56,33.38,4.7
IY2,2018-02-16 14:21:00,10.47,9.26,33.68,2.8
AKI,2018-02-19 08:41:00,9.82,10.53,32.9,7.8
KIS,2018-02-19 09:00:00,8.27,9.65,32.47,2.5
KIS,2018-02-19 09:19:00,9.96,8.82,32.29,1
AKI,2018-02-19 09:40:00,10.13,9.45,33.37,4.5
KIS,2018-02-19 10:15:00,9.71,8.97,32.94,0.7
KIS,2018-02-19 10:26:00,10.26,8.77,32.52,0.4
HIU,2018-02-19 10:28:00,9.93,9.53,33.25,2.3
AKI,2018-02-19 10:36:00,9.98,9.72,33.25,5.2
HIU,2018-02-19 11:12:00,9.66,9.99,33.19,2.9
HAR,2018-02-19 11:23:00,7.41,9.64,32.27,0.4
KIS,2018-02-19 11:45:00,8.64,10.38,32.33,2.7
KIS,2018-02-19 11:55:00,11.71,8.55,33.31,0.6
HAR,2018-02-19 12:26:00,7.13,9.94,32.37,1
AKI,2018-02-19 12:30:00,9.85,9.83,33.2,7.4
HIU,2018-02-19 12:54:00,9.56,10.21,33.19,2
AKI,2018-02-19 13:13:00,9.85,9.97,33.2,6
HAR,2018-02-19 13:31:00,7.33,9.73,32.35,0.3
HIU,2018-02-19 13:40:00,9.25,9.95,33.18,1.2
AKI,2018-02-19 13:56:00,9.95,9.83,33.21,5.9
HAR,2018-02-19 14:43:00,7.39,9.7,32.25,0.4
HAR,2018-02-19 15:49:00,7.42,9.77,32.28,0.3
HIU,2018-02-20 08:42:00,9.74,9.89,33.27,2.6
KIS,2018-02-20 08:50:00,8.27,9.69,32.45,3
OSK,2018-02-20 09:05:00,9.87,8.82,32.33,0.7
HRS,2018-02-20 09:11:00,9.97,9.53,33.26,4.1
HAR,2018-02-20 09:19:00,7.13,10.75,32.02,3.4
HIU,2018-02-20 09:44:00,8.64,10.3,33.04,4.1
KIS,2018-02-20 10:00:00,10.6,9.26,33.21,0.7
HRS,2018-02-20 10:03:00,9.6,10.13,32.84,4.5
OSK,2018-02-20 10:11:00,7.64,9.9,31.41,2.7
HAR,2018-02-20 10:20:00,7.01,11.11,31.91,4.7
OSK,2018-02-20 11:06:00,8.48,9.42,31.8,0.7
KIS,2018-02-20 11:15:00,8.43,8.72,32.5,0.7
HIU,2018-02-20 11:25:00,7.86,9.71,32.9,0.5
HRS,2018-02-20 11:31:00,10,9.63,33.21,4.2
HAR,2018-02-20 11:57:00,7.29,9.99,32.32,1.2
HIU,2018-02-20 12:05:00,9.18,9.92,33.18,0.2
AKI,2018-02-20 12:35:00,10.06,9.53,33.27,5.2
HAR,2018-02-20 13:11:00,7.33,10.13,32.23,1.9
AKI,2018-02-20 13:53:00,10.07,10.27,33.09,2.9
HRS,2018-02-20 14:36:00,9.73,10.78,32.23,2.9
HRS,2018-02-20 15:40:00,9.74,10.83,32.17,4.4
HAR,2018-02-21 09:22:00,7.27,9.86,32.14,0.5
KIS,2018-02-21 09:42:00,11.45,8.58,33.24,0.5
HAR,2018-02-21 10:00:00,7.46,9.73,32.2,0.3
KIS,2018-02-21 10:49:00,10.87,8.64,32.97,0.5
HAR,2018-02-21 11:20:00,7.5,9.86,32.02,1
KIS,2018-02-21 11:50:00,11.85,8.44,33.35,0.4
HAR,2018-02-21 12:43:00,7.54,9.81,32.03,1.3
HAR,2018-02-21 13:28:00,7.88,9.73,31.97,1.7
HAR,2018-02-21 14:30:00,7.3,10.06,32,1
IY2,2018-02-22 08:57:00,10.15,9.48,33.47,2.7
OSK,2018-02-22 09:32:00,9.57,11.64,28.74,12
KIS,2018-02-22 09:35:00,10.08,8.87,32.5,0.4
IY2,2018-02-22 10:12:00,9.97,9.54,33.24,1.9
OSK,2018-02-22 10:14:00,9.61,11.62,28.4,22
KIS,2018-02-22 11:05:00,10.09,8.89,32.49,0.6
OSK,2018-02-22 11:13:00,9.85,11.47,29.54,9.8
IY2,2018-02-22 11:21:00,10.24,9.42,33.51,1.8
OSK,2018-02-22 11:47:00,9.87,11.07,29.88,4.6
OSK,2018-02-22 12:25:00,9.79,10.05,30.54,4
IY2,2018-02-22 12:29:00,10.41,9.98,33.49,3
OSK,2018-02-22 13:04:00,9.93,9.5,30.82,2.7
OSK,2018-02-22 14:31:00,10.15,12.3,29.16,10
HRS,2018-02-22 14:46:00,10.09,10.05,33.17,2.9
HRS,2018-02-22 15:43:00,9.89,10.49,32.54,2.7
AKI,2018-02-23 09:05:00,10.1,9.57,33.4,1.7
HAR,2018-02-23 09:25:00,7.9,9.92,32.35,0.7
AKI,2018-02-23 09:51:00,10.07,9.71,33.36,2.4
AKI,2018-02-23 10:34:00,9.91,9.74,33.26,2.1
HAR,2018-02-23 11:05:00,7.48,9.74,32.14,0.6
OSK,2018-02-23 11:07:00,9.89,10.21,30.37,1.8
HAR,2018-02-23 12:10:00,7.74,9.68,32.38,0.6
HAR,2018-02-23 13:15:00,8.02,9.58,32.36,0.6
