kai,datetime,Tem,DO,Sal,Chl.a
SUO,2008-01-23 09:58:00,9.82,9.4,33.5,1.2
SUO,2008-01-23 11:03:00,8.92,9.7,33.0,1.3
SUO,2008-01-23 12:07:00,9.51,9.5,33.4,1.9
SUO,2008-01-23 12:46:00,9.30,9.6,33.0,0.9
SUO,2008-01-25 11:19:00,10.08,8.7,33.4,0.6
SUO,2008-01-25 12:23:00,11.40,8.3,33.6,0.5
SUO,2008-01-25 13:03:00,11.01,8.6,33.5,0.7
SUO,2008-01-25 14:12:00,11.59,8.1,33.6,0.5
HBK,2008-01-28 10:53:00,13.17,8.6,34.4,1.4
HBK,2008-01-28 11:26:00,14.07,8.3,34.6,1.3
HBK,2008-01-28 12:02:00,13.95,8.3,34.6,1.3
HBK,2008-01-28 12:37:00,12.51,8.7,34.4,1.3
SUO,2008-01-30 10:21:00,9.45,9.4,33.5,2.4
SUO,2008-01-30 11:28:00,9.87,9.0,33.6,1.7
SUO,2008-01-30 12:34:00,9.17,9.1,33.4,2.7
SUO,2008-01-30 13:44:00,10.15,8.7,33.6,1.0
SUO,2008-01-31 11:40:00,10.24,9.0,33.6,1.7
SUO,2008-01-31 12:51:00,10.96,8.4,33.7,0.3
SUO,2008-02-01 10:37:00,8.65,9.3,33.3,1.9
SUO,2008-02-01 11:29:00,10.49,8.9,33.6,0.3
SUO,2008-02-01 12:39:00,11.38,8.6,33.8,0.2
SUO,2008-02-01 13:50:00,11.77,8.5,33.8,0.4
SUO,2008-02-05 13:07:00,11.51,8.6,33.8,0.4
SUO,2008-02-05 13:53:00,10.69,8.7,33.7,0.7
KIS,2008-02-08 09:13:00,12.41,8.6,33.9,0.9
KIS,2008-02-08 10:29:00,14.60,8.3,34.4,0.5
KIS,2008-02-08 11:52:00,13.01,8.7,33.9,1.0
KIS,2008-02-15 09:56:00,13.66,8.4,34.3,3.0
KIS,2008-02-15 11:15:00,9.42,9.2,33.3,1.1
KIS,2008-02-15 12:46:00,9.70,9.5,33.2,2.9
KIS,2008-02-20 08:50:00,11.25,8.7,33.6,1.1
OSK,2008-02-20 09:21:00,8.38,11.7,31.9,7.0
AKI,2008-02-20 09:40:00,11.19,8.6,33.8,1.0
KIS,2008-02-20 09:45:00,11.67,8.7,33.9,0.9
OSK,2008-02-20 09:58:00,8.61,12.6,30.7,9.3
AKI,2008-02-20 10:21:00,11.13,8.9,33.7,1.4
OSK,2008-02-20 11:03:00,8.14,12.8,31.3,5.6
KIS,2008-02-20 11:08:00,16.23,7.5,34.7,1.6
AKI,2008-02-20 11:26:00,11.03,8.8,33.7,1.4
OSK,2008-02-20 11:38:00,8.10,10.8,32.2,3.4
KIS,2008-02-20 12:38:00,16.50,7.4,34.7,2.4
KIS,2008-02-20 14:02:00,13.05,8.9,34.1,1.9
KIS,2008-02-21 08:08:00,10.08,9.4,33.2,1.3
OSK,2008-02-21 09:31:00,8.54,9.0,33.0,1.5
HAR,2008-02-21 10:10:00,8.92,9.3,33.3,1.3
