kai,datetime,Tem,DO,Sal,Chl.a
SUO,2007-01-29 13:14:00,8.94,9.2,32.03,1.9
SUO,2007-01-29 14:15:00,9.8,8.9,32.38,1.7
SUO,2007-01-30 10:44:00,8.32,9.4,32.04,2.5
SUO,2007-01-30 11:43:00,9.47,9.1,32.4,1.4
SUO,2007-01-30 13:36:00,10.08,9.1,32.37,1.7
SUO,2007-01-30 14:53:00,10.72,8.9,32.5,0.3
SUO,2007-01-30 15:57:00,9.63,9.4,32.42,1.7
SUO,2007-01-31 10:42:00,10.05,8.8,32.5,0.4
SUO,2007-01-31 11:44:00,11.59,8.9,32.78,2.9
SUO,2007-01-31 12:24:00,11.21,8.5,32.66,1.5
SUO,2007-01-31 13:30:00,11.75,8.7,32.83,1.6
SUO,2007-01-31 14:48:00,9.95,8.9,32.44,1.3
SUO,2007-02-05 11:44:00,10.66,8.9,32.67,0.9
SUO,2007-02-05 12:49:00,12.23,8.7,33.15,1.1
SUO,2007-02-05 13:35:00,12.3,8.6,33.21,0.9
SUO,2007-02-05 14:47:00,10.91,8.9,32.69,0.4
HBK,2007-02-06 10:36:00,14.09,8.2,34.51,0.4
HBK,2007-02-06 11:12:00,14.74,8.3,34.51,1.8
HBK,2007-02-06 11:45:00,14.71,8.4,34.52,0.8
HBK,2007-02-06 12:15:00,13.59,8.4,34.48,0.4
SUO,2007-02-06 14:43:00,8.53,9.7,32.84,6.1
SUO,2007-02-06 15:41:00,9.5,9.4,32.47,0.8
KIS,2007-02-07 08:55:00,11.47,8.8,32.57,2.2
KIS,2007-02-07 10:00:00,11.59,8.6,32.55,1.2
SUO,2007-02-07 13:13:00,12.69,8.6,33.31,0.9
SUO,2007-02-07 14:27:00,12.54,8.5,33.23,0.5
KIS,2007-02-08 09:00:00,12.78,8.7,32.96,1.4
KIS,2007-02-08 10:25:00,13.24,8.6,33.29,1.1
KIS,2007-02-08 11:41:00,11.66,10.1,32.63,5.2
OSK,2007-02-13 09:25:00,10.65,12.5,31.54,14
KIS,2007-02-13 09:28:00,12.88,8.7,33.22,0.8
OSK,2007-02-13 10:47:00,10.86,12.9,30.82,10
HIU,2007-02-13 11:27:00,12.22,8.7,33.03,1.4
OSK,2007-02-13 12:05:00,11.01,13.5,29.7,21
HIU,2007-02-13 12:13:00,11.58,9.6,32.85,4.6
HIU,2007-02-13 13:54:00,11.69,9.8,32.86,4.7
HIU,2007-02-13 14:57:00,11.53,10.4,32.76,0.6
HIU,2007-02-14 09:00:00,12.05,9.5,32.99,4.8
HIU,2007-02-14 09:59:00,11.51,10.2,32.67,4.3
HIU,2007-02-14 11:02:00,10.55,9.8,32.52,0.7
HIU,2007-02-14 12:01:00,11.31,10.2,32.77,1.2
HRS,2007-02-15 10:45:00,12.04,8.6,32.85,2.6
HRS,2007-02-15 11:55:00,11.84,9,32.51,3.2
HRS,2007-02-15 13:10:00,11.79,9.5,31.64,1.9
HRS,2007-02-15 14:20:00,11.75,9.3,32.21,2.4
HAR,2007-02-16 09:24:00,10.96,9.2,32.4,1.3
OSK,2007-02-16 09:25:00,10.52,9.3,32.06,2.4
HRS,2007-02-16 10:35:00,11.61,9.7,32.5,2.1
OSK,2007-02-16 10:43:00,10.74,9.8,31.79,8.3
HAR,2007-02-16 11:09:00,10.75,9.3,32.31,1.3
OSK,2007-02-16 11:32:00,11.11,9.7,32.19,6
HAR,2007-02-16 12:35:00,10.47,9.6,32.2,0.9
HRS,2007-02-16 13:15:00,12.2,9.3,32.96,1.6
HAR,2007-02-16 13:46:00,10.31,10.4,32.11,3
HRS,2007-02-16 14:25:00,12.54,9,33.12,1.2
OSK,2007-02-16 14:50:00,10.86,10.6,32.11,3.3
OSK,2007-02-19 08:47:00,11.68,8.4,32.57,1.1
OSK,2007-02-19 09:29:00,10.68,9.1,32.14,2.5
OSK,2007-02-19 10:11:00,11.31,8.5,32.39,0.6
AKI,2007-02-19 10:43:00,12.5,8.6,33.36,1
HAR,2007-02-19 10:50:00,10.37,9,32.09,1.9
OSK,2007-02-19 11:29:00,11.74,8.2,32.63,0.4
AKI,2007-02-19 11:32:00,12.33,8.7,33.23,1.5
HAR,2007-02-19 11:32:00,10.46,9,32.08,1.6
AKI,2007-02-19 12:58:00,12.17,8.7,33.15,1.8
KIS,2007-02-19 13:04:00,12.41,8.2,32.96,0.6
HAR,2007-02-20 08:23:00,9.76,9.4,31.73,3.1
HAR,2007-02-20 10:12:00,9.75,10.1,31.67,9.3
KIS,2007-02-20 10:25:00,16.59,7.6,34.52,0.6
IY1,2007-02-20 10:54:00,13.56,8.7,33.85,1.8
IY1,2007-02-20 11:05:00,12.7,8.6,33.49,1.1
KIS,2007-02-20 11:46:00,16.13,7.6,34.45,0.8
IY1,2007-02-20 12:15:00,14.05,8.4,33.96,1.3
IY1,2007-02-20 12:20:00,12.94,8.6,33.6,1.5
KIS,2007-02-20 13:07:00,13.9,8,33.74,0.2
HAR,2007-02-20 13:10:00,10.24,9.7,31.97,3
IY1,2007-02-20 13:15:00,12.7,8.6,33.3,0.5
IY2,2007-02-20 14:27:00,13.07,8.6,33.6,1.3
HAR,2007-02-20 14:27:00,10.24,9.8,32.04,4.3
KIS,2007-02-21 08:17:00,11.84,8.5,32.68,0.5
IY2,2007-02-21 09:40:00,12.51,8.5,33.37,1.1
AKI,2007-02-21 10:20:00,11.96,9.2,33.01,1.9
HAR,2007-02-21 10:26:00,10.29,9,32.11,1.2
KIS,2007-02-21 10:27:00,13.93,7.7,33.8,0.1
AKI,2007-02-21 11:05:00,11.88,9,32.98,2.6
IY2,2007-02-21 11:10:00,12.35,8.7,33.19,1.2
KIS,2007-02-21 11:18:00,13.15,7.3,33.33,0.1
HAR,2007-02-21 11:42:00,10.17,9.2,32.22,1
AKI,2007-02-21 11:45:00,11.8,8.9,32.96,2.9
KIS,2007-02-21 12:09:00,12.04,7.5,32.74,0.2
IY2,2007-02-21 12:31:00,12.59,8.5,33.33,1.3
IY2,2007-02-21 13:43:00,13.21,8.8,33.7,3.3
HAR,2007-02-21 14:19:00,11.42,9,32.36,0.7
AKI,2007-02-21 14:45:00,12.25,8.9,33.09,1.7
HAR,2007-02-22 09:29:00,10.48,9.3,32.21,1
AKI,2007-02-22 09:40:00,11.96,10.2,32.76,4.7
HAR,2007-02-22 10:44:00,10.78,9.3,32.29,0.8
AKI,2007-02-22 11:25:00,12.44,8.5,33.3,1
AKI,2007-02-22 12:05:00,12.41,8.5,33.24,1.3
AKI,2007-02-22 13:15:00,12.09,9.6,32.95,4
HAR,2007-02-22 13:57:00,10.95,9.6,32.1,0.9
HAR,2007-02-22 15:10:00,10.77,9.6,32.09,1.6
HAR,2007-02-23 09:17:00,10.25,9.1,31.92,1.3
BS1,2007-03-09 10:45:00,10.8,9.1,32.54,0.1
HIU,2007-03-09 12:05:00,11.12,9.5,32.5,0.1
HIU,2007-03-09 14:01:00,11.25,9.2,32.61,0.1
BS1,2007-03-09 15:17:00,10.57,9.4,32.44,0.1
BS1,2007-03-13 10:48:00,10.48,9.5,32.55,0.1
BS1,2007-03-13 13:15:00,10.35,10.1,32.42,0.1
BS1,2007-03-13 15:22:00,10.26,9.9,32.37,0.1
BS1,2007-03-13 16:35:00,10.2,10,32.09,0.1
BS2,2007-03-14 11:19:00,10.01,10.2,31.99,0.1
BS2,2007-03-14 13:38:00,10.3,10.1,32.2,0.1
BS2,2007-03-15 09:35:00,10.2,9.7,32.34,0.1
BS2,2007-03-15 11:52:00,10.02,10.1,31.98,0.1
BS2,2007-03-15 13:42:00,10.15,10,32.2,0.1
KIS,2007-05-14 09:51:00,17.59,7.9,33.72,0.2
KIS,2007-05-14 11:05:00,15.9,7.8,32.82,0.5
BS2,2007-05-14 11:45:00,16.44,8.4,31.7,0.7
SUO,2007-05-14 12:12:00,19.36,8.3,32.69,1.2
SUO,2007-05-14 13:22:00,18.06,8.2,32.85,1.1
BS2,2007-05-14 13:56:00,17.07,8.4,31.77,1.4
KIS,2007-05-14 13:57:00,16,8.3,32.7,0.5
SUO,2007-05-14 14:33:00,19.31,8.1,32.61,0.9
BS2,2007-05-14 15:18:00,17,8.5,31.87,1.7
BS2,2007-05-15 08:50:00,16.86,8.4,31.88,2
KIS,2007-05-15 09:11:00,16.36,8.3,32.85,0.4
BS2,2007-05-15 10:22:00,17.27,8.4,31.72,2.6
KIS,2007-05-15 10:23:00,16.55,8.2,33.01,0.4
SUO,2007-05-15 10:38:00,17.69,8.3,32.82,1.4
SUO,2007-05-15 11:42:00,17.7,8.3,32.88,0.6
KIS,2007-05-15 11:44:00,16.95,8.3,32.78,0.8
BS2,2007-05-15 12:03:00,17.19,10.3,31.56,6
SUO,2007-05-15 12:46:00,17.52,8.1,32.92,0.6
SUO,2007-05-15 13:29:00,18.13,8.5,32.84,0.6
BS2,2007-05-15 14:51:00,17.22,9,31.69,4
HIU,2007-05-16 11:15:00,16.6,8.4,32.2,0.5
HIU,2007-05-16 13:27:00,17.45,8.5,32.06,0.5
HIU,2007-05-16 14:15:00,18.31,8.4,31.84,1.1
HIU,2007-05-16 15:34:00,18.4,8.4,31.84,0.6
BS1,2007-05-18 08:38:00,17.04,8.1,31.96,3.2
BS1,2007-05-18 09:55:00,17.09,8.3,31.89,4.1
AKI,2007-05-18 10:19:00,16.1,8.1,33.6,0.8
SUO,2007-05-18 10:44:00,16.84,7.8,32.97,0.7
AKI,2007-05-18 11:48:00,15.84,8.2,33.46,0.9
SUO,2007-05-18 11:52:00,16.74,8.1,33.06,0.7
SUO,2007-05-18 12:33:00,16.3,8.3,33.15,1.1
AKI,2007-05-18 12:52:00,15.86,8.1,33.52,0.9
BS1,2007-05-18 13:15:00,17.1,8.8,31.89,4.4
SUO,2007-05-18 13:42:00,16.52,8.3,33.3,0.4
BS1,2007-05-18 14:17:00,17.02,8.9,32.07,2.7
KIS,2007-05-21 08:39:00,17.08,7.7,33.49,0.8
KIS,2007-05-21 09:33:00,16.84,7.3,33.32,1
BS1,2007-05-21 09:49:00,17.15,8,32.06,1.5
IY1,2007-05-21 10:47:00,17.07,8.2,33.59,0.1
KIS,2007-05-21 10:49:00,17.21,7.2,33.4,0.6
SUO,2007-05-21 10:58:00,17.09,8.3,33.01,0.7
BS1,2007-05-21 11:50:00,17.46,8.2,32.14,0.4
SUO,2007-05-21 12:07:00,17.41,8.4,33.04,0.7
IY1,2007-05-21 12:08:00,16.35,8.1,33.71,0.4
KIS,2007-05-21 12:14:00,17.2,7.2,33.31,0.9
SUO,2007-05-21 13:19:00,17.94,8.1,33.01,1
KIS,2007-05-21 14:09:00,17.56,7.1,33.77,1.5
IY2,2007-05-21 14:14:00,16.47,8.4,33.68,0.2
BS1,2007-05-21 14:48:00,17.95,8,32.04,0.7
BS1,2007-05-21 15:49:00,17.58,8,32.06,1.2
IY2,2007-05-22 09:30:00,16.17,7.9,33.55,0.8
HBK,2007-05-22 10:41:00,19.25,7.6,34.53,0.3
IY2,2007-05-22 10:43:00,16.22,7.9,33.37,0.8
IY1,2007-05-22 10:52:00,16.38,7.7,33.58,0.3
HBK,2007-05-22 11:17:00,18.9,7.4,34.52,0.3
HBK,2007-05-22 11:53:00,19.49,7.8,34.46,0.5
IY2,2007-05-22 12:06:00,17.56,8,33.68,0.3
IY1,2007-05-22 12:06:00,17.86,7.7,33.6,0.1
HBK,2007-05-22 12:30:00,19.69,8.2,34.35,0.8
IY1,2007-05-22 13:01:00,16.18,7.9,33.57,0.5
IY2,2007-05-22 13:13:00,17.66,8.2,33.59,0.3
SUO,2007-05-22 14:29:00,19.59,7.9,32.93,0.9
SUO,2007-05-22 15:32:00,17.54,8.3,33.05,2.6
HRS,2007-05-22 15:39:00,16.38,8.1,33.32,0.4
HAR,2007-05-23 09:21:00,16.43,7.7,32.69,0.5
HAR,2007-05-23 11:07:00,16.55,8.1,32.38,0.2
HIU,2007-05-23 11:10:00,16.39,8,33.43,1.1
HIU,2007-05-23 11:57:00,17.57,8.1,33.35,0.4
HAR,2007-05-23 12:20:00,16.73,7.9,32.61,0.3
SUO,2007-05-23 12:53:00,18.88,7.9,33.23,0.6
HAR,2007-05-23 13:21:00,17.89,7.8,32.73,0.2
HIU,2007-05-23 13:32:00,18.1,8,33.4,0.1
SUO,2007-05-23 14:08:00,18.02,8.4,33.01,0.5
KIS,2007-05-24 08:09:00,17.43,7.9,33.27,1.9
AKI,2007-05-24 08:34:00,16.75,8,33.19,2.1
HIU,2007-05-24 09:08:00,17.82,8.2,33.31,0.6
AKI,2007-05-24 09:35:00,16.61,7.7,33.47,0.7
HIU,2007-05-24 10:10:00,18.25,8.5,33.2,1.2
KIS,2007-05-24 10:15:00,17.17,7.5,32.94,1.7
AKI,2007-05-24 10:42:00,16.42,7.6,33.38,0.9
HIU,2007-05-24 11:18:00,18.49,7.9,33.21,0.6
HIU,2007-05-24 12:19:00,19.18,9,33.24,0.6
KIS,2007-05-24 12:20:00,17.05,7.2,33.18,1.4
AKI,2007-05-24 12:37:00,17.04,7.8,33.28,1.5
HIU,2007-05-24 13:18:00,18.14,7.9,33.32,0.2
AKI,2007-05-24 13:18:00,16.96,7.7,33.33,1
AKI,2007-05-24 14:06:00,16.84,8,33.19,0.9
OSK,2007-05-28 08:22:00,17.4,7.6,33.11,3.1
HRS,2007-05-28 09:37:00,17.81,7.9,32.85,0.4
OSK,2007-05-28 09:42:00,17.98,8.2,32.19,2.4
OSK,2007-05-28 10:55:00,17.65,8.3,32.37,1.5
HRS,2007-05-28 11:15:00,18.49,7.7,32.68,0.3
AKI,2007-05-28 12:22:00,16.9,7.4,33.34,0.7
SUO,2007-05-28 13:03:00,19.21,8,33.23,0.8
AKI,2007-05-28 13:39:00,18,7.7,33.12,1.6
