kai,datetime,Tem,DO,Sal,Chl.a
KIS,2006-02-01 08:45:00,10.32,8.3,33.15,0.4
KIS,2006-02-01 10:16:00,16.91,6.8,34.65,0.1
KIS,2006-02-01 11:30:00,16.26,7.1,34.6,0.1
KIS,2006-02-01 12:41:00,10.12,8.3,33.16,0.5
OSK,2006-02-02 08:30:00,8.53,9.1,32.65,8
OSK,2006-02-02 09:47:00,9.12,8.8,32.8,5.5
OSK,2006-02-02 11:05:00,9.14,9,32.8,6
KIS,2006-02-02 12:45:00,9.31,8.8,32.82,4.3
KIS,2006-02-02 14:03:00,9.26,8.8,32.79,4
KIS,2006-02-06 10:33:00,16.55,7.3,34.64,0.1
KIS,2006-02-06 11:48:00,15.13,7.7,34.49,0.3
KIS,2006-02-09 09:50:00,13.08,8.4,34.11,0.4
KIS,2006-02-09 13:49:00,8.4,9.5,32.71,0.9
KIS,2006-02-10 10:31:00,7.92,9.5,33.03,1
HAR,2006-02-13 10:31:00,8.01,9.6,33.11,0.6
HAR,2006-02-13 12:12:00,7.88,10,33.08,0.7
HAR,2006-02-13 13:35:00,8.41,9.9,33.16,0.5
HAR,2006-02-13 14:45:00,8.1,9.8,33.17,0.7
KIS,2006-02-15 09:33:00,8.93,9.6,33.04,0.5
OSK,2006-02-15 10:09:00,7.97,12.4,29.25,20
KIS,2006-02-15 10:46:00,15.32,8.1,34.58,0.5
OSK,2006-02-15 11:27:00,7.65,11.9,31.32,6.1
KIS,2006-02-15 11:47:00,10.68,9.2,33.27,0.3
OSK,2006-02-15 14:14:00,8.08,13.4,30.91,14
OSK,2006-02-15 14:57:00,7.73,10.6,32.02,2.4
OSK,2006-02-15 15:48:00,7.87,10.6,32.02,2.1
OSK,2006-02-16 09:59:00,8.15,9.8,32.64,1
HRS,2006-02-16 10:20:00,10.23,9.7,33.34,4.6
HRS,2006-02-16 11:25:00,10.12,10.2,32.87,6.2
HRS,2006-02-16 13:30:00,10.06,10.7,32.48,7.6
OSK,2006-02-16 13:53:00,8.69,9.3,32.84,0.8
HRS,2006-02-16 14:50:00,9.55,11.4,32.3,2.2
OSK,2006-02-16 16:10:00,7.8,9.7,32.74,1.6
HAR,2006-02-20 10:17:00,7.75,9.6,32.72,1
HAR,2006-02-20 11:43:00,7.72,9.2,32.94,0.6
HAR,2006-02-21 09:53:00,7.67,10,32.96,0.4
HIU,2006-02-21 10:45:00,9.83,10,33.48,0.2
HRS,2006-02-21 11:10:00,9.67,11.8,32.38,4.8
HAR,2006-02-21 11:11:00,7.8,10,32.83,1.2
