kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2014,2,19,09:32,UC,3805,4.8,9,U,1.91,10.82,8.11,8.61,33.51,0.5,-,-,-,-,-,-,-,-,-,-,B,34.63,12.41,8.05,7.99,34.26,1.5,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2014,2,19,10:25,UC,3805,4.9,9,U,1.82,10.6,8.11,8.75,33.4,0.4,1,1.4,0.2,0.021,0.009,0.055,<0.01,0.013,0.9,0.8,B,46,11.41,8.08,8.48,33.87,2.1,4,1.3,0.22,0.021,0.01,0.069,0.01,0.015,0.7,1.2
KIS,WY03,341312,1345436,WT,2014,2,19,11:33,UC,3805,5,9,U,1.89,10.64,8.12,8.78,33.64,0.2,-,-,-,-,-,-,-,-,-,-,B,58,11.6,8.09,8.44,34.11,1.4,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2014,2,19,14:39,UC,3805,8.2,7,U,2.1,10.96,8.12,8.61,33.65,0.3,1,1.2,0.21,0.02,0.01,0.065,0.01,0.014,0.7,0.7,B,38,12.23,8.1,8.17,34.3,1.2,3,1.2,0.22,0.024,0.01,0.087,<0.01,0.018,0.5,0.7
KIS,WY06,340852,1345950,WT,2014,2,19,12:15,UC,3805,7,8,U,2.05,10.67,8.12,8.73,33.55,0.2,-,-,-,-,-,-,-,-,-,-,B,62.57,12.29,8.09,8.17,34.37,1.1,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2014,2,24,09:04,CL,3805,6.2,12,U,2.21,10.68,8.03,8.83,33.66,0.1,1,1.3,0.21,0.019,0.016,0.031,<0.01,0.014,0.9,0.7,B,58,12.18,7.97,8.38,34.31,0.9,2,1,0.2,0.019,0.009,0.016,<0.01,0.014,0.7,0.8
KIS,WY08,340852,1344922,WT,2014,2,20,10:10,UC,3802,7,9.35,U,2.08,11.26,8.21,9.05,33.66,0.46,-,-,-,-,-,-,-,-,-,-,B,50.42,11.74,8.21,9.28,33.94,0.96,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,2014,2,20,10:45,UC,3802,7,7.57,U,2.47,10.39,8.22,9.37,33.18,0.7,2,0.9,0.14,0.019,0.01,0.054,0.04,0.013,1,1.2,B,20.67,11.43,8.2,9.26,33.73,0.94,4,0.7,0.15,0.025,0.01,0.069,0.01,0.016,0.6,1
KIS,WY10,340852,1343854,WT,2014,2,20,13:40,CL,3502,9,7.01,U,1.86,9.36,8.28,9.75,32.64,0.64,-,-,-,-,-,-,-,-,-,-,B,14.62,9.3,8.3,10.08,32.67,0.94,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2014,2,19,12:53,UC,3805,7.8,13,U,2.15,11.71,8.11,8.45,34.12,0.3,1,1.2,0.2,0.02,0.01,0.079,<0.01,0.016,0.6,0.6,B,58,12.14,8.09,8.28,34.4,0.4,<1,1.1,0.22,0.021,0.01,0.086,<0.01,0.017,0.7,0.8
