kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2007,2,19,7:56,CL,4202,8,10,U,1.94,12.05,8.2,8.4,32.65,1.3,-,-,-,-,-,-,-,-,-,-,B,32.96,14.01,8.2,8.3,33.69,2.1,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2007,2,21,8:17,CL,4202,11,5.4,U,2.17,11.84,8.2,8.5,32.68,2.6,2,1.4,0.19,0.031,0.012,0.029,0.07,0.016,0.5,0.4,B,48.17,13.12,8.2,9,33.35,9.7,9,1.5,0.14,0.041,0.017,0.035,0.07,0.025,0.3,0.7
KIS,WY03,341312,1345436,WT,2007,2,19,12:26,CL,3802,12,8.8,U,2.11,12.13,8.2,8.4,32.82,0.8,-,-,-,-,-,-,-,-,-,-,B,50.28,12.34,8.1,8.3,32.98,1,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2007,2,21,12:09,CL,4102,14,7.6,U,2.09,12.04,8.2,7.5,32.74,1.2,1,1.2,0.18,0.031,0.012,0.029,0.11,0.015,0.2,0.6,B,41.33,14.01,8.1,6.7,33.68,2.2,3,1,0.13,0.043,0.018,0.045,0.07,0.029,0.6,0.2
KIS,WY06,340852,1345950,WT,2007,2,21,8:58,CL,4202,10,8,U,2.23,11.89,8.2,8.6,32.74,0.9,-,-,-,-,-,-,-,-,-,-,B,50.14,13.7,8.2,8.6,33.61,1.3,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2007,2,19,13:04,CL,3802,12,9.6,U,2,12.41,8.2,8.2,32.96,0.8,<1,1.4,0.19,0.033,0.014,0.038,0.11,0.018,0.6,0.1,B,49.99,13.64,8.1,8,33.58,1.1,1,1.2,0.16,0.024,0.016,0.037,0.07,0.016,0.2,<0.1
KIS,WY08,340852,1344922,WT,2007,2,13,10:09,CL,3802,12,9.4,U,2.03,12.69,8.2,8.8,33.07,0.4,-,-,-,-,-,-,-,-,-,-,B,49.86,14.43,8.2,7.8,33.82,1.4,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,2007,2,7,10:00,UC,3802,13,7.1,U,2.01,11.59,8.2,8.6,32.55,0.6,1,1.6,0.24,0.027,0.021,0.09,0.05,0.015,1.2,0.4,B,21.54,11.94,8.2,8.4,32.68,2.5,2,1.5,0.2,0.028,0.019,0.05,<0.05,0.015,1.3,0.3
KIS,WY10,340852,1343854,WT,2007,2,7,10:40,UC,3802,13,6.1,U,2.37,11.25,8.2,8.9,32.46,1,-,-,-,-,-,-,-,-,-,-,B,15.9,11.23,8.2,8.8,32.45,1.7,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2007,2,21,11:18,CL,4102,12,8.4,U,1.88,13.15,8.2,7.3,33.33,0.8,2,1,0.12,0.028,0.016,0.033,0.06,0.016,<0.1,0.4,B,50.46,14.01,8.1,6.9,33.78,0.4,2,1,0.16,0.037,0.042,0.028,0.05,0.023,<0.1,1.2
KIS,WY12,340432,1345436,WT,2007,2,21,9:47,CL,4102,12,8.8,U,1.91,13.51,8.2,7.7,33.6,0.8,-,-,-,-,-,-,-,-,-,-,B,50.08,13.73,8.2,8.2,33.67,0.6,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,2007,2,13,9:28,CL,3802,10.5,6.7,U,2.17,12.88,8.2,8.7,33.22,0.6,<1,1.1,0.2,0.02,0.017,0.05,<0.05,0.011,0.8,0.3,B,50.15,14.85,8.2,7.9,33.92,1.6,2,1.1,0.18,0.02,0.014,0.05,<0.05,0.009,0.5,0.1
KIS,WY14,340432,1344408,WT,2007,2,7,9:25,UC,4102,12,7.8,U,2,11.65,8.2,8.7,32.58,0.5,-,-,-,-,-,-,-,-,-,-,B,37.74,12.51,8.2,8,32.94,4.1,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,2007,2,7,8:55,UC,3502,12,5.2,U,2.12,11.47,8.2,8.8,32.57,0.8,1,1.6,0.22,0.031,0.015,0.05,<0.05,0.017,2.2,0.3,B,22.75,11.46,8.2,8.6,32.58,2.1,3,1.7,0.2,0.031,0.014,0.05,<0.05,0.016,2.8,0.3
KIS,WY16,340012,1350504,WT,2007,2,20,13:07,CL,4202,12,8.2,U,2.14,13.9,8.2,8,33.74,0.8,2,1.2,0.12,0.032,0.017,0.039,0.03,0.017,0.2,<0.1,B,35.19,13.52,8.1,9,33.68,1,2,1.5,0.14,0.028,0.024,0.044,0.03,0.017,0.2,0.4
KIS,WY17,340012,1345950,WT,2007,2,20,12:30,CL,4202,12,11.6,U,2.03,13.84,8.2,8.1,33.7,0.6,-,-,-,-,-,-,-,-,-,-,B,50.17,14.26,8.1,8.5,33.85,1,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,2007,2,21,10:27,CL,4102,12,12,U,1.82,13.93,8.1,7.7,33.8,0.5,1,0.9,0.16,0.034,0.015,0.044,0.03,0.019,<0.1,0.9,B,50.67,13.97,8.1,7.8,33.8,0.5,1,1,0.13,0.025,0.014,0.047,0.03,0.016,0.1,1.2
KIS,WY19,340012,1344922,WT,2007,2,8,9:40,UC,3802,12,6.9,U,2.13,12.6,8.2,8.7,32.99,0.6,-,-,-,-,-,-,-,-,-,-,B,50.01,13.42,8.2,8.2,33.38,2.2,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,WT,2007,2,8,9:00,UC,4102,10.5,7.5,U,2.04,12.78,8.2,8.7,32.96,1.9,<1,1.3,0.19,0.022,0.018,0.05,<0.05,0.012,1.4,<0.1,B,42.01,13.04,8.2,8.2,33.12,6.8,6,1.6,0.21,0.035,0.016,0.05,<0.05,0.016,1,0.3
KIS,WY21,335552,1345950,WT,2007,2,20,11:46,CL,4202,12,14.8,U,2,16.13,8.2,7.6,34.45,0.3,1,1.1,0.1,0.022,0.006,0.041,0.05,0.013,0.8,0.7,B,50.02,15.97,8.2,8.2,34.48,0.4,<1,1.4,0.1,0.019,0.005,0.045,0.04,0.011,0.4,0.5
KIS,WY22,335552,1345436,WT,2007,2,20,9:45,CL,4302,12,11.6,U,2.09,14.59,8.2,8,34,0.5,-,-,-,-,-,-,-,-,-,-,B,50.11,14.72,8.1,8.6,34.05,2.2,-,-,-,-,-,-,-,-,-,-
KIS,WY23,335552,1344922,WT,2007,2,8,10:25,UC,4102,13.5,7.5,U,2.01,13.24,8.2,8.6,33.29,0.6,<1,1.4,0.18,0.023,0.014,0.04,<0.05,0.012,1.1,0.2,B,49.92,13.74,8.2,8.4,33.51,0.6,1,1.4,0.16,0.02,0.014,0.04,<0.05,0.012,1,<0.1
KIS,WY24,335552,1344408,WT,2007,2,8,14:06,UC,3703,13.5,6.2,U,2.11,11.57,8.3,10.2,32.5,0.6,-,-,-,-,-,-,-,-,-,-,B,41.92,13.8,8.2,8.1,33.48,2.9,-,-,-,-,-,-,-,-,-,-
KIS,WY26,335132,1345950,WT,2007,2,20,11:09,CL,4202,8,14,U,2.17,17.36,8.2,7.5,34.72,0.3,-,-,-,-,-,-,-,-,-,-,B,49.96,16.37,8.1,7.6,34.56,0.5,-,-,-,-,-,-,-,-,-,-
