kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2019,3,14,8:40,CL,3802,11,13,U,1.68,13.02,8.03,8.4,33.81,0.1,-,-,-,-,-,-,-,-,-,-,B,33,14.18,7.98,7.77,34.43,0.8,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2019,3,14,9:13,CL,3703,11.5,12,U,1.59,12.61,8.05,8.68,33.49,0.1,1,1.4,0.12,0.018,<0.005,0.021,0.03,0.009,0.5,0.3,B,43,13.6,8.03,8.35,34.08,0.3,1,1.3,0.13,0.018,<0.005,0.038,0.02,0.012,0.2,0.2
KIS,WY03,341312,1345436,WT,2019,3,14,9:48,CL,3505,10.9,12,U,1.98,12.31,8.07,8.85,33.35,0.1,-,-,-,-,-,-,-,-,-,-,B,58,14.04,8.04,8.39,34.34,0.3,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2019,3,20,11:16,CL,3805,16.8,10,U,2.15,13.17,8.11,8.9,33.84,0.2,<1,1.2,0.14,0.027,<0.005,0.006,0.03,0.004,1,0.4,B,38,14.39,8.06,8.24,34.48,0.6,<1,1.2,0.14,0.023,<0.005,0.019,0.03,0.008,0.1,0.1
KIS,WY06,340852,1345950,WT,2019,3,20,9:09,CL,3805,11.2,15,U,1.95,13.27,8.1,8.86,33.98,0.1,-,-,-,-,-,-,-,-,-,-,B,58,14.02,8.06,8.44,34.41,0.7,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2019,3,14,10:21,CL,3703,9.9,12,U,1.75,12.92,8.07,8.74,33.79,0.1,<1,1.5,0.11,0.016,<0.005,0.023,0.02,0.012,0.7,0.2,B,58,14.86,8.05,8.14,34.69,0.8,1,1.1,0.11,0.017,<0.005,0.036,0.02,0.011,0.3,0.5
KIS,WY08,340852,1344922,WT,2019,2,22,10:34,-,-,-,-,U,2.3,12.81,8.31,8.36,33.63,0.3,-,-,-,-,-,-,-,-,-,-,B,50.2,13.75,8.28,7.85,34.05,1.2,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,2019,2,22,11:08,-,-,-,-,U,2.3,11.36,8.3,8.78,32.7,0.3,2,1.8,0.18,0.022,0.005,0.026,0.06,0.007,0.5,0.4,B,19,12.41,8.29,8.36,33.33,0.8,4,1.6,0.18,0.024,0.008,0.028,0.06,0.009,0.2,0.2
KIS,WY10,340852,1343854,WT,2019,2,22,11:46,-,-,-,-,U,2.2,11.08,8.3,8.95,32.42,0.8,-,-,-,-,-,-,-,-,-,-,B,13.6,11.01,8.29,8.85,32.57,1.1,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2019,3,20,9:44,CL,3702,12.5,17,U,1.66,14,8.09,8.55,34.39,0.1,<1,1.1,0.11,0.017,<0.005,0.008,0.04,0.006,0.1,0.2,B,58,14.09,8.08,8.55,34.44,0.2,<1,1.2,0.12,0.016,<0.005,0.011,0.03,0.006,0.2,0.1
KIS,WY12,340432,1345436,WT,2019,3,14,10:54,CL,3703,10.1,12,U,1.96,13.56,8.07,8.68,34.13,0.1,-,-,-,-,-,-,-,-,-,-,B,58,14.83,8.04,8.07,34.67,1,-,-,-,-,-,-,-,-,-,-
