kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY24,335552,1344408,WT,1986,2,20,0:00,CL,4105,7,10.3,U,2,8.2,8.1,-,33.93,-,-,-,-,-,-,-,-,-,-,-,B,25,9.1,8.1,10.3,34.21,-,-,-,-,-,-,-,-,-,-,-
KIS,WY26,335132,1345950,WT,1986,2,18,10:38,RN,4105,9,10.2,U,2,15,-,-,34.33,-,-,-,-,-,-,-,-,-,-,-,B,25.6,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY27,335132,1345436,WT,1986,2,20,12:02,CL,4105,8,19.1,U,2,-,-,-,-,-,<1,0.6,0.13,0.025,0.007,0.058,0.04,0.003,-,-,B,32.9,-,-,-,-,-,1,0.5,0.13,0.029,0.007,0.054,0.04,0.015,-,-
KIS,WY28,335132,1344922,WT,1986,2,20,0:00,CL,4202,9,11.8,U,2,15.2,-,7.9,-,-,-,-,-,-,-,-,-,-,-,-,B,33.5,13.7,-,7.6,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY35,340012,1343854,WT,1986,2,19,11:34,CL,3703,7,3.9,U,2,7.3,-,-,32.84,-,-,-,-,-,-,-,-,-,-,-,B,7.9,7.4,-,-,32.86,-,-,-,-,-,-,-,-,-,-,-
KIS,WY36,335132,1344408,WT,1986,2,20,11:33,CL,4105,7,13.2,U,2,14,-,7.8,-,-,4,2,0.18,0.025,0.005,0.064,0.07,0.013,-,-,B,33.5,11,-,8.5,-,-,1,0.5,0.19,0.033,0.005,0.071,0.04,0.012,-,-
OSK,KB01,343642,1351532,WT,1986,2,15,14:02,UC,2706,8,0.7,U,2,7.5,8.5,12.5,32.23,2.3,3,3.4,0.43,0.034,-,-,-,-,-,-,B,20.4,8.3,8.2,8.7,32.82,1,2,<0.5,0.23,0.029,-,-,-,-,-,-
OSK,KB02,343222,1351532,WT,1986,2,15,13:33,UC,2706,7.5,1,U,2,8,8.4,11.6,33.11,1,-,-,-,-,-,-,-,-,-,-,B,20.3,8.5,8.2,8.7,33.7,1.8,-,-,-,-,-,-,-,-,-,-
OSK,KB03,342902,1351532,WT,1986,2,15,10:56,UC,2306,7.5,1.5,U,2,6.9,-,-,30.55,9.7,20,4.2,1.06,0.083,-,-,-,-,-,-,B,18.4,7.6,8.2,8.9,32.08,1.8,3,1.8,0.32,0.025,-,-,-,-,-,-
OSK,KB05,343642,1351018,WT,1986,2,17,8:37,CL,3502,2.5,4,U,2,7.6,8.6,9.1,32.3,0.2,-,-,-,-,-,-,-,-,-,-,B,19.4,7.5,-,9.2,32.3,0.3,-,-,-,-,-,-,-,-,-,-
OSK,KB06,343222,1351018,WT,1986,2,17,9:43,CL,3105,2,2,U,2,6.6,8.5,10.2,30.77,0.5,2,2.1,0.29,0.037,-,-,-,-,-,-,B,39,7.4,8.2,9.6,31.42,0.2,2,1.4,0.16,0.023,-,-,-,-,-,-
