kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,1991,1,11,13:37,UC,3505,10.5,6,U,2,12.6,-,-,32.56,1.6,-,-,-,-,-,-,-,-,-,-,B,31.8,13.9,-,-,33.56,3.4,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,1991,1,11,14:06,UC,3502,10.5,6,U,2,-,-,-,-,1.5,2,3,-,-,-,-,-,-,-,-,B,46.8,-,-,-,-,2.9,2,2.4,-,-,-,-,-,-,-,-
KIS,WY03,341312,1345436,WT,1991,1,9,10:18,CL,3802,6.8,4,U,2,-,-,-,-,2.3,-,-,-,-,-,-,-,-,-,-,B,50.1,-,-,-,-,4.2,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,1991,1,11,11:56,CL,3502,10.5,6.5,U,2,12.7,-,-,32.7,1.6,2,2.8,-,-,-,-,-,-,-,-,B,39.2,13.8,-,-,33.56,3,2,2.6,-,-,-,-,-,-,-,-
KIS,WY06,340852,1345950,WT,1991,1,11,11:23,CL,3502,9.5,6,U,2,12.5,-,-,32.43,1.7,-,-,-,-,-,-,-,-,-,-,B,49.9,13.7,-,-,33.83,2.5,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,1991,1,9,10:47,CL,3702,8,3.5,U,2,-,-,-,-,2.1,2,2.3,0.46,0.033,<0.005,0.15,<0.01,0.027,-,-,B,50.2,-,-,-,-,2.7,2,1.4,0.36,0.034,<0.005,0.15,<0.01,0.03,-,-
KIS,WY08,340852,1344922,WT,1991,1,11,10:36,CL,3502,9.5,6,U,2,-,-,-,-,1.7,-,-,-,-,-,-,-,-,-,-,B,48,-,-,-,-,4.1,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,1991,1,11,10:08,CL,3502,9.5,6.5,U,2,11.3,-,-,31.83,1.8,2,2.8,-,-,-,-,-,-,-,-,B,24.8,12,-,7.2,32.5,2.7,2,2.6,-,-,-,-,-,-,-,-
KIS,WY10,340852,1343854,WT,1991,1,11,9:40,UC,3505,10.3,4.5,U,2,11.3,-,7.6,31.8,3.2,-,-,-,-,-,-,-,-,-,-,B,13,11.3,-,7.6,31.9,4.2,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,1991,1,10,13:15,UC,3505,10,5,U,2,12.8,-,-,32.7,1.8,2,2,-,-,-,-,-,-,-,-,B,50,13.8,-,-,34,1.5,1,1.6,-,-,-,-,-,-,-,-
KIS,WY12,340432,1345436,WT,1991,1,10,13:45,UC,3505,10.2,5,U,2,12.1,-,-,32.1,1.4,-,-,-,-,-,-,-,-,-,-,B,50.1,13.4,-,-,33.36,1.3,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,1991,1,10,15:07,UC,3505,10,5.5,U,2,-,-,-,-,1.5,1,3,-,-,-,-,-,-,-,-,B,50,-,-,-,-,6.2,7,2,-,-,-,-,-,-,-,-
KIS,WY14,340432,1344408,WT,1991,1,10,15:35,UC,3505,11,5,U,2,11.7,-,7.7,31.8,1.9,-,-,-,-,-,-,-,-,-,-,B,34.9,11.9,-,7.5,32.03,5.5,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,1991,1,11,9:15,UC,3505,9,4.5,U,2,10.2,-,8.1,-,2.3,1,3,0.54,0.036,0.01,0.22,0.02,0.028,-,-,B,16,11.2,-,7.8,31.8,4.2,4,2.8,0.37,0.032,0.01,0.13,<0.01,0.029,-,-
KIS,WY16,340012,1350504,WT,1991,1,10,12:21,UC,3505,10,8,U,2,12.7,-,-,32.73,1.4,1,2.6,-,-,-,-,-,-,-,-,B,39.9,13,-,-,33.23,1.7,1,2.6,-,-,-,-,-,-,-,-
KIS,WY17,340012,1345950,WT,1991,1,10,12:48,UC,3505,10,6.5,U,2,12.7,-,-,32.5,1.5,-,-,-,-,-,-,-,-,-,-,B,50,13.7,-,-,34.03,1.8,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,1991,1,10,14:10,UC,3505,10,5.5,U,2,12.2,-,-,32.16,1.3,1,2.8,-,-,-,-,-,-,-,-,B,50,13.5,-,-,33.4,1.4,1,2.6,-,-,-,-,-,-,-,-
KIS,WY19,340012,1344922,WT,1991,1,10,14:39,UC,3505,11,5.5,U,2,-,-,-,-,1.4,-,-,-,-,-,-,-,-,-,-,B,50.1,-,-,-,-,3.1,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,WT,1991,1,10,15:59,UC,3505,10.7,5.5,U,2,11.9,-,7.7,32.06,1.3,1,3.2,-,-,-,-,-,-,-,-,B,39.9,12.3,-,7.4,32.4,5.2,6,4.8,-,-,-,-,-,-,-,-
KIS,WY21,335552,1345950,WT,1991,1,10,11:48,UC,3505,9.3,9,U,2,12.6,-,-,32.46,1.2,1,2.6,0.37,0.035,<0.005,0.14,<0.01,0.029,-,-,B,50,13.4,-,-,33.9,1.1,2,2.2,0.32,0.039,<0.005,0.16,<0.01,0.035,-,-
KIS,WY22,335552,1345436,WT,1991,1,10,10:22,UC,3505,8.5,10,U,2,12.6,-,-,32.43,1.3,-,-,-,-,-,-,-,-,-,-,B,50,13.1,-,-,32.9,1.1,-,-,-,-,-,-,-,-,-,-
KIS,WY23,335552,1344922,WT,1991,1,10,9:54,UC,3505,8.2,8.5,U,2,12.3,-,-,32.33,1.3,1,3,-,-,-,-,-,-,-,-,B,50,12.7,-,7.3,32.76,1.4,1,2.8,-,-,-,-,-,-,-,-
KIS,WY24,335552,1344408,WT,1991,1,10,8:22,UC,3505,6.2,6.5,U,2,11.2,-,7.9,31.9,1.9,-,-,-,-,-,-,-,-,-,-,B,43,11.8,-,7.6,32.46,3.6,-,-,-,-,-,-,-,-,-,-
