kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2010,3,9,15:30,-,-,-,-,U,2.15,10.48,8.6,8.8,32.52,1.1,-,-,-,-,-,-,-,-,-,-,B,33.08,12.18,8.5,8.3,33.38,2.8,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2010,3,9,14:53,-,-,-,-,U,2.03,9.84,8.6,8.9,32.56,2.3,2,1.7,0.2,0.029,0.011,0.055,0.02,0.013,0.5,0.7,B,48.39,10.09,8.5,9.3,32.68,2.5,3,1.8,0.21,0.027,0.012,0.067,0.03,0.012,0.5,0.8
KIS,WY03,341312,1345436,WT,2010,3,9,14:13,-,-,-,-,U,1.94,10.94,8.6,8.8,32.86,0.5,-,-,-,-,-,-,-,-,-,-,B,50.57,11.67,8.5,8.9,33.11,1.3,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2010,2,12,9:47,-,-,-,-,U,1.88,10.29,8.3,8.7,32.67,1,1,1.3,0.23,0.028,0.017,0.068,0.02,0.018,0.4,1.1,B,40.29,13.09,8.2,7.7,33.97,2.7,4,1.2,0.25,0.03,0.011,0.1,<0.01,0.02,0.2,0.9
KIS,WY06,340852,1345950,WT,2010,2,12,10:26,-,-,-,-,U,2.59,10.56,8.3,8.7,32.81,0.3,-,-,-,-,-,-,-,-,-,-,B,49.89,11.98,8.2,8.5,33.31,0.9,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2010,2,12,11:10,-,-,-,-,U,2.15,10.57,8.3,8.8,32.82,0.5,1,1.4,0.22,0.028,0.015,0.05,0.01,0.016,0.4,0.6,B,51.04,10.61,8.2,8.8,32.84,0.5,1,1.5,0.21,0.029,0.015,0.056,<0.01,0.019,0.4,0.6
KIS,WY08,340852,1344922,WT,2010,2,8,10:15,UC,3703,13,9.7,U,2.04,11.01,8.3,9.1,32.95,0.3,-,-,-,-,-,-,-,-,-,-,B,50.35,12.55,8.3,8.3,33.45,1.5,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,2010,2,8,10:51,UC,3703,12,8.7,U,2.25,9.21,8.2,9.4,32.76,0.3,<1,1.6,0.19,0.026,0.01,0.047,0.03,0.016,0.6,0.4,B,20.8,9.21,8.2,9.4,32.82,0.3,<1,1.7,0.15,0.024,0.011,0.044,0.03,0.015,0.6,0.3
KIS,WY10,340852,1343854,WT,2010,2,8,13:16,UC,3703,14,8.6,U,2.01,9.25,8.3,9.4,32.78,0.4,-,-,-,-,-,-,-,-,-,-,B,15.19,9.24,8.3,9.4,32.82,0.3,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2010,2,12,12:38,-,-,-,-,U,2.68,10.56,8.2,8.7,32.83,0.8,1,1.2,0.22,0.029,0.013,0.061,<0.01,0.018,0.5,0.7,B,49.92,12.83,8.2,7.5,33.69,1,1,1,0.22,0.03,0.013,0.069,<0.01,0.021,0.2,0.6
KIS,WY12,340432,1345436,WT,2010,2,12,11:48,-,-,-,-,U,2.09,10.55,8.2,8.7,32.84,0.8,-,-,-,-,-,-,-,-,-,-,B,50.36,11.45,8.2,8.5,33.14,0.8,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,2010,2,8,9:36,UC,3802,10,8.3,U,1.97,11.06,8.3,8.9,32.98,0.4,<1,1.7,0.14,0.023,0.017,0.063,0.02,0.012,0.5,0.2,B,50.19,11.87,8.2,8.2,33.33,2.3,2,1.4,0.19,0.027,0.016,0.081,0.03,0.016,0.3,0.3
KIS,WY14,340432,1344408,WT,2010,2,8,9:03,UC,3802,8,8.2,U,2.09,10.83,8.3,9,32.98,0.4,-,-,-,-,-,-,-,-,-,-,B,36.39,9.79,8.3,9.1,32.93,1.4,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,2010,2,8,13:45,UC,3505,13,5.9,U,2.04,9.77,8.3,9.4,32.5,0.5,<1,1.6,0.2,0.025,0.011,0.063,0.02,0.014,0.6,0.4,B,21.08,9.66,8.2,9.2,32.89,0.9,1,1.7,0.17,0.024,0.011,0.049,0.01,0.016,0.4,0.3
KIS,WY16,340012,1350504,WT,2010,3,10,14:13,-,-,-,-,U,2.44,12.02,8.2,8.5,33.31,0.5,2,1.2,0.2,0.03,0.014,0.064,<0.01,0.015,0.8,1.1,B,35.97,12.73,8.1,8.5,33.77,1,1,1.3,0.22,0.026,0.012,0.081,<0.01,0.017,0.6,0.8
KIS,WY17,340012,1345950,WT,2010,3,10,13:35,-,-,-,-,U,2.33,11,8.2,9,32.69,0.6,-,-,-,-,-,-,-,-,-,-,B,50.04,13.69,8.1,7.1,34.12,3.3,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,2010,3,10,10:12,-,-,-,-,U,2,10.36,8.1,8.9,32.64,0.6,<1,1.6,0.25,0.028,0.013,0.054,0.02,0.015,1.1,0.8,B,49.83,11.69,8.1,9.2,33.25,0.5,1,1.5,0.2,0.026,0.017,0.061,<0.01,0.016,0.4,0.5
KIS,WY19,340012,1344922,WT,2010,2,18,9:22,CL,3802,7,13.1,U,2.14,10.35,8.2,9.4,32.94,0.2,-,-,-,-,-,-,-,-,-,-,B,50.35,11.71,8.2,8.9,33.37,3,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,WT,2010,2,18,8:45,CL,4102,7,4.9,U,1.97,10.03,8.2,9.4,32.92,1.2,4,1.3,0.2,0.024,0.017,0.1,0.03,0.01,0.3,0.2,B,42.02,9.15,8.2,9.4,33.05,4.2,1,1.7,0.22,0.03,0.01,0.079,<0.01,0.013,0.3,0.5
KIS,WY21,335552,1345950,WT,2010,3,10,12:56,-,-,-,-,U,2.33,11.05,8.2,8.7,32.77,0.5,1,1.1,0.24,0.027,0.014,0.056,0.02,0.015,1,0.9,B,50.3,14.6,8.1,8.3,34.33,0.4,1,1,0.2,0.025,0.007,0.083,0.02,0.015,0.7,1.1
KIS,WY22,335552,1345436,WT,2010,3,10,10:54,-,-,-,-,U,2.24,10.72,8.2,8.9,32.73,0.6,-,-,-,-,-,-,-,-,-,-,B,50.98,13.55,8.1,8.4,33.98,0.6,-,-,-,-,-,-,-,-,-,-
KIS,WY23,335552,1344922,WT,2010,2,18,9:57,CL,3802,8,9.7,U,2.03,12.29,8.2,9.1,33.57,0.4,1,1.4,0.21,0.022,0.013,0.099,<0.01,0.014,0.4,0.1,B,50.14,13.39,8.2,8.7,33.89,0.7,1,1.1,0.21,0.02,0.012,0.1,0.01,0.011,0.3,0.1
KIS,WY24,335552,1344408,WT,2010,2,18,12:06,CL,3702,9,6.7,U,2.15,9.77,8.2,9.8,32.78,1,-,-,-,-,-,-,-,-,-,-,B,41.81,11.33,8.2,9.2,33.3,1.3,-,-,-,-,-,-,-,-,-,-
