kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,1989,2,15,8:15,CL,3703,9,6,U,2,10.9,-,8.5,32.2,4.8,-,-,-,-,-,-,-,-,-,-,B,35,11.8,-,8.2,32.6,5.4,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,1989,2,15,8:43,CL,3703,9,7,U,2,-,-,-,-,3,2,1,0.46,0.02,0.017,0.13,0.04,0.009,-,-,B,43,-,-,-,-,3.8,1,1,0.45,0.024,0.016,0.121,0.03,0.012,-,-
KIS,WY03,341312,1345436,WT,1989,2,15,9:13,CL,3703,9,7,U,2,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,B,41,-,-,-,-,4.6,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,1989,2,15,11:42,CL,3502,9,6.5,U,2,-,-,-,-,4.1,2,1.1,0.43,0.018,0.02,0.153,0.05,0.012,-,-,B,43.4,-,-,-,-,-,2,1,0.47,0.018,0.019,0.135,0.01,0.015,-,-
KIS,WY06,340852,1345950,WT,1989,2,15,11:09,CL,3703,9,5,U,2,-,-,-,-,3.1,-,-,-,-,-,-,-,-,-,-,B,44,-,-,-,-,2.6,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,1989,2,15,9:40,CL,3702,9,8,U,2,-,-,-,-,3.2,1,1.2,0.42,0.042,0.019,0.095,0.01,0.013,-,-,B,41,-,-,-,-,4.5,1,1.1,0.59,0.045,0.01,0.13,0.04,0.012,-,-
KIS,WY08,340852,1344922,WT,1989,2,14,9:15,CL,3505,10.6,6,U,2,-,-,-,-,2.5,-,-,-,-,-,-,-,-,-,-,B,43,-,-,-,-,2.4,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,1989,2,14,12:30,CL,3702,10.6,7,U,2,10.1,-,8.3,32.5,3.4,2,1.1,0.45,0.023,0.014,0.136,0.05,0.015,-,-,B,21,10,8.2,8.3,32.5,4.8,2,1.1,0.34,0.029,0.018,0.117,<0.01,0.017,-,-
KIS,WY10,340852,1343854,WT,1989,2,14,12:01,CL,3805,10.6,6,U,2,10.1,-,8.5,32.3,3.5,-,-,-,-,-,-,-,-,-,-,B,13.2,9.9,-,8.5,32.5,4.3,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,1989,2,15,10:40,CL,3800,9,5,U,2,12.9,-,8.2,33.2,4.5,2,1.1,0.44,0.018,0.016,0.119,0.04,0.014,-,-,B,44.7,13.7,-,7.9,33.5,2.8,1,1,0.4,0.02,0.014,0.115,0.03,0.014,-,-
KIS,WY12,340432,1345436,WT,1989,2,15,10:08,CL,3800,9,6.5,U,2,-,-,-,-,4.2,-,-,-,-,-,-,-,-,-,-,B,41.7,-,-,-,-,5.5,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,1989,2,14,9:45,CL,3702,10.6,6.5,U,2,12.1,-,8,33.2,4.5,2,1.3,0.43,0.021,0.015,0.104,0.05,0.016,-,-,B,32,12.1,-,7.9,33.4,5.5,<1,1,0.43,0.021,0.014,0.12,0.03,0.017,-,-
KIS,WY14,340432,1344408,WT,1989,2,14,12:54,CL,3502,10.6,6,U,2,11.8,-,8.2,33,6.7,-,-,-,-,-,-,-,-,-,-,B,38.6,11.8,-,8.2,33.1,9.2,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,1989,2,14,11:34,CL,3702,10.6,4.5,U,2,9.8,8.1,8.6,32.4,5,2,1.3,0.43,0.019,0.014,0.133,0.03,0.014,-,-,B,19.5,9.9,-,8.5,32.5,7.3,2,1.8,0.7,0.021,0.013,0.122,0.04,0.017,-,-
KIS,WY16,340012,1350504,WT,1989,2,13,9:25,CL,3502,8.3,6.5,U,2,12.8,-,-,33.4,0.1,<1,2.7,0.46,0.018,0.018,0.14,0.03,0.015,-,-,B,41.2,13,-,7.7,33.5,0.2,<1,0.9,0.46,0.024,0.015,0.135,0.04,0.014,-,-
KIS,WY17,340012,1345950,WT,1989,2,13,9:57,CL,3802,8.3,7.8,U,2,14.3,-,-,34,0.1,-,-,-,-,-,-,-,-,-,-,B,33.6,14.2,-,7.5,34,-,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,1989,2,13,14:08,CL,3802,8.3,7.5,U,2,13.2,-,7.7,-,3.6,2,1,0.33,0.013,0.014,0.088,0.03,0.012,-,-,B,41.5,13.8,-,7.6,-,3.3,1,1,0.3,0.015,0.017,0.083,0.03,0.012,-,-
KIS,WY19,340012,1344922,WT,1989,2,14,10:10,CL,3702,10.6,6.5,U,2,12,-,8,33.2,5.5,-,-,-,-,-,-,-,-,-,-,B,40.1,11.9,-,8,33.2,5.8,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,WT,1989,2,14,10:40,CL,3702,10.6,5,U,2,-,-,-,-,6,2,1.5,0.43,0.021,0.018,0.116,0.01,0.015,-,-,B,25,-,-,-,-,6.3,2,1.5,0.36,0.021,0.023,0.104,0.04,0.015,-,-
KIS,WY21,335552,1345950,WT,1989,2,13,10:25,CL,3402,8.3,11.5,U,2,-,-,-,-,-,<1,1,0.44,0.013,0.014,0.067,0.05,0.012,-,-,B,38.2,-,-,-,-,-,<1,0.6,0.21,0.014,0.012,0.063,0.01,0.011,-,-
KIS,WY22,335552,1345436,WT,1989,2,13,13:45,CL,3802,8.3,9.5,U,2,14.4,-,-,34,1.2,-,-,-,-,-,-,-,-,-,-,B,41.2,14.4,-,7.5,34,1.2,-,-,-,-,-,-,-,-,-,-
KIS,WY23,335552,1344922,WT,1989,2,13,13:16,CL,3702,8.3,7,U,2,12,-,8,33.4,3.7,2,1.2,0.35,0.015,0.019,0.108,0.05,0.013,-,-,B,36,12,-,8,33.4,3,2,1,0.4,0.019,0.021,0.101,0.04,0.018,-,-
KIS,WY24,335552,1344408,WT,1989,2,13,12:51,CL,3702,8.3,5,U,2,10.3,-,8.4,32.9,5.5,-,-,-,-,-,-,-,-,-,-,B,21.5,10.3,-,8.4,32.9,7.3,-,-,-,-,-,-,-,-,-,-
KIS,WY26,335132,1345950,WT,1989,2,13,10:55,CL,4105,8.3,11,U,2,15.8,-,-,34.1,0.4,-,-,-,-,-,-,-,-,-,-,B,38.6,15.8,-,-,34.2,0.4,-,-,-,-,-,-,-,-,-,-
KIS,WY27,335132,1345436,WT,1989,2,13,11:25,CL,3802,8.3,8,U,2,11.7,-,8,33.3,2.8,1,0.7,0.36,0.016,0.019,0.121,0.04,0.015,-,-,B,39.1,11.7,-,8,33.3,2.6,1,0.7,0.33,0.017,0.023,0.101,0.04,0.015,-,-
KIS,WY28,335132,1344922,WT,1989,2,13,11:54,CL,3702,8.3,7,U,2,12.1,-,7.9,33.3,3.1,-,-,-,-,-,-,-,-,-,-,B,31,12.2,-,8,33.5,2.8,-,-,-,-,-,-,-,-,-,-
KIS,WY35,340012,1343854,WT,1989,2,14,11:08,CL,3302,10.6,4,U,2,9.7,-,8.5,32.3,9.1,-,-,-,-,-,-,-,-,-,-,B,14,9.7,-,8.7,32.6,12.4,-,-,-,-,-,-,-,-,-,-
KIS,WY36,335132,1344408,WT,1989,2,13,12:23,CL,3702,8.3,5,U,2,11,-,8.3,33,4.2,1,1.4,0.4,0.018,0.02,0.104,0.05,0.015,-,-,B,33.3,11.4,-,8.1,33.2,3.7,1,1.3,0.41,0.022,0.017,0.092,0.05,0.021,-,-
OSK,KB01,343642,1351532,WT,1989,2,7,14:23,CL,3304,10,3,U,2,9.3,8.2,10.3,30.23,1.7,3,1.9,0.96,0.059,0.052,0.262,-,-,-,-,B,17.3,9.7,8.1,9,32.1,5.8,5,1.1,0.53,0.045,0.024,0.182,-,-,-,-
OSK,KB02,343222,1351532,WT,1989,2,7,13:59,CL,3304,10,3,U,2,9.5,8.2,11.2,30.93,1.6,-,-,-,-,-,-,-,-,-,-,B,17.3,9.8,8.1,9,32.2,4.3,-,-,-,-,-,-,-,-,-,-
