kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,1995,3,15,14:30,CL,3502,11,8,U,2,-,-,-,-,-,<1,1.6,-,-,-,-,-,-,-,-,B,50,-,-,-,-,-,<1,2,-,-,-,-,-,-,-,-
KIS,WY03,341312,1345436,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,1995,3,14,11:30,CL,3802,9.5,7.5,U,2,14.29,-,-,-,-,<1,1.6,-,-,-,-,-,-,-,-,B,42,14.23,-,-,-,-,<1,1.6,-,-,-,-,-,-,-,-
KIS,WY06,340852,1345950,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,1995,3,15,10:40,CL,3802,9,7,U,2,12.04,-,-,-,-,<1,1.6,0.1,0.012,<0.005,0.03,0.04,0.006,-,-,B,50,12.13,-,-,-,-,<1,2,0.18,0.013,<0.005,0.04,0.03,0.007,-,-
KIS,WY08,340852,1344922,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,1995,3,13,14:40,CL,3802,10,4,U,2,10.23,-,-,-,-,1,1.6,-,-,-,-,-,-,-,-,B,26,10.25,-,-,-,-,1,1.6,-,-,-,-,-,-,-,-
KIS,WY10,340852,1343854,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,1995,3,14,13:45,CL,3505,10,9.5,U,2,14.54,-,-,-,-,<1,1.6,-,-,-,-,-,-,-,-,B,50,13.39,-,-,-,-,<1,1.6,-,-,-,-,-,-,-,-
KIS,WY12,340432,1345436,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,1995,3,13,15:20,CL,3702,10,4,U,2,-,-,-,-,-,1,1.2,-,-,-,-,-,-,-,-,B,50,-,-,-,-,-,<1,1.2,-,-,-,-,-,-,-,-
KIS,WY14,340432,1344408,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,1995,3,13,14:00,CL,3502,11.5,3.5,U,2,-,-,-,-,-,3,1.2,0.19,0.016,<0.005,0.05,0.01,0.013,-,-,B,17,-,-,-,-,-,2,2,0.11,0.015,<0.005,0.06,0.03,0.01,-,-
KIS,WY16,340012,1350504,WT,1995,3,14,11:50,CL,3702,10,10,U,2,15.16,-,-,-,-,<1,1.6,-,-,-,-,-,-,-,-,B,45,14.84,-,-,-,-,<1,1.2,-,-,-,-,-,-,-,-
KIS,WY17,340012,1345950,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,1995,3,14,15:20,CL,3502,10,6,U,2,13.77,-,-,-,-,<1,2,-,-,-,-,-,-,-,-,B,50,13.72,-,-,-,-,<1,1.2,-,-,-,-,-,-,-,-
KIS,WY19,340012,1344922,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,WT,1995,3,13,13:30,CL,3702,11,4.5,U,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,B,40,-,-,-,-,-,1,1.2,-,-,-,-,-,-,-,-
KIS,WY21,335552,1345950,WT,1995,3,14,11:15,CL,3702,9.5,12,U,2,14.95,-,-,-,-,<1,2,0.13,0.009,<0.005,0.03,<0.01,0.005,-,-,B,50,14.16,-,-,-,-,<1,1.6,0.14,0.011,<0.005,0.03,<0.01,0.006,-,-
KIS,WY22,335552,1345436,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY23,335552,1344922,WT,1995,3,15,10:10,CL,3702,9,11,U,2,-,-,-,-,-,<1,1.2,-,-,-,-,-,-,-,-,B,50,-,-,-,-,-,<1,1.2,-,-,-,-,-,-,-,-
KIS,WY24,335552,1344408,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY26,335132,1345950,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY27,335132,1345436,WT,1995,3,14,10:40,CL,3805,9.5,13.5,U,2,16.74,-,-,-,-,<1,1.2,-,-,-,-,-,-,-,-,B,50,16.69,-,-,-,-,<1,1.2,-,-,-,-,-,-,-,-
KIS,WY28,335132,1344922,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY35,340012,1343854,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY36,335132,1344408,WT,1995,3,14,9:30,CL,3502,9,6.5,U,2,15.59,-,-,-,-,<1,1.2,-,-,-,-,-,-,-,-,B,34,15.17,-,-,-,-,<1,0.8,-,-,-,-,-,-,-,-
OSK,KB01,343642,1351532,WT,1995,2,27,9:50,CL,3505,7,2,U,2,-,-,-,-,-,4,2.8,-,-,-,-,-,-,-,-,B,17,-,-,-,-,-,5,2.4,-,-,-,-,-,-,-,-
OSK,KB02,343222,1351532,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OSK,KB03,342902,1351532,WT,1995,2,27,10:35,CL,3505,7.5,3,U,2,-,-,-,-,-,3,4,1.14,0.022,0.02,0.02,<0.01,0.01,-,-,B,17,-,-,-,-,-,5,2.8,0.31,0.044,0.01,0.02,<0.01,0.006,-,-
OSK,KB05,343642,1351018,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OSK,KB06,343222,1351018,WT,1995,3,10,8:45,RN,3802,9,8.5,U,2,-,-,-,-,-,<1,2.4,-,-,-,-,-,-,-,-,B,40,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-
OSK,KB07,342902,1351018,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OSK,KB08,342342,1351018,WT,1995,3,22,9:50,CL,3502,12,3,U,2,10.22,-,-,-,-,4,6.5,-,-,-,-,-,-,-,-,B,18,10.72,-,-,-,-,2,6.1,-,-,-,-,-,-,-,-
OSK,KB09,343642,1350504,WT,1995,3,2,9:30,CL,3504,6,2,U,2,9.1,-,-,-,-,6,2.4,-,-,-,-,-,-,-,-,B,24,9,-,-,-,-,6,2.8,-,-,-,-,-,-,-,-
OSK,KB10,343222,1350504,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OSK,KB11,342802,1350504,WT,1995,3,2,10:10,CL,3502,6.5,4.5,U,2,8.7,-,-,-,-,3,2.4,-,-,-,-,-,-,-,-,B,45,8.7,-,-,-,-,7,2.8,-,-,-,-,-,-,-,-
OSK,KB12,342342,1350504,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
