kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
kis,WY01,341312,1350504,WT,2012,2,16,14:15,U,3703,9.6,9,U,2.26,10.84,8.1,8.9,32.71,1.1,-,-,-,-,-,-,-,-,-,-,B,35.31,13.7,8.1,9.4,33.84,1.7,-,-,-,-,-,-,-,-,-,-
kis,WY02,341312,1345950,WT,2012,2,16,10:16,U,4105,6.1,12,U,2.62,10.36,8.2,9.2,32.59,0.5,3,1.7,0.18,0.019,0.007,0.016,0.01,0.008,0.8,0.8,B,50.33,10.9,8.1,10.7,32.87,1.9,4,1.2,0.16,0.019,0.007,0.016,0.02,0.01,0.7,0.9
kis,WY03,341312,1345436,WT,2012,2,16,9:41,U,4105,5.7,19,U,2.21,10.43,8.2,9.3,32.7,0.1,-,-,-,-,-,-,-,-,-,-,B,50.42,10.53,8.1,11,32.75,0.4,-,-,-,-,-,-,-,-,-,-
kis,WY05,340852,1350504,WT,2012,2,20,8:41,C,3505,4.1,11,U,1.94,10.65,8.1,8.7,32.69,0.6,2,1.5,0.17,0.02,0.006,0.023,0.01,0.01,0.3,0.1,B,43.95,12.9,8.1,9.7,33.74,-,-,3,0.26,0.046,0.007,0.03,0.01,0.02,0.3,2.2
kis,WY06,340852,1345950,WT,2012,2,20,9:15,C,3703,5.1,12,U,2.5,10.15,8.1,8.9,32.49,0.4,-,-,-,-,-,-,-,-,-,-,B,50.04,13.75,8.1,9.5,33.99,0.8,-,-,-,-,-,-,-,-,-,-
kis,WY07,340852,1345436,WT,2012,2,16,9:08,U,4105,5,14,U,2.21,10.49,8.2,8.8,32.65,0.4,2,1.5,0.16,0.018,0.007,0.018,0.01,0.011,0.6,0.4,B,50.54,10.81,8.2,9.3,32.86,0.1,3,1.2,0.15,0.016,0.008,0.016,0.01,0.008,0.1,0.1
kis,WY08,340852,1344922,WT,2012,2,24,10:15,UC,3703,10,11.5,U,2.07,10.29,8.3,9.1,32.49,0.3,-,-,-,-,-,-,-,-,-,-,B,50.04,11.22,8.3,8.8,33.09,0.3,-,-,-,-,-,-,-,-,-,-
kis,WY09,340852,1344408,WT,2012,2,24,10:50,UC,3802,10,8,U,2.11,9.28,8.2,9.2,32.26,0.4,2,1.6,0.16,0.019,<0.005,0.021,0.01,0.01,0.3,0.1,B,21.38,10.38,8.2,9.1,32.64,0.4,3,1.3,0.15,0.019,0.006,0.037,0.03,0.012,0.4,0.1
kis,WY10,340852,1343854,WT,2012,2,28,13:20,UC,3802,8,7,U,2.23,8.58,8.2,9.5,32.03,0.5,-,-,-,-,-,-,-,-,-,-,B,15.22,8.54,8.2,9.5,31.96,1.6,-,-,-,-,-,-,-,-,-,-
kis,WY11,340432,1345950,WT,2012,2,20,9:48,C,3505,6.1,13,U,2.12,11.41,8.1,8.3,33.13,0.4,3,1.4,0.17,0.018,0.007,0.025,0.01,0.011,0.2,0.1,B,50.45,14.6,8.1,9.2,34.25,0.8,2,0.8,0.15,0.015,0.006,0.036,<0.01,0.01,0.2,0.6
kis,WY12,340432,1345436,WT,2012,2,15,9:17,U,4105,8.6,14,U,2.23,10.88,8.2,8.2,32.73,0.2,-,-,-,-,-,-,-,-,-,-,B,50.39,12.28,8.1,9.5,33.45,0.1,-,-,-,-,-,-,-,-,-,-
kis,WY13,340432,1344922,WT,2012,2,24,9:35,UC,3703,9,13,U,2.04,11.25,8.2,8.8,32.97,0.2,1,1.4,0.16,0.017,0.007,0.044,0.02,0.013,0.5,0.2,B,50.46,12.77,8.2,8.2,33.69,1.3,2,1.1,0.15,0.022,0.007,0.053,0.02,0.019,0.4,0.2
kis,WY14,340432,1344408,WT,2012,2,24,9:00,UC,3703,9,13.5,U,2.22,10.48,8.2,9,32.65,0.1,-,-,-,-,-,-,-,-,-,-,B,37,10.73,8.2,8.6,32.87,0.8,-,-,-,-,-,-,-,-,-,-
kis,WY15,340432,1343854,WT,2012,2,28,13:50,UC,3802,9,7,U,1.89,8.53,8.2,9.6,32.04,0.5,1,1.9,0.17,0.022,<0.005,0.015,0.03,0.013,0.5,0.2,B,20.32,9.55,8.1,9.2,32.46,0.8,2,1.7,0.17,0.021,<0.005,0.027,0.03,0.013,0.3,0.2
kis,WY16,340012,1350504,WT,2012,2,20,12:26,C,3505,8.7,15,U,2.29,12.37,8.1,8.5,33.59,0.5,3,1,0.16,0.018,0.007,0.028,0.01,0.01,0.3,0.4,B,35.99,12.35,8.1,10,33.6,0.4,2,0.7,0.18,0.018,0.007,0.028,0.01,0.01,0.1,0.2
kis,WY17,340012,1345950,WT,2012,2,20,10:22,C,4105,7,21,U,2.35,12.15,8.1,8.4,33.52,0.3,-,-,-,-,-,-,-,-,-,-,B,50.3,14.14,8.1,9.4,34.1,0.4,-,-,-,-,-,-,-,-,-,-
kis,WY18,340012,1345436,WT,2012,2,15,9:50,U,4105,9.1,12,U,2.06,13.34,8.1,7.5,33.86,0.3,2,0.8,0.17,0.018,0.006,0.031,<0.01,0.009,0.2,0.2,B,50.16,13.76,8.1,9.1,33.99,0.7,3,1.3,0.17,0.018,0.007,0.032,<0.01,0.01,0.3,0.3
kis,WY19,340012,1344922,WT,2012,2,22,9:50,UC,3805,9,11,U,2.19,10.46,8.2,8.9,32.79,0.2,-,-,-,-,-,-,-,-,-,-,B,50.14,12.78,8.1,8.3,33.73,1.8,-,-,-,-,-,-,-,-,-,-
