kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,1994,3,9,9:59,UC,3703,11,7,U,2.2,-,-,-,-,1.1,-,-,-,-,-,-,-,-,-,-,B,32.1,-,-,-,-,3.3,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,1,1.4,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,3,1.5,-,-,-,-,-,-,-,-
KIS,WY03,341312,1345436,WT,1994,3,9,12:05,UC,3703,13,6,U,1.9,-,-,-,-,0.6,-,-,-,-,-,-,-,-,-,-,B,49.7,-,-,-,-,0.9,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,1,1.3,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-
KIS,WY06,340852,1345950,WT,1994,3,9,11:01,UC,3703,12,10,U,1.8,-,-,-,-,0.9,-,-,-,-,-,-,-,-,-,-,B,50.5,-,-,-,-,0.6,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,1994,2,9,11:19,CL,3802,9.5,8,U,2.1,-,-,-,-,1.1,<1,1.2,0.26,0.025,0.014,0.088,<0.01,0.015,-,-,B,49.9,-,-,-,-,0.9,<1,0.9,0.22,0.02,0.012,0.069,<0.01,0.013,-,-
KIS,WY08,340852,1344922,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,1994,2,9,10:24,CL,3702,9.5,4.5,U,2.1,10.6,-,8.9,-,2.1,1,1.2,-,-,-,-,-,-,-,-,B,24.9,11.3,-,8.2,33.3,1.9,1,1,-,-,-,-,-,-,-,-
KIS,WY10,340852,1343854,WT,1994,2,9,9:59,CL,3702,9,3,U,2,-,-,-,-,2.5,-,-,-,-,-,-,-,-,-,-,B,15,-,-,-,-,1.9,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,1994,2,8,14:27,UC,4105,12,5,U,1.9,12.3,8.3,8.4,-,0.3,<1,1.1,-,-,-,-,-,-,-,-,B,49.9,13.2,8.3,8.5,32.1,0.3,<1,0.9,-,-,-,-,-,-,-,-
KIS,WY12,340432,1345436,WT,1994,2,8,14:58,UC,4105,11.5,10,U,2.1,-,-,-,-,1.2,-,-,-,-,-,-,-,-,-,-,B,50,-,-,-,-,1.7,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,1994,2,8,15:27,UC,4105,11.5,6,U,1.9,-,-,-,-,1.8,<1,1.1,-,-,-,-,-,-,-,-,B,50.1,-,-,-,-,2.4,1,0.9,-,-,-,-,-,-,-,-
KIS,WY14,340432,1344408,WT,1994,2,8,15:55,UC,3802,10.5,7,U,2,-,-,-,-,1.6,-,-,-,-,-,-,-,-,-,-,B,34,-,-,-,-,5.1,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,1994,2,8,16:19,RN,3502,10,5,U,2,10.1,8.3,-,-,1.8,1,1.5,0.25,0.024,<0.005,0.023,<0.01,0.007,-,-,B,16,10.3,8.3,9.4,32,2.6,1,1.3,0.27,0.03,0.007,0.058,0.01,0.015,-,-
KIS,WY16,340012,1350504,WT,1994,2,8,11:42,UC,4105,11.5,8,U,2,12.9,-,8.1,-,0.2,<1,1,-,-,-,-,-,-,-,-,B,44.1,13.2,-,9.3,-,0.3,<1,1,-,-,-,-,-,-,-,-
KIS,WY17,340012,1345950,WT,1994,2,8,11:17,UC,4105,11,9,U,2,-,-,-,-,0.2,-,-,-,-,-,-,-,-,-,-,B,49.9,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,1994,2,8,10:49,UC,4105,9.5,10,U,2,13,-,7.7,31.53,0.3,<1,0.8,-,-,-,-,-,-,-,-,B,49,13,-,7.5,-,0.3,<1,1,-,-,-,-,-,-,-,-
KIS,WY19,340012,1344922,WT,1994,2,8,10:20,CL,3802,8.5,6.5,U,2,12.2,-,8.1,-,1.3,-,-,-,-,-,-,-,-,-,-,B,49.9,13.5,-,8.9,-,2.2,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,WT,1994,2,8,9:54,CL,3502,8,7,U,1.9,-,-,-,-,1.1,<1,1.2,-,-,-,-,-,-,-,-,B,40,-,-,-,-,1.3,2,1.1,-,-,-,-,-,-,-,-
KIS,WY21,335552,1345950,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,<1,0.8,0.2,0.017,0.008,0.046,<0.01,0.011,-,-,B,-,-,-,-,-,-,<1,0.9,0.2,0.018,0.008,0.055,<0.01,0.013,-,-
KIS,WY22,335552,1345436,WT,1994,2,7,12:39,CL,4105,11,10,U,1.9,-,-,-,-,0.2,-,-,-,-,-,-,-,-,-,-,B,49.8,-,-,-,-,0.2,-,-,-,-,-,-,-,-,-,-
KIS,WY23,335552,1344922,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,<1,1.1,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,<1,1,-,-,-,-,-,-,-,-
KIS,WY24,335552,1344408,WT,1994,2,7,14:42,CL,3502,11.5,6,U,2.1,-,-,-,-,0.2,-,-,-,-,-,-,-,-,-,-,B,43.2,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,-
