kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2009,2,17,7:52,UC,4105,3.5,7.8,U,2.2,10.58,8.2,9,32.83,1.4,-,-,-,-,-,-,-,-,-,-,B,33.41,13.32,8.2,8.3,33.85,2.9,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2009,2,17,8:30,UC,4105,4,9,U,2.44,10.68,8.2,9,32.84,1,2,1.8,0.16,0.025,0.007,0.047,0.02,0.016,1.2,0.6,B,48.27,11.82,8.2,8.6,33.31,2.2,3,1.3,0.14,0.026,0.011,0.062,0.01,0.019,0.9,0.5
KIS,WY03,341312,1345436,WT,2009,2,17,9:12,CL,4105,4.5,8.8,U,2.11,10.89,8.2,8.9,32.91,0.9,-,-,-,-,-,-,-,-,-,-,B,50.26,11.36,8.2,9.4,33.13,1.2,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2009,2,17,11:58,CL,4000,5,7.8,U,2.26,10.96,8.2,8.9,32.91,1.2,3,1.5,0.14,0.021,0.008,0.054,0.02,0.017,1.3,0.5,B,41.28,13.64,8.2,8.2,33.98,3.3,4,0.9,0.14,0.025,0.012,0.072,<0.01,0.021,0.4,0.4
KIS,WY06,340852,1345950,WT,2009,2,17,11:20,CL,4105,4.5,7.8,U,2.08,10.78,8.2,9,32.88,0.8,-,-,-,-,-,-,-,-,-,-,B,50.03,12.33,8.2,8.7,33.58,2.1,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2009,2,17,9:50,CL,4105,5,9.4,U,2.08,10.83,8.2,9,32.97,0.7,2,1.4,0.2,0.028,0.009,0.051,0.01,0.017,0.9,0.4,B,50.38,11.91,8.2,9.1,33.45,1.2,2,1.1,0.12,0.022,0.012,0.054,0.01,0.02,0.4,0.3
KIS,WY08,340852,1344922,WT,2009,2,9,10:38,CL,3502,8,8.9,U,1.99,11.31,8.2,9.1,33.12,0.3,-,-,-,-,-,-,-,-,-,-,B,49.71,12.43,8.2,8.5,33.62,1,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,2009,2,9,11:12,CL,3502,9.5,8.6,U,2.11,10.75,8.2,9.3,33.2,0.5,<1,1,0.22,0.048,0.011,0.07,<0.05,0.01,1.2,0.2,B,20.75,10.68,8.3,9.3,33.19,0.5,<1,1.3,0.21,0.029,0.011,0.07,<0.05,0.011,0.9,0.3
KIS,WY10,340852,1343854,WT,2009,2,9,13:35,UC,3502,8.5,5.3,U,1.99,10.11,8.2,9.3,33.19,0.9,-,-,-,-,-,-,-,-,-,-,B,14.91,10.11,8.2,9.3,33.19,1.1,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2009,2,12,8:47,CL,4105,12,7.8,U,2.11,10.79,8.2,8.9,32.91,1.4,<1,2.2,0.22,0.023,0.01,0.076,0.02,0.017,1.4,0.5,B,50.56,13.13,8.2,8.3,33.81,2.2,1,2.2,0.33,0.022,0.013,0.093,<0.01,0.018,0.8,0.3
KIS,WY12,340432,1345436,WT,2009,2,17,10:29,CL,4105,7,9.4,U,2.41,11.32,8.2,8.9,33.1,0.9,-,-,-,-,-,-,-,-,-,-,B,50.38,11.93,8.2,8.8,33.46,2,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,2009,2,9,9:59,CL,3802,8,5.7,U,2.04,11.8,8.2,8.9,33.39,0.9,<1,1.2,0.19,0.028,0.015,0.09,<0.05,0.006,1.3,0.2,B,49.57,11.85,8.2,8.7,33.46,1.3,<1,1.1,0.18,0.027,0.014,0.09,<0.05,0.021,1.6,0.2
KIS,WY14,340432,1344408,WT,2009,2,9,9:24,CL,3802,6.5,7.4,U,1.72,11.42,8.2,9,33.23,0.5,-,-,-,-,-,-,-,-,-,-,B,37.9,11.1,8.2,8.9,33.24,3.7,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,2009,2,9,14:04,UC,3502,9,5.8,U,2.05,10.77,8.2,9.4,32.94,0.6,1,1.3,0.17,0.027,0.012,0.07,<0.05,0.012,1.1,0.3,B,21.32,11.18,8.2,9.1,33.25,2.6,3,1.4,0.17,0.029,0.013,0.09,<0.05,0.009,1.4,0.3
KIS,WY16,340012,1350504,WT,2009,2,12,13:43,CL,4000,14,6.6,U,2.03,13.05,8.2,8.2,33.69,1.7,1,2.2,0.22,0.021,0.012,0.073,<0.01,0.019,0.8,0.5,B,33.12,13.6,8.1,7.8,34.01,2.6,1,2.4,0.26,0.024,0.012,0.098,0.01,0.019,1.5,0.8
KIS,WY17,340012,1345950,WT,2009,2,12,13:05,CL,4000,12,7,U,1.94,12.47,8.2,8.4,33.54,1.6,-,-,-,-,-,-,-,-,-,-,B,50.21,13.69,8.1,7.5,34.02,3.1,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,2009,2,12,9:38,CL,4105,15,12.6,U,2.11,12.19,8.2,8.5,33.51,0.6,<1,2.2,0.44,0.02,0.013,0.067,<0.01,0.017,0.8,0.4,B,50.5,12.52,8.2,8.7,33.65,1.4,1,2.3,0.16,0.025,0.013,0.068,<0.01,0.017,1.1,0.3
KIS,WY19,340012,1344922,WT,2009,2,18,10:33,CL,3802,6.5,6.6,U,1.97,11.46,8.2,9.4,33.29,0.5,-,-,-,-,-,-,-,-,-,-,B,50.33,11.47,8.2,9.2,33.3,0.7,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,WT,2009,2,18,9:35,CL,3802,6,7.2,U,2.33,10.82,8.2,9.6,33.16,0.4,<1,1.3,0.18,0.024,0.009,0.06,<0.05,0.011,1.3,0.2,B,42.59,10.39,8.2,9.3,33.16,2,4,1.2,0.26,0.027,0.006,0.05,<0.05,0.009,1.3,0.3
KIS,WY21,335552,1345950,WT,2009,2,12,12:21,CL,4302,14,18,U,1.97,15.81,8.2,7.6,34.5,0.3,<1,1.8,0.14,0.017,<0.005,0.064,<0.01,0.014,0.5,0.4,B,50.15,15.31,8.2,7.9,34.47,0.4,3,2.9,0.11,0.019,0.005,0.085,<0.01,0.017,0.5,0.4
KIS,WY22,335552,1345436,WT,2009,2,12,10:18,CL,4105,10,8.8,U,2.08,13.88,8.2,7.8,34.1,1.5,-,-,-,-,-,-,-,-,-,-,B,50.56,13.82,8.2,8.2,34.08,1.8,-,-,-,-,-,-,-,-,-,-
KIS,WY23,335552,1344922,WT,2009,2,18,11:14,CL,3802,7,7.7,U,2.08,10.94,8.2,9.6,33.21,0.5,<1,1.3,0.16,0.024,0.009,0.05,<0.05,0.011,2,0.7,B,50.13,10.91,8.2,9.5,33.21,0.9,<1,1.2,0.18,0.023,0.009,0.06,<0.05,0.009,2,0.5
KIS,WY24,335552,1344408,WT,2009,2,19,9:22,UC,3805,8,5.1,U,2.31,10.66,8.3,9.2,32.94,0.6,-,-,-,-,-,-,-,-,-,-,B,42.6,10.53,8.2,8.9,33.12,1.1,-,-,-,-,-,-,-,-,-,-
KIS,WY26,335132,1345950,WT,2009,2,12,11:38,CL,4305,12.5,21.8,U,2.29,15.72,8.2,7.5,34.53,0.2,-,-,-,-,-,-,-,-,-,-,B,50.29,15.57,8.2,7.8,34.51,0.3,-,-,-,-,-,-,-,-,-,-
KIS,WY27,335132,1345436,WT,2009,2,12,10:57,CL,4305,13,16.2,U,2.14,15.73,8.2,7.8,34.45,0.3,<1,1.9,0.54,0.016,0.005,0.059,<0.01,0.013,0.5,0.4,B,50.26,14.95,8.1,7.3,34.37,0.9,<1,2.2,0.26,0.022,0.006,0.1,<0.01,0.021,0.3,0.3
KIS,WY28,335132,1344922,WT,2009,2,18,12:00,CL,3502,8.5,7.3,U,2.05,11.14,8.2,9.8,33.13,0.5,-,-,-,-,-,-,-,-,-,-,B,50.1,12.49,8.2,9.1,33.59,0.9,-,-,-,-,-,-,-,-,-,-
