kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,1985,2,5,8:37,SR,3703,8.6,8.5,U,2,9.1,-,9.3,32.52,0.1,-,-,-,-,-,-,-,-,-,-,B,35,9.3,-,9.1,33.27,0.1,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,1985,2,5,9:07,SR,3703,8.8,8,U,2,-,-,-,-,1.4,2,1.4,0.32,0.018,<0.005,0.086,0.01,0.012,-,-,B,35.4,-,-,-,-,2,2,1.6,0.29,0.02,<0.005,0.087,0.02,0.012,-,-
KIS,WY03,341312,1345436,WT,1985,2,5,12:09,SR,3805,10,10,U,2,10.2,-,9,33.46,0.8,-,-,-,-,-,-,-,-,-,-,B,34.2,10.5,-,8.6,34.02,1.9,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,1985,2,6,13:20,UC,3805,9.5,7.5,U,2,9.2,8.1,8.2,32.68,0.9,1,1,0.29,0.018,<0.005,0.088,0.01,0.013,-,-,B,33.4,9.9,8.1,8.7,33.11,1.3,1,1.3,0.28,0.026,<0.005,0.089,0.01,0.014,-,-
KIS,WY06,340852,1345950,WT,1985,2,7,13:54,CL,3703,11,8,U,2,9.1,-,9.1,-,0.4,-,-,-,-,-,-,-,-,-,-,B,34.2,9,-,8.9,-,0.4,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,1985,2,5,15:23,SR,3805,8.7,8,U,2,9.3,8.3,9,33.31,1,2,1.4,0.33,0.02,<0.005,0.091,0.01,0.011,-,-,B,36.2,10.2,8.3,8.9,33.9,0.6,4,1.4,0.27,0.019,<0.005,0.089,0.01,0.013,-,-
KIS,WY08,340852,1344922,WT,1985,2,5,12:44,SR,3805,9.8,10,U,2,10.6,8.3,8.9,-,8.2,-,-,-,-,-,-,-,-,-,-,B,33.9,10,8.3,9.1,-,1.1,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,1985,2,5,13:09,SR,3805,9.2,8,U,2,9.4,-,9.1,-,1.2,1,1.2,0.27,0.015,<0.005,0.065,0.01,0.01,-,-,B,19.8,9.4,-,9.1,-,1.7,1,1.5,0.26,0.024,<0.005,0.066,0.01,0.012,-,-
KIS,WY10,340852,1343854,WT,1985,2,5,13:36,SR,3805,8.9,7.5,U,2,8.5,-,9.5,33.22,1.9,-,-,-,-,-,-,-,-,-,-,B,9.9,8.6,-,9.5,33.53,3.6,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,1985,2,6,12:44,UC,3805,9.7,8,U,2,-,-,-,-,0.9,3,1.5,0.36,0.02,<0.005,0.09,0.01,0.013,-,-,B,34.8,-,-,-,-,1.7,1,1.3,0.27,0.023,<0.005,0.088,0.01,0.013,-,-
KIS,WY12,340432,1345436,WT,1985,2,7,13:19,CL,3703,11,6.5,U,2,9.3,-,9,-,-,-,-,-,-,-,-,-,-,-,-,B,35.6,9.2,-,8.8,-,0.3,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,1985,2,5,14:45,SR,3805,8.7,9,U,2,10.8,-,8.9,33,1,2,1,0.33,0.019,<0.005,0.084,<0.01,0.013,-,-,B,34.9,9.8,8.3,8.9,33.52,1.2,2,1.1,0.26,0.019,<0.005,0.075,0.01,0.009,-,-
KIS,WY14,340432,1344408,WT,1985,2,5,14:21,SR,3805,8.4,10,U,2,9.3,-,9.2,33.5,1,-,-,-,-,-,-,-,-,-,-,B,32.7,9,-,9.1,34.09,2.6,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,1985,2,5,13:55,SR,3805,8.6,7,U,2,8.9,-,9.7,33.37,1.3,2,1.8,0.26,0.022,<0.005,0.047,0.02,0.009,-,-,B,16,9,8.3,9.3,33.56,3.2,2,1.5,0.26,0.027,<0.005,0.054,<0.01,0.009,-,-
KIS,WY16,340012,1350504,WT,1985,2,6,9:17,UC,3805,9,12.5,U,2,13.3,8.1,7.8,-,0.9,2,1.4,0.23,0.024,<0.005,0.085,<0.01,0.017,-,-,B,32.9,13.3,8.1,7.8,-,0.8,1,1.1,0.23,0.024,<0.005,0.088,<0.01,0.017,-,-
KIS,WY17,340012,1345950,WT,1985,2,6,9:43,UC,3805,8.8,12,U,2,9.6,-,8.9,33.03,1,-,-,-,-,-,-,-,-,-,-,B,29,10.6,-,8.7,33.75,0.8,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,1985,2,6,12:07,UC,4105,9.7,13.5,U,2,13.6,8.1,-,33.88,0.4,2,1.2,0.24,0.025,<0.005,0.109,<0.01,0.02,-,-,B,34.2,13,8.1,7.5,33.92,0.4,2,1.3,0.22,0.027,<0.005,0.101,<0.01,0.018,-,-
KIS,WY19,340012,1344922,WT,1985,2,7,12:43,CL,4105,13.5,10.5,U,2,12.9,-,7.9,-,-,-,-,-,-,-,-,-,-,-,-,B,30.5,12,-,8.1,-,0.3,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,WT,1985,2,7,12:15,CL,3805,10.5,7.5,U,2,10.4,-,8.9,33.7,0.9,3,1.9,0.26,0.024,<0.005,0.078,<0.01,0.012,-,-,B,30.8,10.3,-,8.8,33.73,1,2,1.5,0.26,0.019,<0.005,0.079,<0.01,0.013,-,-
KIS,WY21,335552,1345950,WT,1985,2,6,10:13,UC,3805,9.5,14.5,U,2,14,8.2,-,-,0.1,1,0.6,0.25,0.022,<0.005,0.085,<0.01,0.016,-,-,B,33.2,14,8.2,7.6,-,0.2,1,1.2,0.24,0.019,<0.005,0.083,<0.01,0.018,-,-
KIS,WY22,335552,1345436,WT,1985,2,6,11:45,UC,4105,10.3,14.5,U,2,14,8.1,-,33.79,0.3,-,-,-,-,-,-,-,-,-,-,B,34.6,13.8,-,-,34.05,0.2,-,-,-,-,-,-,-,-,-,-
