kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2013,2,19,8:28,RN,3802,3.7,5,U,2,11.67,-,-,33,-,-,-,-,-,-,-,-,-,-,-,B,34.75,13.99,8.2,8.6,34.06,-,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2013,2,19,9:01,RN,3505,4,10,U,1.91,11.21,8.3,8.2,32.89,-,1,1.4,0.2,0.024,0.008,0.044,<0.01,0.011,0.3,0.2,B,49.92,13.02,8.3,8.6,33.68,-,1,1.2,0.17,0.023,0.009,0.051,<0.01,0.011,0.2,0.2
KIS,WY03,341312,1345436,WT,2013,2,19,9:37,RN,3505,3.8,11,U,1.53,11.11,8.3,8.1,32.87,-,-,-,-,-,-,-,-,-,-,-,B,50.27,11.66,8.3,8.9,33.14,-,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2013,2,20,13:10,CL,3702,9.7,13,U,1.91,11.46,8.1,8.7,32.96,-,1,1.2,0.16,0.021,0.01,0.041,0.01,0.012,0.6,<0.1,B,43.07,13.74,8,8.9,34.06,-,3,1.1,0.15,0.023,0.01,0.057,<0.01,0.012,0.1,0.4
KIS,WY06,340852,1345950,WT,2013,2,21,8:54,CL,4102,4.8,14,U,2.03,10.94,8.1,8.8,32.83,-,-,-,-,-,-,-,-,-,-,-,B,50.3,13.39,8.1,9,33.93,-,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2013,2,20,9:09,CL,3502,5.9,13,U,2.06,10.66,8.1,9,32.52,-,1,1.2,0.17,0.021,0.01,0.055,0.01,0.013,0.1,0.2,B,49.72,12.59,8.1,9.5,33.65,-,<1,1.1,0.14,0.02,0.011,0.04,0.01,0.012,0.1,0.1
KIS,WY08,340852,1344922,WT,2013,2,21,9:30,CL,4102,6,17.6,U,2.17,11.13,8.2,9,33.02,0.1,-,-,-,-,-,-,-,-,-,-,B,50.61,13.02,8.1,8.4,33.84,1.3,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,2013,2,21,10:05,CL,3802,6,12.1,U,2.11,10.39,8.2,9.2,32.87,0.3,2,0.7,0.17,0.014,0.008,0.033,0.03,0.013,0.3,0.4,B,21.85,10.81,8.2,9.1,33.01,0.3,2,0.6,0.17,0.016,0.009,0.035,0.03,0.012,0.2,0.4
KIS,WY10,340852,1343854,WT,2013,2,21,10:45,CL,3502,7,9.9,U,1.79,9.36,8.2,9.5,32.48,0.4,-,-,-,-,-,-,-,-,-,-,B,14.97,9.35,8.2,9.5,32.52,0.4,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2013,2,21,9:29,CL,4102,5.5,18,U,1.91,11.17,8.1,8.8,32.96,-,<1,1.3,0.13,0.015,0.008,0.047,0.01,0.012,0.4,0.1,B,50.24,12.94,8.1,9.2,33.79,-,<1,1.1,0.11,0.013,0.008,0.047,<0.01,0.012,0.2,0.1
KIS,WY12,340432,1345436,WT,2013,2,20,9:45,CL,3502,6.4,19,U,1.88,12.73,8.1,8.6,33.71,-,-,-,-,-,-,-,-,-,-,-,B,49.8,12.74,8.1,9.4,33.74,-,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,2013,2,20,9:40,CL,3802,7,9.4,U,1.96,12.16,8.2,8.8,33.51,0.5,2,0.8,0.15,0.011,0.01,0.051,0.03,0.011,0.1,0.2,B,50.28,12.23,8.2,8.6,33.59,1.1,3,0.6,0.16,0.014,0.01,0.051,0.03,0.011,<0.1,0.2
KIS,WY14,340432,1344408,WT,2013,2,20,9:10,CL,3802,7,11.6,U,2.03,11.94,8.2,8.7,33.41,0.3,-,-,-,-,-,-,-,-,-,-,B,37.11,11.94,8.2,8.7,33.44,0.4,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,2013,2,21,11:10,UC,3502,7,7.8,U,2.08,9.14,8.2,9.7,32.06,0.4,2,0.8,0.18,0.019,<0.005,0.025,0.02,0.011,1.3,0.8,B,21.45,10.59,8.2,9,32.91,0.5,1,0.7,0.18,0.017,0.008,0.033,0.02,0.013,0.7,0.3
KIS,WY16,340012,1350504,WT,2013,2,21,12:08,CL,3802,8.9,15,U,2.26,12.98,8,8.6,33.92,-,1,1.3,0.11,0.011,0.008,0.051,<0.01,0.011,0.4,0.1,B,36.93,12.97,8,9.4,33.92,-,1,1.1,0.12,0.012,0.008,0.051,<0.01,0.012,0.5,0.2
KIS,WY17,340012,1345950,WT,2013,2,21,10:04,CL,4102,5.9,18,U,1.97,12.11,8.1,8.6,33.42,-,-,-,-,-,-,-,-,-,-,-,B,50.39,13.02,8.1,9.2,33.82,-,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,2013,2,20,10:16,CL,3502,6.7,15,U,2.09,12.88,8.1,8.6,33.74,-,<1,1.1,0.12,0.018,0.009,0.044,0.01,0.012,0.2,0.1,B,49.95,13.02,8.1,9.3,33.85,-,1,1.1,0.12,0.019,0.009,0.046,<0.01,0.012,0.1,0.1
KIS,WY19,340012,1344922,WT,2013,2,20,10:20,CL,4102,8,15.4,U,1.82,12.13,8.2,8.9,33.49,0.2,-,-,-,-,-,-,-,-,-,-,B,49.97,13.6,8.2,8.4,33.97,1.1,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,WT,2013,2,20,14:20,UC,4102,9,10,U,2.19,11.01,8.2,9.1,33.05,0.2,2,1,0.15,0.012,0.009,0.037,0.07,0.011,0.1,0.2,B,41.75,11.92,8.2,8.8,33.45,1.3,2,0.8,0.15,0.021,0.009,0.042,0.02,0.011,0.2,0.2
KIS,WY21,335552,1345950,WT,2013,2,21,10:35,CL,4102,6.2,18,U,1.91,12.97,8.1,8.5,33.89,-,<1,1.2,0.13,0.02,0.008,0.049,<0.01,0.017,0.5,0.2,B,50.13,12.98,8,9.3,33.9,-,<1,1.2,0.11,0.012,0.007,0.048,<0.01,0.01,0.2,0.1
KIS,WY22,335552,1345436,WT,2013,2,20,10:51,CL,4202,7.1,20,U,2.06,13.47,8.1,8.5,33.97,-,-,-,-,-,-,-,-,-,-,-,B,49.92,13.46,8,9.2,33.96,-,-,-,-,-,-,-,-,-,-,-
KIS,WY23,335552,1344922,WT,2013,2,20,11:00,UC,4102,8,12.2,U,2.05,11.2,8.2,9.1,33.08,0.2,1,0.7,0.15,0.016,0.008,0.038,0.02,0.01,0.3,0.3,B,50.61,11.84,8.2,8.8,33.39,0.1,1,0.8,0.16,0.017,0.008,0.038,0.02,0.011,0.2,0.3
KIS,WY24,335552,1344408,WT,2013,2,20,13:00,UC,4102,8,8,U,1.92,9.16,8.2,9.8,32.15,0.5,-,-,-,-,-,-,-,-,-,-,B,43.1,11.66,8.2,8.9,33.32,0.5,-,-,-,-,-,-,-,-,-,-
KIS,WY26,335132,1345950,WT,2013,2,21,11:09,CL,4102,7.1,18,U,2.03,13.54,8,8.3,33.98,-,-,-,-,-,-,-,-,-,-,-,B,49.98,14.59,8.1,9,34.37,-,-,-,-,-,-,-,-,-,-,-
KIS,WY27,335132,1345436,WT,2013,2,20,11:22,CL,4102,7.8,16,U,1.91,12.92,8,8.3,33.72,-,<1,1.2,0.13,0.019,0.008,0.046,<0.01,0.012,0.2,0.2,B,50.1,14.02,8,8.4,34.12,-,<1,1.1,0.15,0.021,0.008,0.069,<0.01,0.015,0.1,0.2
KIS,WY28,335132,1344922,WT,2013,2,20,11:35,UC,4102,8,12.7,U,2.28,10.84,8.2,9.3,32.95,0.2,-,-,-,-,-,-,-,-,-,-,B,49.89,12.78,8.2,8.5,33.61,0.1,-,-,-,-,-,-,-,-,-,-
KIS,WY35,340012,1343854,WT,2013,2,20,13:55,UC,4102,8,6.5,U,2.03,8.76,8.3,9.9,31.3,0.6,-,-,-,-,-,-,-,-,-,-,B,25.29,10.45,8.2,9.2,32.84,2.7,-,-,-,-,-,-,-,-,-,-
KIS,WY36,335132,1344408,WT,2013,2,20,12:20,UC,4102,8,8.1,U,2.08,9.74,8.2,9.7,32.33,0.4,1,0.8,0.18,0.014,0.006,0.022,0.01,0.01,0.7,0.4,B,35.01,10.31,8.2,9.3,32.75,0.3,1,0.9,0.15,0.015,0.006,0.025,0.01,0.01,0.7,0.4
OSK,KB01,343642,1351532,WT,2013,2,22,11:07,UC,3510,7,5,U,2.11,8.85,8.2,10.5,31.39,0.7,1,2.2,0.24,0.024,0.007,0.032,0.01,<0.003,7.3,0.8,B,16.05,9.1,8.2,10,31.95,0.6,1,1.5,0.17,0.019,<0.005,0.023,0.02,<0.003,3,0.7
OSK,KB02,343222,1351532,WT,2013,2,21,15:11,CL,3703,8.2,6,U,2.38,8.92,8.2,10.1,31.83,0.6,-,-,-,-,-,-,-,-,-,-,B,15.84,8.95,8.2,10.6,31.86,1.2,-,-,-,-,-,-,-,-,-,-
OSK,KB03,342902,1351532,WT,2013,2,21,14:37,CL,3703,8.5,6,U,2.41,8.44,8.2,11.1,30.88,0.5,1,2.3,0.24,0.024,<0.005,0.028,0.04,<0.003,11,0.6,B,15.97,8.93,8.1,10.5,31.67,1.5,2,2,0.19,0.021,<0.005,0.028,0.03,0.003,4.7,0.7
OSK,KB05,343642,1351018,WT,2013,2,22,9:04,CL,3703,4.5,7,U,2.04,9.01,8.2,9.8,31.98,0.5,-,-,-,-,-,-,-,-,-,-,B,16.32,9.07,8.2,9.8,32.02,0.4,-,-,-,-,-,-,-,-,-,-
OSK,KB06,343222,1351018,WT,2013,2,22,10:21,UC,3703,5,9,U,2.02,8.73,8.2,10,31.92,0.4,<1,1.6,0.16,0.019,<0.005,0.018,0.01,<0.003,1.9,1.1,B,39.9,8.71,8.2,10,31.92,0.4,<1,1.7,0.16,0.019,<0.005,0.02,0.03,<0.003,1.7,0.7
OSK,KB07,342902,1351018,WT,2013,2,21,14:00,CL,3703,8.5,6,U,2.18,8.57,8.2,10.5,31.41,0.4,-,-,-,-,-,-,-,-,-,-,B,31.43,8.96,8.2,10.5,31.76,3.4,-,-,-,-,-,-,-,-,-,-
OSK,KB08,342342,1351018,WT,2013,2,21,13:18,CL,3304,8,6,U,2.43,8.62,8.2,10.4,31.17,0.5,1,2.1,0.24,0.028,<0.005,0.045,0.04,<0.003,5.4,0.7,B,13.99,9.13,8.1,9.9,31.73,1.2,2,1.8,0.24,0.025,<0.005,0.047,0.03,0.005,1.4,0.9
OSK,KB09,343642,1350504,WT,2013,2,22,9:36,CL,3703,4.5,8,U,2.06,8.81,8.2,9.9,31.97,0.9,1,2,0.16,0.019,0.006,0.013,0.01,0.004,1.4,1.3,B,22.98,8.8,8.2,10,31.97,0.5,1,2,0.17,0.019,<0.005,0.016,<0.01,0.003,1.5,1.1
OSK,KB10,343222,1350504,WT,2013,2,21,10:40,CL,3805,6,6,U,1.93,9.03,8.2,9.9,31.92,0.3,-,-,-,-,-,-,-,-,-,-,B,38.84,9.15,8.2,9.8,31.96,1.5,-,-,-,-,-,-,-,-,-,-
OSK,KB11,342802,1350504,WT,2013,2,21,12:06,CL,3703,7,9,U,1.74,8.75,8.2,10.6,31.65,0.3,<1,1.9,0.2,0.022,<0.005,0.021,0.02,<0.003,4.6,0.9,B,40.27,10.29,8.1,9.6,32.44,2.7,3,1.7,0.16,0.023,<0.005,0.032,0.01,<0.003,0.9,1.6
