kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2001,2,15,8:10,UC,5505,4.5,7,U,1.79,10.08,7.9,8.4,32.88,2.3,-,-,-,-,-,-,-,-,-,-,B,35.02,12.64,-,8.3,33.76,4.3,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2001,2,15,13:10,UC,5505,8.2,7,U,1.85,9.93,8.1,8.4,32.79,1.7,2,2.2,0.18,0.036,-,-,-,-,0.8,0.3,B,49.94,12.09,7.8,8.3,33.59,2,3,1.6,0.3,0.031,-,-,-,-,0.5,0.2
KIS,WY03,341312,1345436,WT,2001,2,15,12:33,UC,5504,9.8,7,U,1.85,9.92,8.1,8.3,32.84,1.6,-,-,-,-,-,-,-,-,-,-,B,49.62,13.42,7.8,8.1,34.06,2.7,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2001,2,20,8:11,CL,5506,7.1,7.8,U,2,10.37,8,8.6,32.96,1.3,2,1.2,0.47,0.036,-,-,-,-,1.1,0.3,B,41.57,13.59,-,8,34.14,12,7,1,0.36,0.031,-,-,-,-,0.4,0.4
KIS,WY06,340852,1345950,WT,2001,2,19,8:29,CL,5505,10.5,10,U,1.88,10.28,8,8.9,32.97,1.1,-,-,-,-,-,-,-,-,-,-,B,50.23,13.25,7.8,8.5,34.03,6.4,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2001,2,19,9:07,CL,5505,10,8.8,U,1.97,10.95,8,8.7,33.27,1.1,2,1.6,0.43,0.031,-,-,-,-,1,0.3,B,49.82,12.09,7.8,8.9,33.72,1,2,1.4,0.24,0.028,-,-,-,-,0.5,0.2
KIS,WY08,340852,1344922,WT,2001,2,13,10:39,UC,-,6,8.2,U,2.01,10.73,8.1,8.4,33.15,1.6,-,-,-,-,-,-,-,-,-,-,B,45.43,12.24,8.1,8,33.65,1.5,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,2001,2,13,9:44,UC,-,6,7.8,U,1.96,10.19,8.1,8.6,33.06,1.3,<1,1.9,0.25,0.028,-,-,-,-,0.8,0.7,B,15.47,9.72,8.1,8.7,32.96,1.8,<1,2.6,0.2,0.027,-,-,-,-,1.3,0.2
KIS,WY10,340852,1343854,WT,2001,2,13,8:51,UC,-,6,6.1,U,2.01,8.85,7.9,8.8,32.81,2.7,-,-,-,-,-,-,-,-,-,-,B,11.51,8.85,7.8,8.8,32.81,2.7,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2001,2,20,8:58,CL,5505,7.8,6.6,U,2.12,11.54,8,8.3,33.4,1.5,2,1,0.34,0.033,-,-,-,-,0.9,0.3,B,49.91,12.68,7.8,8.4,33.91,2.7,2,1.2,0.32,0.028,-,-,-,-,0.4,0.2
KIS,WY12,340432,1345436,WT,2001,2,19,9:42,CL,5505,12.6,8.6,U,1.97,11.18,8,8.7,33.48,1.2,-,-,-,-,-,-,-,-,-,-,B,50.65,12.96,7.8,8.8,34.03,4.3,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,2001,2,15,10:13,CL,-,3,7.1,U,2.01,12.21,8,8.3,33.78,2.7,1,1.4,0.17,0.024,-,-,-,-,0.5,0.6,B,45.23,12.52,7.9,8.3,33.93,5,1,1.6,0.17,0.025,-,-,-,-,0.5,0.4
KIS,WY14,340432,1344408,WT,2001,2,15,10:56,CL,-,5,6.5,U,2.1,10.73,8,8.7,33.22,2,-,-,-,-,-,-,-,-,-,-,B,31.14,10.5,7.8,8.7,33.2,2.8,-,-,-,-,-,-,-,-,-,-
