kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
kis,WY01,341312,1350504,WT,2011,03,09,8:25,UC,3805,8,10.3,U,2,9.97,8,9.2,32.4,7.1,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kis,WY02,341312,1345950,WT,2011,03,09,8:50,UC,3805,10,9.1,U,2,9.87,8,9.1,32.8,-,1,1.7,0.08,0.022,<0.005,0.019,0.02,0.008,0.3,<0.1,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kis,WY03,341312,1345436,WT,2011,03,09,9:15,UC,3805,11,12.4,U,2,10.17,8,9,32.93,6.6,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kis,WY05,340852,1350504,WT,2011,03,09,14:50,CL,3805,13,11,U,2,10.2,8,9,32.9,6.6,3,1.6,0.09,0.022,<0.005,0.021,0.02,0.009,0.3,<0.1,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kis,WY06,340852,1345950,WT,2011,03,09,14:25,CL,3805,13,10.2,U,2,10.17,8,9.1,32.88,6.6,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kis,WY07,340852,1345436,WT,2011,03,09,9:40,UC,3805,11,12.4,U,2,10.27,8,9.1,33.01,6.6,3,1.8,0.1,0.02,<0.005,0.028,0.01,0.009,0.4,0.1,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kis,WY08,340852,1344922,WT,2011,02,25,9:10,CL,3505,15,10.39,U,2.1,9.77,8.1,9.1,32.93,0.4,-,-,-,-,-,-,-,-,-,-,B,50.05,8.15,8.1,9.1,32.75,0.8,-,-,-,-,-,-,-,-,-,-
kis,WY09,340852,1344408,WT,2011,02,25,9:50,CL,3502,16,6.6,U,1.65,8.35,8.1,9.2,32.82,0.7,2,1.5,0.13,0.019,<0.005,0.013,<0.01,0.012,1,0.1,B,21.97,8.2,8.1,9.1,32.78,0.8,1,1.3,0.14,0.025,<0.005,0.013,0.01,0.012,0.8,0.1
kis,WY10,340852,1343854,WT,2011,02,25,10:20,CL,3502,17,5.51,U,1.19,8.26,8.1,9.2,32.8,0.8,-,-,-,-,-,-,-,-,-,-,B,15.46,8.23,8.1,9.1,32.78,0.8,-,-,-,-,-,-,-,-,-,-
kis,WY11,340432,1345950,WT,2011,03,09,13:50,CL,3805,13,11,U,2,10.72,8,8.9,33.1,6.6,4,1.8,0.1,0.022,<0.005,0.028,0.01,0.011,0.3,<0.1,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
