kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2015,2,18,8:28,CL,3702,8.4,10,U,1.94,11.87,7.97,8.38,33.17,0.1,-,-,-,-,-,-,-,-,-,-,B,28,13.41,7.64,8.03,33.95,0.5,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2015,2,18,8:57,CL,3702,8.5,8,U,2.1,11.24,8.14,8.58,32.84,0.2,1,1.5,0.12,0.014,0.011,0.041,<0.01,0.008,0.3,0.6,B,43,14.49,7.7,6.98,34.4,1.1,3,1.1,0.15,0.022,0.013,0.053,<0.01,0.016,0.2,0.6
KIS,WY03,341312,1345436,WT,2015,2,16,9:18,CL,3805,6.9,10,U,1.92,10.92,-,8.95,32.53,0.1,-,-,-,-,-,-,-,-,-,-,B,58,11.54,-,8.88,32.91,0.3,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2015,2,2,13:03,CL,3805,11.4,11,U,1.99,12.06,8.14,8.39,33.38,0.4,1,1.2,0.18,0.022,0.011,0.041,<0.01,0.011,0.2,0.3,B,38,13.18,7.85,7.96,33.93,0.5,2,1.2,0.11,0.016,0.014,0.052,<0.01,0.011,0.1,0.3
KIS,WY06,340852,1345950,WT,2015,2,2,11:35,CL,3802,10.2,11,U,1.98,11.38,8.26,8.61,33.01,0.1,-,-,-,-,-,-,-,-,-,-,B,61,13.02,8.18,8.25,33.9,0.1,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2015,2,16,9:53,CL,3805,8.1,15,U,2.09,11.58,8.12,8.74,33.04,0.1,1,1.3,0.14,0.015,0.009,0.024,<0.01,0.008,0.2,0.6,B,58,13.95,8.1,7.66,34.1,0.7,2,1.3,0.11,0.018,0.012,0.065,<0.01,0.013,0.2,0.6
KIS,WY08,340852,1344922,WT,2015,2,2,10:20,UC,3702,8,10.39,U,1.95,11.25,8.2,8.78,32.84,0.34,-,-,-,-,-,-,-,-,-,-,B,50.32,12.04,8.2,8.45,33.31,0.78,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,2015,2,2,10:55,UC,3702,8,9.78,U,2.1,10,8.2,9.75,32.41,0.64,1,1.2,0.15,0.019,0.007,0.027,0.04,0.011,0.6,0.8,B,21.62,10.86,8.21,9.38,32.77,0.8,2,1.4,0.2,0.018,0.009,0.043,0.02,0.013,0.4,0.7
KIS,WY10,340852,1343854,WT,2015,3,3,14:30,UC,3805,11,7.33,U,2.11,9.89,8.23,9.04,32.18,0.52,-,-,-,-,-,-,-,-,-,-,B,15.19,9.89,8.24,9.45,32.2,0.56,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2015,2,2,12:11,CL,3805,9.7,11,U,1.95,12.69,8.17,8.25,33.75,0.1,1,1.2,0.12,0.014,0.012,0.043,<0.01,0.011,0.3,0.6,B,58,13.64,8.09,8.06,34.07,0.1,1,1.2,0.1,0.014,0.009,0.045,<0.01,0.01,0.2,0.5
