kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2008,2,21,12:25,CL,3703,7.8,11.8,U,2.03,10.07,8.4,8.6,33.2,0.7,-,-,-,-,-,-,-,-,-,-,B,33.41,12.36,8.4,7.5,33.92,4.2,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2008,2,21,11:41,CL,3703,9.0,7.8,U,2.09,9.68,8.4,8.8,33.1,1.0,1,2.3,0.1,0.033,<0.005,0.010,0.0,0.014,1.5,1.2,B,48.30,9.89,8.4,10.2,33.19,2.8,3,2.5,0.28,0.043,<0.005,0.041,0.02,0.019,2.1,2.7
KIS,WY03,341312,1345436,WT,2008,2,21,10:57,CL,3703,7.5,15.6,U,2.06,10.20,8.4,8.7,33.3,0.5,-,-,-,-,-,-,-,-,-,-,B,50.59,11.78,8.4,8.2,33.75,2.9,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2008,2,21,8:08,CL,3805,7.5,10.8,U,2.35,10.08,8.3,9.4,33.2,0.6,1,2.3,0.2,0.051,<0.005,0.016,0.0,0.030,1.3,1.6,B,41.07,12.48,8.4,9.1,33.99,7.1,7,2.6,0.27,0.052,0.006,0.037,0.02,0.017,4.5,3.1
KIS,WY06,340852,1345950,WT,2008,2,21,8:47,CL,3703,9.8,9.4,U,2.12,10.05,8.4,9.1,33.2,0.7,-,-,-,-,-,-,-,-,-,-,B,50.12,12.43,8.4,9.1,34.00,2.4,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2008,2,21,10:18,CL,3703,8.0,12.4,U,2.17,10.17,8.4,8.5,33.3,0.7,1,2.5,0.2,0.035,<0.005,0.014,0.0,0.016,1.0,1.2,B,50.36,12.71,8.4,9.3,34.14,3.1,3,1.2,0.13,0.030,0.010,0.028,0.02,0.012,1.7,1.1
KIS,WY08,340852,1344922,WT,2008,2,15,10:35,CL,3802,7.0,7.1,U,2.08,12.96,8.3,8.7,34.0,0.4,-,-,-,-,-,-,-,-,-,-,B,50.61,12.89,8.3,8.5,33.95,0.7,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,2008,2,15,11:15,CL,3802,7.5,7.2,U,2.24,9.42,8.3,9.2,33.3,0.6,2,1.4,0.2,0.019,0.004,0.020,<0.05,0.013,1.1,0.2,B,22.48,9.40,8.3,9.2,33.26,0.5,1,1.4,0.18,0.027,0.004,<0.02,<0.05,0.013,0.9,0.2
KIS,WY10,340852,1343854,WT,2008,2,15,11:47,CL,3802,8.0,7.4,U,2.25,9.50,8.3,9.3,33.3,0.5,-,-,-,-,-,-,-,-,-,-,B,15.54,9.49,8.3,9.2,33.25,0.5,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2008,2,20,8:50,CL,3703,10.0,10.0,U,1.85,11.25,8.1,8.7,33.6,0.9,1,1.1,0.1,0.031,0.006,0.021,0.0,0.013,1.1,1.2,B,50.24,13.22,8.2,9.1,34.27,2.0,2,1.4,0.13,0.033,0.010,0.029,<0.01,0.017,1.1,0.9
KIS,WY12,340432,1345436,WT,2008,2,21,9:39,CL,3703,10.0,9.8,U,2.12,10.72,8.4,9.3,33.5,0.8,-,-,-,-,-,-,-,-,-,-,B,50.15,12.47,8.4,9.2,34.08,2.5,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,2008,2,15,9:56,CL,3802,7.5,6.1,U,1.80,13.66,8.3,8.4,34.3,0.9,3,1.6,0.2,0.024,0.009,0.040,<0.05,0.009,3.0,<0.1,B,51.09,13.69,8.3,8.2,34.27,1.2,2,1.7,0.17,0.019,0.010,0.040,<0.05,0.008,1.9,0.1
KIS,WY14,340432,1344408,WT,2008,2,15,9:16,CL,3502,6.5,6.7,U,1.87,11.51,8.3,8.9,33.6,0.8,-,-,-,-,-,-,-,-,-,-,B,38.00,11.53,8.3,8.7,33.64,0.9,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,2008,2,15,12:46,CL,3802,9.0,5.1,U,2.02,9.70,8.3,9.5,33.2,0.6,2,2.0,0.2,0.021,0.005,<0.02,<0.05,0.010,2.9,0.2,B,22.00,10.44,8.3,9.3,33.43,1.4,4,1.5,0.17,0.018,0.006,0.020,<0.05,0.010,3.8,0.4
KIS,WY16,340012,1350504,WT,2008,2,20,14:02,CL,3805,14.0,8.0,U,2.17,13.05,8.5,8.9,34.1,1.1,1,1.3,0.1,0.027,<0.005,0.010,0.0,0.006,1.9,1.3,B,35.29,12.69,8.6,9.3,34.12,1.1,2,1.5,0.13,0.038,<0.005,0.014,0.02,0.014,3.0,2.1
KIS,WY17,340012,1345950,WT,2008,2,20,13:24,CL,3805,12.5,10.0,U,2.00,13.39,8.5,8.5,34.3,0.8,-,-,-,-,-,-,-,-,-,-,B,50.06,13.26,8.6,9.0,34.28,1.3,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,2008,2,20,9:45,CL,3805,13.5,12.2,U,2.09,11.67,8.2,8.7,33.9,0.7,1,1.5,0.2,0.052,0.006,0.032,0.0,0.038,0.9,1.2,B,50.42,11.82,8.3,9.5,33.90,1.3,2,1.6,0.13,0.038,0.007,0.026,0.01,0.020,1.3,0.9
KIS,WY19,340012,1344922,WT,2008,2,8,9:52,CL,4000,8.0,10.6,U,1.80,14.98,8.3,8.1,34.5,0.5,-,-,-,-,-,-,-,-,-,-,B,50.02,13.93,8.3,8.2,34.26,1.5,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,WT,2008,2,8,9:13,CL,3501,7.5,4.6,U,1.81,12.41,8.3,8.6,33.9,1.5,5,1.2,0.2,0.020,0.014,0.040,0.1,0.014,0.9,0.1,B,42.29,12.41,8.3,8.4,33.87,1.8,5,1.2,0.18,0.031,0.014,0.040,<0.05,0.014,1.1,0.1
KIS,WY21,335552,1345950,WT,2008,2,20,12:38,CL,4105,12.5,13.0,U,2.03,16.50,8.4,7.4,34.7,0.6,1,1.2,0.1,0.028,<0.005,0.051,<0.01,0.013,2.4,1.4,B,50.09,15.11,8.5,8.6,34.58,0.4,1,1.3,0.12,0.028,<0.005,0.046,0.02,0.012,2.4,1.4
KIS,WY22,335552,1345436,WT,2008,2,20,10:28,CL,4105,14.0,16.4,U,2.14,15.99,8.3,7.6,34.6,0.3,-,-,-,-,-,-,-,-,-,-,B,50.30,12.71,8.3,9.5,34.16,0.6,-,-,-,-,-,-,-,-,-,-
KIS,WY23,335552,1344922,WT,2008,2,8,10:29,CL,4000,8.5,9.1,U,2.25,14.60,8.3,8.3,34.4,0.3,2,1.1,0.1,0.017,0.010,0.030,<0.05,0.011,0.5,0.1,B,50.32,14.09,8.3,8.2,34.31,0.7,2,1.5,0.14,0.015,0.012,0.030,<0.05,0.012,0.6,0.1
KIS,WY24,335552,1344408,WT,2008,2,22,9:38,CL,3805,11.0,6.2,U,2.08,10.89,8.4,9.5,33.6,0.8,-,-,-,-,-,-,-,-,-,-,B,43.04,10.90,8.4,9.2,33.62,1.8,-,-,-,-,-,-,-,-,-,-
KIS,WY26,335132,1345950,WT,2008,2,20,11:52,CL,4105,14.0,12.4,U,2.03,16.64,8.1,7.3,34.7,0.2,-,-,-,-,-,-,-,-,-,-,B,50.03,15.78,8.1,6.8,34.60,0.9,-,-,-,-,-,-,-,-,-,-
KIS,WY27,335132,1345436,WT,2008,2,20,11:08,CL,4105,14.0,15.0,U,2.00,16.23,8.4,7.5,34.7,0.2,<1,1.4,0.1,0.028,<0.005,0.050,<0.01,0.022,1.6,1.1,B,50.12,15.50,8.5,8.3,34.62,0.4,<1,1.1,0.11,0.036,0.005,0.059,<0.01,0.025,0.6,0.8
KIS,WY28,335132,1344922,WT,2008,2,8,11:08,CL,4000,8.5,11.5,U,2.26,12.70,8.3,8.7,33.9,0.6,-,-,-,-,-,-,-,-,-,-,B,50.08,12.69,8.3,8.6,33.93,0.7,-,-,-,-,-,-,-,-,-,-
KIS,WY35,340012,1343854,WT,2008,2,22,8:53,CL,3805,9.5,6.8,U,1.96,9.94,8.4,10.0,33.1,0.7,-,-,-,-,-,-,-,-,-,-,B,24.81,11.07,8.4,9.2,33.65,1.0,-,-,-,-,-,-,-,-,-,-
KIS,WY36,335132,1344408,WT,2008,2,8,11:52,CL,3802,9.0,8.5,U,1.93,13.01,8.3,8.7,33.9,0.5,2,0.8,0.1,0.016,0.008,0.020,<0.05,0.011,1.0,0.1,B,37.64,13.40,8.3,8.4,34.04,0.5,2,1.2,0.14,0.015,0.008,0.030,<0.05,0.011,0.8,0.1
OSK,KB01,343642,1351532,WT,2008,2,20,9:21,CL,3106,6.5,3.5,U,2.08,8.38,8.5,11.7,31.9,1.8,2,2.6,0.2,0.028,<0.01,<0.1,<0.01,0.005,7.0,13.0,B,16.84,8.70,8.2,11.4,32.93,1.5,2,1.9,0.23,0.023,<0.01,<0.1,<0.01,0.010,2.8,4.1
OSK,KB02,343222,1351532,WT,2008,2,25,16:00,CL,3703,6.3,4.5,U,2.03,8.49,8.6,10.7,31.6,0.8,-,-,-,-,-,-,-,-,-,-,B,16.18,8.77,8.3,11.2,32.96,1.1,-,-,-,-,-,-,-,-,-,-
OSK,KB03,342902,1351532,WT,2008,2,20,11:38,CL,3505,7.5,5.0,U,1.73,8.10,8.4,10.8,32.2,0.5,1,1.5,0.2,0.018,<0.01,<0.1,<0.01,<0.005,3.4,5.4,B,17.21,8.53,8.2,11.9,32.78,0.6,1,1.6,0.25,0.080,<0.01,<0.1,<0.01,0.009,2.9,5.2
OSK,KB05,343642,1351018,WT,2008,2,25,9:22,CL,3702,3.6,5.5,U,2.19,8.54,8.4,9.5,33.0,0.6,-,-,-,-,-,-,-,-,-,-,B,16.62,8.50,8.4,12.2,33.01,0.9,-,-,-,-,-,-,-,-,-,-
OSK,KB06,343222,1351018,WT,2008,2,25,9:55,CL,3304,4.0,6.5,U,2.58,8.11,8.5,10.0,32.6,0.4,2,1.5,0.1,0.016,<0.01,<0.1,0.0,<0.005,2.3,3.4,B,40.12,8.62,8.3,12.2,33.01,2.2,4,1.3,0.11,0.022,<0.01,<0.1,0.01,0.014,1.1,1.4
OSK,KB07,342902,1351018,WT,2008,2,25,15:25,CL,3703,6.3,8.0,U,2.23,8.17,8.5,9.8,32.5,0.4,-,-,-,-,-,-,-,-,-,-,B,30.08,8.71,8.3,11.8,33.00,1.2,-,-,-,-,-,-,-,-,-,-
OSK,KB08,342342,1351018,WT,2008,2,25,14:49,CL,3304,8.2,9.0,U,2.16,8.44,8.4,9.4,32.7,0.3,<1,1.3,0.1,0.016,<0.01,<0.1,<0.01,0.005,1.5,1.5,B,14.04,8.27,8.4,11.5,32.83,1.2,<1,1.3,0.14,0.014,<0.01,<0.1,<0.01,0.008,1.1,1.8
OSK,KB09,343642,1350504,WT,2008,2,21,9:31,CL,3304,6.7,6.0,U,2.20,8.54,8.3,9.0,33.0,1.1,2,1.4,0.1,0.022,<0.01,<0.1,0.0,0.013,1.5,1.5,B,24.00,8.53,8.3,12.3,32.97,2.2,2,1.3,0.14,0.035,<0.01,<0.1,0.02,0.014,1.1,1.1
OSK,KB10,343222,1350504,WT,2008,2,25,10:28,CL,3703,4.5,7.5,U,1.97,8.55,8.3,9.1,33.0,0.7,-,-,-,-,-,-,-,-,-,-,B,29.07,8.51,8.3,12.1,33.02,1.4,-,-,-,-,-,-,-,-,-,-
OSK,KB11,342802,1350504,WT,2008,2,25,13:43,CL,3703,8.0,7.0,U,1.85,9.09,8.4,9.2,32.9,0.5,1,1.4,0.1,0.014,<0.01,<0.1,<0.01,0.007,1.1,1.3,B,39.49,8.93,8.4,12.1,32.96,2.5,<1,1.3,0.13,0.017,<0.01,<0.1,<0.01,0.010,1.6,1.9
OSK,KB12,342342,1350504,WT,2008,2,25,14:17,CL,3703,7.9,6.0,U,2.23,8.98,8.4,9.1,33.0,0.5,-,-,-,-,-,-,-,-,-,-,B,36.22,9.02,8.3,11.8,33.04,1.4,-,-,-,-,-,-,-,-,-,-
OSK,KB13,341922,1350504,WT,2008,2,22,8:30,UC,3703,6.5,6.8,U,2.12,9.30,8.3,9.1,33.1,2.1,2,2.1,0.2,0.039,<0.005,0.008,0.0,0.014,1.9,1.8,B,50.33,9.46,8.3,10.0,33.10,2.4,3,2.4,0.15,0.041,<0.005,0.016,0.02,0.017,2.2,1.9
OSK,KB14,342802,1345950,WT,2008,2,25,11:11,CL,3703,5.3,7.5,U,2.11,8.70,8.4,8.9,33.0,0.4,-,-,-,-,-,-,-,-,-,-,B,49.87,8.58,8.3,12.0,32.98,1.4,-,-,-,-,-,-,-,-,-,-
OSK,KB15,342342,1345950,WT,2008,2,22,9:45,UC,3703,7.0,7.8,U,2.17,9.38,8.3,9.1,33.1,1.1,1,2.1,0.2,0.033,<0.005,0.006,0.0,0.013,1.2,1.0,B,43.28,9.71,8.3,9.1,33.16,10.8,6,2.2,0.16,0.047,<0.005,0.010,0.02,0.018,1.8,3.1
OSK,KB16,341922,1345950,WT,2008,2,22,9:13,UC,3703,12.5,5.0,U,1.97,9.69,8.3,9.0,33.2,5.1,-,-,-,-,-,-,-,-,-,-,B,50.18,9.67,8.3,10.9,33.14,5.3,-,-,-,-,-,-,-,-,-,-
OSK,KB54,344012,1352046,WT,2008,2,20,9:58,CL,3106,10.0,3.5,U,1.81,8.61,8.5,12.6,30.7,1.6,2,2.9,0.6,0.037,0.010,0.100,0.0,0.013,9.3,17.0,B,11.18,8.86,8.3,11.1,32.36,0.7,2,2.0,0.21,0.033,<0.01,<0.1,0.02,0.009,9.2,13.0
OSK,KB55,343642,1352046,WT,2008,2,20,10:27,CL,3106,7.0,3.5,U,2.12,8.36,8.5,12.1,31.2,1.2,-,-,-,-,-,-,-,-,-,-,B,13.89,8.51,8.3,11.9,32.57,1.1,-,-,-,-,-,-,-,-,-,-
OSK,KB56,343222,1352046,WT,2008,2,20,11:03,CL,3505,6.5,4.5,U,2.31,8.14,8.6,12.8,31.3,0.9,2,1.6,0.6,0.026,0.010,<0.1,<0.01,0.006,5.6,13.0,B,12.45,8.56,8.3,11.4,32.74,0.8,2,2.2,0.29,0.022,<0.01,<0.1,0.01,0.006,2.8,6.2
OSK,KB57,344012,1351532,WT,2008,2,20,8:55,CL,3106,7.0,2.5,U,1.86,8.75,8.4,10.5,32.0,1.1,-,-,-,-,-,-,-,-,-,-,B,12.94,9.09,8.3,11.5,32.61,0.8,-,-,-,-,-,-,-,-,-,-
OSK,KB58,342342,1345436,WT,2008,2,22,10:25,UC,3805,10.5,9.6,U,2.12,9.68,8.3,9.0,33.1,1.0,-,-,-,-,-,-,-,-,-,-,B,29.12,9.63,8.3,9.1,33.12,1.3,-,-,-,-,-,-,-,-,-,-
OSK,KB59,341922,1345556,WT,2008,2,22,11:02,UC,3703,11.8,8.0,U,2.17,9.68,8.3,9.1,33.1,1.7,2,2.3,0.1,0.039,<0.005,0.008,0.0,0.013,1.6,1.5,B,40.19,9.66,8.3,9.2,33.14,10.9,5,2.5,0.16,0.045,<0.005,0.015,0.02,0.016,1.7,3.2
HAR,KB17,343642,1345436,WT,2008,2,26,10:35,SR,3703,7.2,5.5,U,1.92,8.13,8.3,10.4,33.0,0.6,1,1.8,0.1,0.018,<0.01,<0.1,<0.01,0.010,2.1,0.9,B,22.10,8.15,8.3,13.6,33.04,1.7,<1,1.7,0.13,0.017,<0.01,<0.1,<0.01,0.010,1.5,1.4
HAR,KB18,343642,1344922,WT,2008,2,26,11:06,SR,3703,7.2,4.5,U,2.05,8.09,8.3,10.5,33.0,1.1,-,-,-,-,-,-,-,-,-,-,B,19.29,8.03,8.3,13.6,32.98,4.2,-,-,-,-,-,-,-,-,-,-
HAR,KB19,343222,1344922,WT,2008,2,27,10:18,UC,3505,4.3,5.0,U,2.22,8.17,8.3,9.6,33.0,0.5,<1,1.6,0.1,0.019,<0.01,<0.1,0.0,0.010,1.4,0.8,B,36.09,8.16,8.3,13.0,33.04,0.5,1,1.8,0.10,0.018,<0.01,<0.1,0.01,0.010,1.5,0.6
