kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2018,2,19,8:48,UC,3802,6.1,9,U,1.8,10.05,7.88,8.78,32.27,0.4,-,-,-,-,-,-,-,-,-,-,B,31,13.07,7.8,7.78,33.53,2.2,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2018,2,19,9:19,UC,3802,6.4,7,U,1.9,9.96,7.8,8.82,32.29,0.7,2,1.7,0.14,0.043,<0.005,0.037,0.01,0.027,1,0.3,B,43.98,10.62,7.79,8.57,32.56,1.3,4,1.7,0.11,0.035,<0.005,0.044,0.01,0.02,0.5,0.7
KIS,WY03,341312,1345436,WT,2018,2,19,9:53,UC,3805,6.8,12,U,2.06,9.95,7.84,8.9,32.41,0.2,-,-,-,-,-,-,-,-,-,-,B,58,12,7.92,8,33.14,1.8,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2018,2,22,11:05,CL,3802,10.3,10,U,2.72,10.09,7.79,8.89,32.49,0.4,2,1.8,0.06,0.027,<0.005,0.038,<0.01,0.018,0.6,0.2,B,38,12.94,7.73,7.8,33.64,1.5,6,1.6,0.07,0.033,<0.005,0.059,0.01,0.024,0.2,0.2
KIS,WY06,340852,1345950,WT,2018,2,22,9:03,CL,3805,7.1,12,U,2.1,9.93,7.81,8.92,32.47,0.2,-,-,-,-,-,-,-,-,-,-,B,58,13.45,7.77,7.69,33.82,0.9,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2018,2,19,10:26,UC,4105,9,14,U,2.53,10.26,7.81,8.77,32.52,0.2,1,1.6,0.06,0.03,<0.005,0.044,0.01,0.02,0.4,0.1,B,58,12.63,7.77,7.96,33.35,2.3,5,1.3,0.07,0.033,<0.005,0.042,0.02,0.032,0.2,0.3
KIS,WY08,340852,1344922,WT,2018,2,20,10:40,CL,4305,13,12.75,U,2.08,10.39,8.21,8.7,33.04,0.5,-,-,-,-,-,-,-,-,-,-,B,49.62,10.74,8.22,7.86,33.2,1.2,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,2018,2,20,11:15,CL,3702,16,7.38,U,2.33,8.43,8.21,8.72,32.5,0.8,2,1.8,0.14,0.017,0.006,0.037,0.02,0.011,0.7,0.6,B,18.93,8.45,8.2,8.56,32.51,1.2,3,1.4,0.13,0.016,0.006,0.037,<0.01,0.011,0.7,0.8
KIS,WY10,340852,1343854,WT,2018,2,20,11:51,CL,3805,12,6.33,U,2.2,8.34,8.24,9.26,32.34,0.8,-,-,-,-,-,-,-,-,-,-,B,13.63,8.2,8.23,9.21,32.43,0.8,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2018,2,22,9:35,CL,4000,8.8,9,U,2.53,10.08,7.8,8.87,32.5,0.3,2,1.7,0.06,0.028,<0.005,0.036,0.01,0.018,0.4,0.1,B,58,12.32,7.77,8.34,33.51,0.5,3,1.4,0.07,0.029,<0.005,0.054,0.01,0.02,0.2,0.1
KIS,WY12,340432,1345436,WT,2018,2,19,10:59,UC,4302,10.5,14,U,2.26,10.44,7.89,8.75,32.65,0.1,-,-,-,-,-,-,-,-,-,-,B,58,13.4,7.76,7.69,33.73,1.7,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,2018,2,20,10:00,CL,4305,11,13.91,U,2.44,10.6,8.22,9.26,33.21,0.4,1,1.5,0.16,0.015,0.009,0.05,<0.01,0.009,0.7,0.7,B,50.05,12.28,8.2,8.64,33.78,3.9,2,1.1,0.12,0.014,0.009,0.052,<0.01,0.012,0.6,0.7
KIS,WY14,340432,1344408,WT,2018,2,20,9:25,CL,3805,10,8.29,U,2.1,8.84,8.23,9.26,32.67,0.6,-,-,-,-,-,-,-,-,-,-,B,36.37,9.6,8.21,8,32.88,1.4,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,2018,2,20,8:50,CL,3805,11,6.71,U,2.17,8.27,8.24,9.69,32.45,0.9,2,2,0.16,0.015,<0.005,0.016,<0.01,0.005,3,4.6,B,18.73,8.37,8.22,9.42,32.48,1.5,4,1.7,0.14,0.016,<0.005,0.021,<0.01,0.008,2.5,5.7
KIS,WY16,340012,1350504,WT,2018,2,19,11:55,UC,3805,12.2,13,U,1.86,11.71,7.8,8.55,33.31,0.2,1,1.4,0.05,0.025,<0.005,0.031,0.01,0.023,0.6,0.4,B,33,12.21,7.79,8.29,33.45,0.3,1,1.6,0.05,0.025,<0.005,0.025,0.02,0.023,0.5,0.3
KIS,WY17,340012,1345950,WT,2018,2,22,10:10,CL,3802,8.6,11,U,1.95,10.79,7.82,8.75,32.86,0.3,-,-,-,-,-,-,-,-,-,-,B,63,12.57,7.78,8.17,33.64,0.5,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,2018,2,21,9:42,UC,4305,8.8,17,U,2.16,11.45,8,8.58,33.24,0.1,<1,1.2,0.07,0.029,<0.005,0.049,0.02,0.021,0.5,0.1,B,58,13.41,7.89,7.78,33.89,0.5,2,1.3,0.07,0.029,<0.005,0.048,0.01,0.023,0.1,0.4
KIS,WY19,340012,1344922,WT,2018,2,19,9:40,UC,4305,9,10.59,U,2.19,10.3,8.26,8.78,33.15,0.3,-,-,-,-,-,-,-,-,-,-,B,49.68,11.3,8.26,8.4,33.45,0.9,-,-,-,-,-,-,-,-,-,-
