kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,<1,1,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,<1,<0.5,-,-,-,-,-,-,-,-
KIS,WY03,341312,1345436,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,<1,1.3,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,<1,0.9,-,-,-,-,-,-,-,-
KIS,WY06,340852,1345950,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,3,1.5,0.07,0.017,0.026,0.033,<0.01,0.017,-,-,B,-,-,-,-,-,-,<1,0.6,0.05,0.015,0.019,0.025,<0.01,0.013,-,-
KIS,WY08,340852,1344922,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,<1,2.1,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,<1,1.2,-,-,-,-,-,-,-,-
KIS,WY10,340852,1343854,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,<1,1.5,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,<1,0.6,-,-,-,-,-,-,-,-
KIS,WY12,340432,1345436,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,1,1.5,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,<1,0.7,-,-,-,-,-,-,-,-
KIS,WY14,340432,1344408,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,1,1.8,0.12,0.028,0.02,0.038,0.01,0.018,-,-,B,-,-,-,-,-,-,<1,0.5,0.1,0.024,0.025,0.038,0.02,0.017,-,-
KIS,WY16,340012,1350504,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,<1,1.8,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,<1,0.7,-,-,-,-,-,-,-,-
KIS,WY17,340012,1345950,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,<1,1,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,<1,<0.5,-,-,-,-,-,-,-,-
KIS,WY19,340012,1344922,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,<1,1.7,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,<1,1,-,-,-,-,-,-,-,-
KIS,WY21,335552,1345950,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,<1,1.5,0.02,0.019,0.013,0.008,<0.01,0.015,-,-,B,-,-,-,-,-,-,<1,0.6,0.02,0.019,0.012,0.008,<0.01,0.013,-,-
KIS,WY22,335552,1345436,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY23,335552,1344922,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,<1,2.1,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,<1,0.7,-,-,-,-,-,-,-,-
KIS,WY24,335552,1344408,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY26,335132,1345950,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY27,335132,1345436,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,<1,1.5,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,<1,0.7,-,-,-,-,-,-,-,-
KIS,WY28,335132,1344922,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY35,340012,1343854,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY36,335132,1344408,WT,1993,2,5,99999,-,-,-,-,U,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,1,0.6,-,-,-,-,-,-,-,-
OSK,KB01,343642,1351532,WT,1993,2,8,99999,-,-,-,-,U,-,-,-,-,-,-,2,1.4,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,1,1.1,-,-,-,-,-,-,-,-
OSK,KB02,343222,1351532,WT,-,-,-,-,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
