kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2020,1,21,8:42,CL,3802,10.1,9,U,1.99,14.2,8.22,8.3,33.5,0.5,-,-,-,-,-,-,-,-,-,-,B,28,15.49,8.23,7.82,34.09,1.6,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2020,1,21,9:09,CL,3702,9.8,10,U,1.91,14.03,8.21,8.35,33.42,0.4,1,1.4,0.19,0.019,0.012,0.036,<0.01,0.012,0.5,0.9,B,38,15.53,8.2,7.92,34.17,1.2,2,1.3,0.19,0.02,0.013,0.039,0.02,0.012,0.4,0.7
KIS,WY03,341312,1345436,WT,2020,1,21,9:47,CL,3805,10.1,12,U,1.98,14.11,8.22,8.39,33.51,0.4,-,-,-,-,-,-,-,-,-,-,B,58,15.66,8.23,8.04,34.27,0.7,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2020,1,21,10:59,CL,3702,13.6,9,U,2,14.21,8.21,8.37,33.53,0.5,<1,1.5,0.22,0.019,0.013,0.037,<0.01,0.012,0.8,0.5,B,38,15.9,8.23,7.83,34.32,1.6,3,1.3,0.19,0.02,0.014,0.039,0.01,0.012,0.4,0.6
KIS,WY06,340852,1345950,WT,2020,1,21,10:28,CL,3802,12.6,11,U,1.98,14.12,8.21,8.38,33.49,0.4,-,-,-,-,-,-,-,-,-,-,B,58,15.89,8.22,7.86,34.36,1.2,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2020,1,20,9:28,UC,3805,11.2,11,U,2.2,14.36,8.15,8.27,33.62,0.4,<1,1.4,0.19,0.017,0.013,0.039,0.01,0.011,0.3,0.5,B,58,15.69,8.16,7.9,34.32,0.8,1,1.1,0.17,0.016,0.01,0.039,<0.01,0.01,0.4,0.5
KIS,WY08,340852,1344922,WT,2020,2,3,10:20,CL,4305,13,10.4,U,2.44,13.82,8.29,8.34,33.41,0.6,-,-,-,-,-,-,-,-,-,-,B,50.12,15.11,8.28,7.96,33.94,2.3,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,2020,2,3,10:55,CL,3703,12,10,U,2.26,12.45,8.28,8.71,32.82,0.6,3,1.2,0.17,0.024,0.012,0.023,<0.01,0.014,0.7,1,B,19.26,13.3,8.27,8.39,33.2,1.4,2,0.9,0.16,0.02,0.015,0.03,<0.01,0.014,0.3,1.1
KIS,WY10,340852,1343854,WT,2020,2,3,11:30,UC,3505,13,9.5,U,2.22,12.37,8.27,8.71,32.69,0.6,-,-,-,-,-,-,-,-,-,-,B,13.23,12.36,8.27,8.74,32.79,0.8,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2020,1,20,10:12,UC,3802,12.2,12,U,1.98,14.38,8.16,8.28,33.58,0.5,<1,1.4,0.17,0.018,0.013,0.037,0.01,0.012,0.7,1.1,B,58,15.97,8.17,7.85,34.37,1,2,1.1,0.17,0.017,0.011,0.037,<0.01,0.01,1.3,0.7
KIS,WY12,340432,1345436,WT,2020,1,16,9:37,UC,3805,9.1,11,U,1.99,15.12,8.18,8.15,33.87,0.5,-,-,-,-,-,-,-,-,-,-,B,58,16.01,8.17,7.77,34.2,1.8,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,2020,2,3,9:50,CL,3805,12,9.2,U,2.38,15.27,8.28,7.95,33.93,1,1,1.2,0.15,0.017,0.014,0.031,0.04,0.01,0.3,0.9,B,50.17,15.24,8.28,7.96,33.93,4.5,4,1.3,0.15,0.018,0.014,0.032,<0.01,0.013,0.3,0.8
KIS,WY14,340432,1344408,WT,2020,2,3,9:15,CL,3703,10,9.3,U,2.26,12.57,8.28,8.68,32.93,0.6,-,-,-,-,-,-,-,-,-,-,B,36.17,14.15,8.28,8.22,33.61,1,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,WT,2020,2,3,8:45,CL,3505,9,7.5,U,2.01,12.07,8.29,8.88,32.12,1.2,2,1.6,0.19,0.024,0.013,0.036,<0.01,0.014,1.4,1.6,B,18.55,12.58,8.28,8.49,32.91,1.8,4,1.9,0.19,0.026,0.014,0.03,<0.01,0.016,0.5,1
KIS,WY16,340012,1350504,WT,2020,1,20,11:14,UC,3802,14.6,9,U,1.9,15.56,8.18,8.15,34.23,0.5,1,1.3,0.32,0.017,0.011,0.033,<0.01,0.01,1.1,1,B,33,15.31,8.17,8.12,34.2,0.6,<1,1.3,0.17,0.016,0.011,0.033,<0.01,0.01,1,0.9
KIS,WY17,340012,1345950,WT,2020,1,20,10:45,UC,3802,11.9,11,U,1.95,15.63,8.18,8.07,34.26,0.5,-,-,-,-,-,-,-,-,-,-,B,63,15.57,8.16,7.96,34.26,0.5,-,-,-,-,-,-,-,-,-,-
