kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,SP,1982,5,28,9:10,CL,-,23,13,U,2,19.1,-,7.8,33.71,-,-,-,-,-,-,-,-,-,-,-,B,35.9,17.8,-,8.5,34.39,0.5,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,SP,1982,5,28,9:34,CL,-,22,5.2,U,2,17.9,-,8,33.98,-,-,-,-,-,-,-,-,-,-,-,B,34.7,17.4,-,-,34.16,-,-,-,-,-,-,-,-,-,-,-
KIS,WY03,341312,1345436,SP,1982,5,28,10:03,CL,-,24,6,U,2,17.9,-,7.2,-,-,-,-,-,-,-,-,-,-,-,-,B,35.4,17.4,-,6.8,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,SP,1982,5,28,11:59,CL,-,25,12,U,2,20,-,8.2,33.37,-,-,-,-,-,-,-,-,-,-,-,B,30.6,18.9,-,7.3,34.62,-,-,-,-,-,-,-,-,-,-,-
KIS,WY06,340852,1345950,SP,1982,5,28,11:34,CL,-,24.5,10,U,2,19.4,-,8,33.76,-,-,-,-,-,-,-,-,-,-,-,B,33.8,17.9,-,7,34.27,-,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,SP,1982,5,28,11:05,CL,-,24,6,U,2,18,-,8.1,33.99,-,-,-,-,-,-,-,-,-,-,-,B,34.6,17,-,-,34.13,-,-,-,-,-,-,-,-,-,-,-
KIS,WY08,340852,1344922,SP,1982,5,28,10:39,CL,-,24.3,7,U,2,17.4,-,-,34.1,-,-,-,-,-,-,-,-,-,-,-,B,32.8,17.1,-,-,34.3,-,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,SP,1982,5,27,12:30,CL,-,21.8,6,U,2,17.4,8.3,8.1,33.03,-,-,-,-,-,-,-,-,-,-,-,B,17.9,17.2,-,7.5,33.22,-,-,-,-,-,-,-,-,-,-,-
KIS,WY10,340852,1343854,SP,1982,5,27,12:04,CL,-,22.5,5.6,U,2,18.9,8.4,8.7,32.42,-,-,-,-,-,-,-,-,-,-,-,B,13.7,17.5,-,7.9,32.49,-,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,SP,1982,5,27,9:11,CL,-,22,14,U,2,18.7,-,8.4,33.02,-,-,-,-,-,-,-,-,-,-,-,B,36.2,18.4,-,7.2,34.63,-,-,-,-,-,-,-,-,-,-,-
KIS,WY12,340432,1345436,SP,1982,5,27,13:49,CL,-,22,13.5,U,2,19.9,8.3,8.2,32.89,-,-,-,-,-,-,-,-,-,-,-,B,32.6,17.4,8.3,6.8,33.72,-,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,SP,1982,5,27,13:23,CL,-,21,6.5,U,2,20,8.2,8.8,32.75,-,-,-,-,-,-,-,-,-,-,-,B,33,17.8,8.3,7,34.22,-,-,-,-,-,-,-,-,-,-,-
KIS,WY14,340432,1344408,SP,1982,5,27,12:53,CL,-,23,5.9,U,2,17.5,8.4,8.5,33.08,-,-,-,-,-,-,-,-,-,-,-,B,36,17.3,8.3,-,34,2.7,-,-,-,-,-,-,-,-,-,-
KIS,WY15,340432,1343854,SP,1982,5,27,11:41,CL,-,21,6.9,U,2,18.8,8.4,8.6,32.59,-,-,-,-,-,-,-,-,-,-,-,B,15,17.4,-,7.5,32.73,-,-,-,-,-,-,-,-,-,-,-
KIS,WY16,340012,1350504,SP,1982,5,26,9:22,CL,-,22,13,U,2,18.7,8.4,7.5,32.2,-,-,-,-,-,-,-,-,-,-,-,B,29.5,18.6,-,6.9,33.9,-,-,-,-,-,-,-,-,-,-,-
KIS,WY17,340012,1345950,SP,1982,5,26,9:48,CL,-,22.5,12.8,U,2,18.6,-,8.4,32.74,-,-,-,-,-,-,-,-,-,-,-,B,30.3,18.1,-,7.6,33.81,-,-,-,-,-,-,-,-,-,-,-
KIS,WY18,340012,1345436,SP,1982,5,27,9:50,CL,-,22,7.8,U,2,18.4,-,8.9,32.95,-,-,-,-,-,-,-,-,-,-,-,B,35.9,18,-,6.7,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY19,340012,1344922,SP,1982,5,27,10:14,CL,-,22.5,7.8,U,2,18.8,-,8.8,33.08,-,-,-,-,-,-,-,-,-,-,-,B,35.8,16.5,-,-,34.28,-,-,-,-,-,-,-,-,-,-,-
KIS,WY20,340012,1344408,SP,1982,5,27,10:45,CL,-,20,7.8,U,2,18.8,-,8.9,32.82,-,-,-,-,-,-,-,-,-,-,-,B,32.9,17.3,-,-,33.77,3.5,-,-,-,-,-,-,-,-,-,-
KIS,WY21,335552,1345950,SP,1982,5,26,10:17,CL,-,23,12.4,U,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,36.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY22,335552,1345436,SP,1982,5,26,13:23,CL,-,20.5,10.5,U,2,18.6,8.2,8.3,33.05,-,-,-,-,-,-,-,-,-,-,-,B,34.6,17.8,8.3,7,33.77,-,-,-,-,-,-,-,-,-,-,-
KIS,WY23,335552,1344922,SP,1982,5,26,12:53,CL,-,20,9,U,2,18.4,8.3,8.4,32.77,-,-,-,-,-,-,-,-,-,-,-,B,35.5,17.1,-,-,33.55,-,-,-,-,-,-,-,-,-,-,-
KIS,WY24,335552,1344408,SP,1982,5,26,12:29,CL,-,20,16.4,U,2,18.7,8.2,8.2,33,-,-,-,-,-,-,-,-,-,-,-,B,26.1,17.4,8.2,6.9,33.73,-,-,-,-,-,-,-,-,-,-,-
KIS,WY26,335132,1345950,SP,1982,5,26,10:43,CL,-,23.5,11.8,U,2,20.3,-,7.6,34.21,-,-,-,-,-,-,-,-,-,-,-,B,36.2,19.6,-,7.4,34.34,-,-,-,-,-,-,-,-,-,-,-
KIS,WY27,335132,1345436,SP,1982,5,26,11:07,CL,-,23,16.6,U,2,20.5,-,7.5,34.24,-,-,-,-,-,-,-,-,-,-,-,B,30.2,19.2,-,7.3,34.41,-,-,-,-,-,-,-,-,-,-,-
KIS,WY28,335132,1344922,SP,1982,5,26,11:30,CL,-,22.5,13,U,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,26.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY35,340012,1343854,SP,1982,5,27,11:12,CL,-,23.5,6,U,2,19.2,8.3,8.3,32.84,-,-,-,-,-,-,-,-,-,-,-,B,10,17.6,8.3,8.5,32.98,-,-,-,-,-,-,-,-,-,-,-
KIS,WY36,335132,1344408,SP,1982,5,26,11:56,CL,-,22.5,12,U,2,18.6,-,8.5,32.98,-,-,-,-,-,-,-,-,-,-,-,B,34.3,17.6,-,6.9,33.78,0.4,-,-,-,-,-,-,-,-,-,-
OSK,KB01,343642,1351532,SP,1982,5,21,14:55,UC,3304,17,1,U,2,16.3,8.2,8.8,32.1,4.1,-,-,-,-,-,-,-,-,-,-,B,19.5,15.6,8.1,7.5,33.3,12.6,-,-,-,-,-,-,-,-,-,-
OSK,KB02,343222,1351532,SP,1982,5,21,13:25,UC,3302,18,1.8,U,2,16.5,8.3,8.5,32.56,3,-,-,-,-,-,-,-,-,-,-,B,19.5,15.3,8.2,7.9,33.14,11.7,-,-,-,-,-,-,-,-,-,-
OSK,KB03,342902,1351532,SP,1982,5,21,11:15,UC,3302,16.5,1.8,U,2,17.4,8.3,8.3,32.7,4.2,-,-,-,-,-,-,-,-,-,-,B,18.5,13.6,7.9,4.1,33.36,6.1,-,-,-,-,-,-,-,-,-,-
OSK,KB05,343642,1351018,SP,1982,5,21,9:00,UC,3302,16,3.5,U,2,16.1,8.1,7.5,33.2,5.6,-,-,-,-,-,-,-,-,-,-,B,19.2,16.1,8.1,-,33.64,6.2,-,-,-,-,-,-,-,-,-,-
OSK,KB06,343222,1351018,SP,1982,5,21,9:25,UC,3302,16,4,U,2,16,8.1,7,-,4.8,-,-,-,-,-,-,-,-,-,-,B,38,16,8.1,6.7,-,4.8,-,-,-,-,-,-,-,-,-,-
OSK,KB07,342902,1351018,SP,1982,5,21,9:55,UC,3302,16.5,3,U,2,16.5,8.2,7.7,33.17,4.2,-,-,-,-,-,-,-,-,-,-,B,30,14.8,8.1,7.3,33.51,9,-,-,-,-,-,-,-,-,-,-
OSK,KB08,342342,1351018,SP,1982,5,21,10:30,UC,3302,16.5,2.5,U,2,16.4,8.2,7.5,32.96,4.4,-,-,-,-,-,-,-,-,-,-,B,17.5,14.6,8,5.2,33.45,12.4,-,-,-,-,-,-,-,-,-,-
OSK,KB09,343642,1350504,SP,1982,5,24,9:20,CL,3302,17.5,1.5,U,2,17.1,8.3,8.3,32.17,4.9,-,-,-,-,-,-,-,-,-,-,B,27.5,16.2,8.2,-,33.36,6.9,-,-,-,-,-,-,-,-,-,-
OSK,KB10,343222,1350504,SP,1982,5,24,9:58,CL,3302,19.5,3,U,2,16.7,8.1,7.2,32.68,3.4,-,-,-,-,-,-,-,-,-,-,B,45,16.3,8.1,6.8,33.39,13.7,-,-,-,-,-,-,-,-,-,-
