,date,u,v,uv,u_sabunn_m,v_sabunn_m,delta_lat,delta_lng
0,2016/08/01 00:00,16.55,-19.25,25.386,595.8,-693.0,0.093518,-0.109252
1,2016/08/01 01:00,10.1,-13.53,16.884,363.6,-487.08,0.057071,-0.076577
2,2016/08/01 02:00,0.88,-4.24,4.33,31.68,-152.64,0.004973,-0.023959
3,2016/08/01 03:00,-10.21,6.55,12.13,-367.56,235.8,-0.057693,0.037073
4,2016/08/01 04:00,-18.83,16.8,25.235,-677.88,604.8,-0.106401,0.09547
5,2016/08/01 05:00,-22.33,20.45,30.279,-803.88,736.2,-0.126178,0.116481
6,2016/08/01 06:00,-19.06,17.89,26.141,-686.16,644.04,-0.107701,0.101678
7,2016/08/01 07:00,-11.06,11.22,15.755,-398.16,403.92,-0.062496,0.063524
8,2016/08/01 08:00,3.11,-0.14,3.113,111.96,-5.04,0.017573,-0.000791
9,2016/08/01 09:00,17.04,-15.79,23.231,613.44,-568.44,0.096286,-0.089638
10,2016/08/01 10:00,19.98,-22.92,30.406,719.28,-825.12,0.112899,-0.130342
11,2016/08/01 11:00,21.08,-23.44,31.525,758.88,-843.84,0.119115,-0.133395
12,2016/08/01 12:00,17.74,-19.84,26.615,638.64,-714.24,0.100242,-0.112674
13,2016/08/01 13:00,11.53,-13.31,17.61,415.08,-479.16,0.065151,-0.075369
14,2016/08/01 14:00,2.03,-4.58,5.01,73.08,-164.88,0.011471,-0.025881
15,2016/08/01 15:00,-12.73,8.51,15.313,-458.28,306.36,-0.071932,0.048211
16,2016/08/01 16:00,-24.48,20.92,32.201,-881.28,753.12,-0.138327,0.119351
17,2016/08/01 17:00,-27.43,23.99,36.441,-987.48,863.64,-0.154996,0.137203
18,2016/08/01 18:00,-24.38,22.1,32.906,-877.68,795.6,-0.137762,0.126073
19,2016/08/01 19:00,-17.86,16.85,24.554,-642.96,606.6,-0.10092,0.0957
20,2016/08/01 20:00,-4.21,6.62,7.845,-151.56,238.32,-0.023789,0.037418
21,2016/08/01 21:00,13.94,-8.7,16.432,501.84,-313.2,0.078769,-0.049313
22,2016/08/01 22:00,18.37,-21.04,27.931,661.32,-757.44,0.103802,-0.119532
23,2016/08/01 23:00,20.03,-24.32,31.507,721.08,-875.52,0.113182,-0.138308
24,2016/08/02 00:00,19.78,-23.15,30.449,712.08,-833.4,0.111769,-0.131633
25,2016/08/02 01:00,16.81,-19.74,25.928,605.16,-710.64,0.094987,-0.112048
26,2016/08/02 02:00,9.22,-12.17,15.268,331.92,-438.12,0.052099,-0.068861
27,2016/08/02 03:00,-1.73,-2.35,2.918,-62.28,-84.6,-0.009776,-0.01328
28,2016/08/02 04:00,-15.12,11.03,18.716,-544.32,397.08,-0.085437,0.062554
29,2016/08/02 05:00,-22.86,20.32,30.586,-822.96,731.52,-0.129173,0.115785
30,2016/08/02 06:00,-24.25,21.91,32.682,-873.0,788.76,-0.137027,0.124976
31,2016/08/02 07:00,-19.11,17.89,26.177,-687.96,644.04,-0.107983,0.101682
32,2016/08/02 08:00,-10.18,10.36,14.525,-366.48,372.96,-0.057523,0.058637
33,2016/08/02 09:00,6.92,-3.07,7.57,249.12,-110.52,0.039102,-0.017361
34,2016/08/02 10:00,18.66,-19.06,26.674,671.76,-686.16,0.10544,-0.108302
35,2016/08/02 11:00,21.09,-24.33,32.198,759.24,-875.88,0.119171,-0.138461
36,2016/08/02 12:00,21.83,-24.24,32.621,785.88,-872.64,0.123353,-0.138019
37,2016/08/02 13:00,17.36,-19.55,26.145,624.96,-703.8,0.098094,-0.111003
38,2016/08/02 14:00,10.57,-12.63,16.469,380.52,-454.68,0.059727,-0.071495
39,2016/08/02 15:00,-1.32,-2.27,2.626,-47.52,-81.72,-0.007459,-0.012827
40,2016/08/02 16:00,-17.28,12.62,21.398,-622.08,454.32,-0.097642,0.071652
41,2016/08/02 17:00,-27.73,23.43,36.303,-998.28,843.48,-0.156691,0.134036
42,2016/08/02 18:00,-28.55,24.88,37.87,-1027.8,895.68,-0.161325,0.142437
43,2016/08/02 19:00,-24.46,22.01,32.905,-880.56,792.36,-0.138214,0.125567
44,2016/08/02 20:00,-16.76,15.67,22.944,-603.36,564.12,-0.094704,0.088944
45,2016/08/02 21:00,-0.46,3.58,3.609,-16.56,128.88,-0.002599,0.020229
46,2016/08/02 22:00,16.32,-13.27,21.034,587.52,-477.72,0.092218,-0.075303
47,2016/08/02 23:00,18.74,-22.88,29.575,674.64,-823.68,0.105892,-0.130014
48,2016/08/03 00:00,20.82,-24.91,32.465,749.52,-896.76,0.117646,-0.141736
49,2016/08/03 01:00,19.57,-22.87,30.1,704.52,-823.32,0.110582,-0.130023
50,2016/08/03 02:00,15.77,-18.58,24.37,567.72,-668.88,0.08911,-0.105406
