,date,u,v,uv,u_sabunn_m,v_sabunn_m,delta_lat,delta_lng
0,2016/01/01 00:00,-7.25,8.52,11.187,-261.0,306.72,-0.040967,0.048184
1,2016/01/01 01:00,7.32,-3.56,8.14,263.52,-128.16,0.041362,-0.020133
2,2016/01/01 02:00,16.1,-17.48,23.765,579.6,-629.28,0.090975,-0.099183
3,2016/01/01 03:00,18.84,-21.21,28.369,678.24,-763.56,0.106457,-0.120532
4,2016/01/01 04:00,19.16,-21.12,28.516,689.76,-760.32,0.108266,-0.120044
5,2016/01/01 05:00,16.18,-18.04,24.233,582.48,-649.44,0.091427,-0.102364
6,2016/01/01 06:00,11.81,-13.61,18.02,425.16,-489.96,0.066734,-0.077076
7,2016/01/01 07:00,4.26,-6.81,8.033,153.36,-245.16,0.024072,-0.038492
8,2016/01/01 08:00,-6.47,1.71,6.692,-232.92,61.56,-0.036559,0.009669
9,2016/01/01 09:00,-15.84,12.82,20.378,-570.24,461.52,-0.089506,0.072732
10,2016/01/01 10:00,-20.14,17.79,26.872,-725.04,640.44,-0.113803,0.101179
11,2016/01/01 11:00,-19.41,17.52,26.148,-698.76,630.72,-0.109678,0.099597
12,2016/01/01 12:00,-12.18,11.67,16.868,-438.48,420.12,-0.068824,0.066099
13,2016/01/01 13:00,0.89,1.64,1.866,32.04,59.04,0.005029,0.009267
14,2016/01/01 14:00,15.75,-13.06,20.46,567.0,-470.16,0.088997,-0.07409
15,2016/01/01 15:00,18.65,-20.65,27.825,671.4,-743.4,0.105384,-0.117336
16,2016/01/01 16:00,20.05,-22.0,29.766,721.8,-792.0,0.113295,-0.125115
17,2016/01/01 17:00,17.68,-19.42,26.262,636.48,-699.12,0.099903,-0.110285
18,2016/01/01 18:00,14.05,-15.54,20.95,505.8,-559.44,0.079391,-0.088088
19,2016/01/01 19:00,7.91,-9.31,12.217,284.76,-335.16,0.044696,-0.05266
20,2016/01/01 20:00,-0.67,-1.3,1.462,-24.12,-46.8,-0.003786,-0.007346
21,2016/01/01 21:00,-9.98,7.61,12.55,-359.28,273.96,-0.056393,0.04307
22,2016/01/01 22:00,-15.99,14.27,21.432,-575.64,513.72,-0.090353,0.080964
