,date,u,v,uv,u_sabunn_m,v_sabunn_m,delta_lat,delta_lng
0,2016/10/01 00:00,22.24,-25.7,33.987,800.64,-925.2,0.125669,-0.146375
1,2016/10/01 01:00,19.74,-23.19,30.454,710.64,-834.84,0.111543,-0.131857
2,2016/10/01 02:00,14.28,-16.84,22.079,514.08,-606.24,0.080691,-0.095467
3,2016/10/01 03:00,5.02,-7.84,9.309,180.72,-282.24,0.028366,-0.044319
4,2016/10/01 04:00,-10.14,4.98,11.297,-365.04,179.28,-0.057297,0.028186
5,2016/10/01 05:00,-22.54,19.49,29.798,-811.44,701.64,-0.127365,0.11103
6,2016/10/01 06:00,-27.2,23.98,36.261,-979.2,863.28,-0.153696,0.137118
7,2016/10/01 07:00,-24.28,21.74,32.591,-874.08,782.64,-0.137197,0.124009
8,2016/10/01 08:00,-17.64,16.24,23.977,-635.04,584.64,-0.099677,0.092224
9,2016/10/01 09:00,-4.08,5.64,6.961,-146.88,203.04,-0.023054,0.031878
10,2016/10/01 10:00,15.4,-11.47,19.202,554.4,-412.92,0.087019,-0.065059
11,2016/10/01 11:00,19.71,-23.07,30.343,709.56,-830.52,0.111373,-0.131172
12,2016/10/01 12:00,22.16,-25.55,33.821,797.76,-919.8,0.125217,-0.145512
13,2016/10/01 13:00,20.71,-23.6,31.398,745.56,-849.6,0.117024,-0.134273
14,2016/10/01 14:00,16.14,-18.61,24.634,581.04,-669.96,0.091201,-0.105597
15,2016/10/01 15:00,7.98,-10.66,13.316,287.28,-383.76,0.045092,-0.060297
16,2016/10/01 16:00,-6.39,1.55,6.575,-230.04,55.8,-0.036107,0.008764
17,2016/10/01 17:00,-21.05,17.39,27.304,-757.8,626.04,-0.118945,0.098963
18,2016/10/01 18:00,-27.92,24.33,37.033,-1005.12,875.88,-0.157765,0.139208
19,2016/10/01 19:00,-26.03,23.32,34.948,-937.08,839.52,-0.147085,0.13321
20,2016/10/01 20:00,-20.02,18.42,27.205,-720.72,663.12,-0.113125,0.104754
21,2016/10/01 21:00,-8.3,8.96,12.214,-298.8,322.56,-0.0469,0.050685
22,2016/10/01 22:00,12.49,-7.34,14.487,449.64,-264.24,0.070576,-0.041579
23,2016/10/01 23:00,19.99,-22.18,29.859,719.64,-798.48,0.112956,-0.126134
