,date,u,v,uv,u_sabunn_m,v_sabunn_m,delta_lat,delta_lng
0,2016/07/01 00:00,2.33,-4.81,5.345,83.88,-173.16,0.013166,-0.027182
1,2016/07/01 01:00,-8.13,4.74,9.411,-292.68,170.64,-0.045939,0.026812
2,2016/07/01 02:00,-16.91,14.97,22.584,-608.76,538.92,-0.095552,0.084977
3,2016/07/01 03:00,-21.06,19.08,28.418,-758.16,686.88,-0.119002,0.108581
4,2016/07/01 04:00,-19.2,17.63,26.066,-691.2,634.68,-0.108492,0.100209
5,2016/07/01 05:00,-11.74,11.49,16.427,-422.64,413.64,-0.066338,0.065069
6,2016/07/01 06:00,1.63,0.79,1.811,58.68,28.44,0.00921,0.004464
7,2016/07/01 07:00,15.74,-13.97,21.045,566.64,-502.92,0.088941,-0.079252
8,2016/07/01 08:00,18.63,-21.15,28.185,670.68,-761.4,0.105271,-0.120176
9,2016/07/01 09:00,20.03,-22.37,30.027,721.08,-805.32,0.113182,-0.127218
10,2016/07/01 10:00,18.0,-20.03,26.93,648.0,-721.08,0.101711,-0.11377
11,2016/07/01 11:00,12.79,-14.58,19.395,460.44,-524.88,0.072271,-0.082601
12,2016/07/01 12:00,5.27,-7.42,9.101,189.72,-267.12,0.029779,-0.041946
13,2016/07/01 13:00,-7.41,3.26,8.095,-266.76,117.36,-0.041871,0.018437
14,2016/07/01 14:00,-19.69,15.91,25.315,-708.84,572.76,-0.11126,0.09046
15,2016/07/01 15:00,-26.56,22.19,34.61,-956.16,798.84,-0.15008,0.126812
16,2016/07/01 16:00,-25.84,22.33,34.152,-930.24,803.88,-0.146012,0.127535
17,2016/07/01 17:00,-20.63,18.51,27.717,-742.68,666.36,-0.116572,0.105307
18,2016/07/01 18:00,-10.77,10.68,15.168,-387.72,384.48,-0.060857,0.06046
19,2016/07/01 19:00,5.4,-1.5,5.604,194.4,-54.0,0.030513,-0.00848
20,2016/07/01 20:00,17.65,-16.14,23.917,635.4,-581.04,0.099733,-0.091656
21,2016/07/01 21:00,18.37,-21.83,28.531,661.32,-785.88,0.103802,-0.12402
22,2016/07/01 22:00,19.46,-22.67,29.877,700.56,-816.12,0.109961,-0.128878
23,2016/07/01 23:00,17.37,-19.95,26.452,625.32,-718.2,0.098151,-0.113275
24,2016/07/02 00:00,12.5,-14.88,19.434,450.0,-535.68,0.070633,-0.084291
25,2016/07/02 01:00,3.48,-6.38,7.267,125.28,-229.68,0.019664,-0.036058
26,2016/07/02 02:00,-8.32,4.07,9.262,-299.52,146.52,-0.047013,0.023023
27,2016/07/02 03:00,-18.42,16.0,24.399,-663.12,576.0,-0.104084,0.090902
28,2016/07/02 04:00,-22.83,20.54,30.71,-821.88,739.44,-0.129003,0.117036
29,2016/07/02 05:00,-20.68,18.84,27.975,-744.48,678.24,-0.116854,0.107188
30,2016/07/02 06:00,-12.97,12.53,18.034,-466.92,451.08,-0.073288,0.070993
31,2016/07/02 07:00,0.49,1.7,1.769,17.64,61.2,0.002769,0.009606
32,2016/07/02 08:00,16.86,-14.44,22.198,606.96,-519.84,0.095269,-0.081966
33,2016/07/02 09:00,20.01,-22.63,30.208,720.36,-814.68,0.113069,-0.128695
34,2016/07/02 10:00,21.56,-24.0,32.262,776.16,-864.0,0.121827,-0.136627
35,2016/07/02 11:00,19.28,-21.37,28.782,694.08,-769.32,0.108944,-0.121474
36,2016/07/02 12:00,14.26,-16.06,21.477,513.36,-578.16,0.080578,-0.091044
37,2016/07/02 13:00,6.32,-8.49,10.584,227.52,-305.64,0.035712,-0.048004
38,2016/07/02 14:00,-7.21,2.96,7.794,-259.56,106.56,-0.040741,0.01674
39,2016/07/02 15:00,-20.95,17.08,27.03,-754.2,614.88,-0.11838,0.097193
40,2016/07/02 16:00,-27.83,23.45,36.392,-1001.88,844.2,-0.157256,0.134162
41,2016/07/02 17:00,-26.88,23.4,35.638,-967.68,842.4,-0.151888,0.133764
42,2016/07/02 18:00,-20.9,18.88,28.165,-752.4,679.68,-0.118098,0.107432
43,2016/07/02 19:00,-10.14,10.58,14.655,-365.04,380.88,-0.057297,0.059882
44,2016/07/02 20:00,8.36,-3.1,8.916,300.96,-111.6,0.047239,-0.017536
45,2016/07/02 21:00,18.67,-18.4,26.213,672.12,-662.4,0.105497,-0.104552
46,2016/07/02 22:00,19.7,-23.6,30.742,709.2,-849.6,0.111317,-0.134185
47,2016/07/02 23:00,20.54,-23.82,31.453,739.44,-857.52,0.116063,-0.135509
48,2016/07/03 00:00,18.12,-20.8,27.586,652.32,-748.8,0.102389,-0.118151
49,2016/07/03 01:00,13.07,-15.4,20.199,470.52,-554.4,0.073853,-0.087257
50,2016/07/03 02:00,3.75,-6.34,7.366,135.0,-228.24,0.02119,-0.035833
51,2016/07/03 03:00,-8.97,4.88,10.212,-322.92,175.68,-0.050686,0.02761
52,2016/07/03 04:00,-19.41,17.1,25.868,-698.76,615.6,-0.109678,0.097209
53,2016/07/03 05:00,-23.85,21.5,32.11,-858.6,774.0,-0.134767,0.1226
54,2016/07/03 06:00,-21.03,19.22,28.49,-757.08,691.92,-0.118832,0.109376
55,2016/07/03 07:00,-12.4,12.13,17.346,-446.4,436.68,-0.070067,0.06871
56,2016/07/03 08:00,2.61,0.29,2.626,93.96,10.44,0.014748,0.001639
57,2016/07/03 09:00,18.44,-16.83,24.966,663.84,-605.88,0.104197,-0.095618
