,date,u,v,uv,u_sabunn_m,v_sabunn_m,delta_lat,delta_lng
0,2016/04/01 00:00,-17.53,15.61,23.473,-631.08,561.96,-0.099055,0.08864
1,2016/04/01 01:00,-11.89,11.37,16.451,-428.04,409.32,-0.067186,0.064393
2,2016/04/01 02:00,-4.39,4.79,6.497,-158.04,172.44,-0.024806,0.027075
3,2016/04/01 03:00,4.79,-3.18,5.749,172.44,-114.48,0.027066,-0.017976
4,2016/04/01 04:00,8.84,-9.73,13.146,318.24,-350.28,0.049951,-0.055049
5,2016/04/01 05:00,8.71,-12.2,14.99,313.56,-439.2,0.049217,-0.069021
6,2016/04/01 06:00,7.39,-11.53,13.695,266.04,-415.08,0.041758,-0.065208
7,2016/04/01 07:00,4.81,-9.14,10.328,173.16,-329.04,0.027179,-0.051666
8,2016/04/01 08:00,-0.71,-4.47,4.526,-25.56,-160.92,-0.004012,-0.025258
9,2016/04/01 09:00,-11.08,4.69,12.032,-398.88,168.84,-0.062609,0.026553
10,2016/04/01 10:00,-18.59,14.0,23.272,-669.24,504.0,-0.105045,0.079547
11,2016/04/01 11:00,-22.85,18.37,29.319,-822.6,661.32,-0.129116,0.104673
12,2016/04/01 12:00,-23.74,19.09,30.463,-854.64,687.24,-0.134145,0.108848
13,2016/04/01 13:00,-20.83,16.35,26.48,-749.88,588.6,-0.117702,0.093031
14,2016/04/01 14:00,-16.75,12.74,21.044,-603.0,458.64,-0.094648,0.072312
15,2016/04/01 15:00,-11.2,8.33,13.958,-403.2,299.88,-0.063287,0.047164
16,2016/04/01 16:00,-4.72,3.13,5.664,-169.92,112.68,-0.026671,0.017693
17,2016/04/01 17:00,1.91,-2.47,3.122,68.76,-88.92,0.010793,-0.013958
18,2016/04/01 18:00,5.16,-6.91,8.624,185.76,-248.76,0.029157,-0.039062
19,2016/04/01 19:00,4.23,-7.47,8.585,152.28,-268.92,0.023902,-0.042222
20,2016/04/01 20:00,2.03,-5.73,6.079,73.08,-206.28,0.011471,-0.03238
21,2016/04/01 21:00,-2.65,-1.05,2.85,-95.4,-37.8,-0.014974,-0.005934
22,2016/04/01 22:00,-11.58,7.05,13.557,-416.88,253.8,-0.065434,0.039922
23,2016/04/01 23:00,-17.49,13.8,22.279,-629.64,496.8,-0.098829,0.078361
24,2016/04/02 00:00,-19.35,16.24,25.262,-696.6,584.64,-0.109339,0.092317
25,2016/04/02 01:00,-16.95,14.81,22.509,-610.2,533.16,-0.095778,0.084071
26,2016/04/02 02:00,-13.16,12.01,17.816,-473.76,432.36,-0.074362,0.068052
